column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,1362771960,70,70,affine_condition_residual,0.8373690493741887,6.600779859747186,3.847291497528981,0.8278708930203003,11.097661622275705,6.313214412365906,0.767547128013566,0.7640007970357484
8g,row,1362771960,70,70,target_head_only,0.8834865146454425,5.587039548994884,3.0731161084382435,0.8759868742203849,9.41972334622798,4.837648538782977,0.6504079536485865,0.6474883643398666
8g,row,1362771960,100,100,zero_shot,0.27601428512788806,13.927034366286533,9.741048020763674,0.4411124598092293,19.99707772538805,14.151899654001426,1.5282586937050109,1.5056679952556868
8g,row,1362771960,100,100,column_mass_ratio_scaling,0.8676100959601936,5.955539129042463,3.3212302655759074,0.8413259830586064,10.655092615625328,6.574179152336673,0.7108167237242943,0.7092928927889892
8g,row,1362771960,100,100,scale_only,0.866947926886502,5.970414338176159,3.7504248418363493,0.86776790175209,9.726862249900753,5.4710257082874545,0.6856299490808483,0.6813676410161424
8g,row,1362771960,100,100,affine,0.858829261929264,6.149870791313986,3.43230168530425,0.8640290151414467,9.863418092163947,5.323040321328704,0.701982501407204,0.6970020257983649
8g,row,1362771960,100,100,affine_condition_residual,0.8498660575054173,6.342100113612798,3.6115284798640217,0.8617846112812936,9.944490119580166,5.443188783202495,0.7177909521993621,0.7117212893171353
8g,row,1362771960,100,100,target_head_only,0.8851053239798887,5.54809132386689,3.2035249115764235,0.8784664104344816,9.325078221045162,4.758091756295467,0.6450626695247565,0.6420733389281043
8g,compound,769539383,30,31,zero_shot,0.38341016700452923,15.018409823242164,9.995241602122436,0.5907951088830501,22.329394279846746,14.404420129876387,1.667617881897426,1.6474587301115091
8g,compound,769539383,30,31,column_mass_ratio_scaling,0.9055373941430368,5.878353950589017,3.1046282528436673,0.8948283330168082,11.32024726329332,6.802088473135964,0.7253844354378673,0.7250823040649725
8g,compound,769539383,30,31,scale_only,0.24383016296715088,16.631654188679622,11.82716798775927,0.7378981128590534,17.870701808295394,11.798444064085222,1.686823566391878,1.61115534464322
8g,compound,769539383,30,31,affine,-1.3329775370183095,29.2133290273835,13.956142966698575,0.42227812348185034,26.531752715466563,13.39920458431819,2.869556659681429,2.6788892672435938
8g,compound,769539383,30,31,affine_condition_residual,-1.3450271541009329,29.288673960787577,13.990399347137622,0.4397031793524514,26.12856829170397,13.128266485312967,2.8685844644938783,2.6711306929742524
8g,compound,769539383,30,31,target_head_only,0.9186472569626265,5.455215005434908,2.9577318308646223,0.8922172966219747,11.459906397292883,5.172602229648167,0.7026507088160421,0.702575802043385
8g,compound,769539383,30,31,last2,0.845107261246457,7.527335978688825,5.375372927160988,0.9097474085389211,10.48664037410871,6.659432992879411,0.8179435049423315,0.8037914309824412
8g,compound,769539383,50,51,zero_shot,0.38341016700452923,15.018409823242164,9.995241602122436,0.5907951088830501,22.329394279846746,14.404420129876387,1.667617881897426,1.6474587301115091
8g,compound,769539383,50,51,column_mass_ratio_scaling,0.9055373941430368,5.878353950589017,3.1046282528436673,0.8948283330168082,11.32024726329332,6.802088473135964,0.7253844354378673,0.7250823040649725
8g,compound,769539383,50,51,scale_only,0.7321394647945874,9.898745024237616,6.65839923144135,0.9113697105439748,10.391963629588881,6.061446724113951,0.9989948095617317,0.9513234913735867
8g,compound,769539383,50,51,affine,0.6218750689924395,11.760977738243575,6.503376125770371,0.9162970540845717,10.098965902310988,6.802612568561371,1.1450743387704236,1.0603779747700162
8g,compound,769539383,50,51,affine_condition_residual,0.6206877328113385,11.779428372256433,6.491491399373098,0.9160805545361902,10.11201806882339,6.837150758665394,1.1468231164067617,1.0619546900025725
8g,compound,769539383,50,51,target_head_only,0.9050224874302557,5.894353352574898,3.100406873714157,0.8740132118476762,12.389935241546043,5.81244295744868,0.7594505638150867,0.759366202132858
8g,compound,769539383,50,51,last2,0.7567430012765018,9.433186995820051,5.592042540388497,0.7982781891751729,15.677722148720981,8.512353797544513,1.091830666273439,1.086175576553678
8g,compound,769539383,70,72,zero_shot,0.38341016700452923,15.018409823242164,9.995241602122436,0.5907951088830501,22.329394279846746,14.404420129876387,1.667617881897426,1.6474587301115091
8g,compound,769539383,70,72,column_mass_ratio_scaling,0.9055373941430368,5.878353950589017,3.1046282528436673,0.8948283330168082,11.32024726329332,6.802088473135964,0.7253844354378673,0.7250823040649725
8g,compound,769539383,70,72,scale_only,0.6862402012298816,10.713328466979561,7.269698545230722,0.8932509779166832,11.404821354477194,6.871303288326016,1.08439454704825,1.0345136647373905
8g,compound,769539383,70,72,affine,0.5679851117802982,12.571153473825586,6.561736892725465,0.886853458739627,11.741597144660268,6.556570943306153,1.2407056359326885,1.1628752207034272
8g,compound,769539383,70,72,affine_condition_residual,0.5682949236791545,12.566645074302883,6.62283876397099,0.8882707334449589,11.667827726046424,6.67653770696813,1.238990314741095,1.1602948191365265
8g,compound,769539383,70,72,target_head_only,0.8920940529365735,6.282730949030367,3.33136487509075,0.8614660979804842,12.992255952406545,6.381693229898375,0.802761678024862,0.8027434611312645
8g,compound,769539383,70,72,last2,0.7653600795198907,9.264601057736519,5.844830553155196,0.8369852733428029,14.093535518032128,7.786764214610495,1.0370481283800865,1.0262078068795146
8g,compound,769539383,100,99,zero_shot,0.38341016700452923,15.018409823242164,9.995241602122436,0.5907951088830501,22.329394279846746,14.404420129876387,1.667617881897426,1.6474587301115091
8g,compound,769539383,100,99,column_mass_ratio_scaling,0.9055373941430368,5.878353950589017,3.1046282528436673,0.8948283330168082,11.32024726329332,6.802088473135964,0.7253844354378673,0.7250823040649725
8g,compound,769539383,100,99,scale_only,0.7752760031051334,9.066726113361558,6.035896502159993,0.9078697020622027,10.595166162437671,6.22923557363553,0.9376397431312677,0.9048479873861686
8g,compound,769539383,100,99,affine,0.6048759348339432,12.022437062326178,6.118658593424314,0.8948173856479723,11.32083641292327,6.0264725436303594,1.1882356352175798,1.114970486253458
