column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,0.01,"[0.579244685316229, 0.5200822735012804, 0.4638276015841275, 0.4495596153307926, 0.3964919526097678]",0.4818412256684394,31,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,0.0,"[0.5792681387686069, 0.5202240133047371, 0.46436045273478654, 0.44906498717921506, 0.3966359610317563]",0.4819107106038204,32,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,0.1,"[0.5794145480680136, 0.5203957258042051, 0.46320624027900864, 0.45076314454768823, 0.3967083263898761]",0.48209759701775834,33,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,1.0,"[0.5801089416589875, 0.5219908105246344, 0.4636786188970561, 0.4515038529801351, 0.39770999652270816]",0.4829984441167043,34,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,10.0,"[0.5813093168403398, 0.5248112950000123, 0.46502935039894766, 0.4527606608650981, 0.3993292796434293]",0.4846479805495655,35,False
pooled_25g_40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,100.0,100.0,"[0.5818300228922612, 0.5259112210463109, 0.4656669196802723, 0.4534363248230255, 0.40003266729072195]",0.48537543114651827,36,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,0.0,"[0.5759478239280632, 0.48945547981342447, 0.45512470806070665, 0.4366940519368604, 0.3844758364124142]",0.46833958003029375,1,True
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.1,0.01,"[0.5765741684844075, 0.4892343771833048, 0.454364629607164, 0.4379102457139207, 0.3842483032061648]",0.4684663448389924,2,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,0.0,"[0.5730506212409961, 0.4929895405447377, 0.45505011006390245, 0.43295609941408647, 0.38829314055319]",0.4684679023633825,3,False
pooled_25g_40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,0.01,0.01,"[0.574044442320086, 0.4924565221246973, 0.45418838872976447, 0.4345202139526989, 0.3879240204154397]",0.4686267175085373,4,False
