column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,1362771960,CORRECTED_JOINT_FULL128,5.498377163430319,4.066048272364525,0.6580404612222583,8.68673611774882,6.100295927608141,0.7053862195970098,0.6240514659128722,0.6240514659128722,0.6190654951297725,0.6190654951297725,True
25g,row,1362771960,M3_CENTER_WIDTH_FULL,5.472436603121068,4.004827932700317,0.6612594826208592,9.109237780886627,6.606766670188477,0.6760306857925604,0.633793513722759,0.633793513722759,0.6305597911343575,0.6305597911343575,True
25g,row,1362771960,conditional_EA,6.073606785214805,4.554550348477188,0.5827474384273084,9.004931826669138,6.565047250064311,0.6834074742489373,0.6737474620689947,0.6737474620689947,0.6654627093402319,0.6654627093402319,True
25g,row,1362771960,paper_style_current_v2,5.660511443624723,3.958606889534883,0.6375759461294832,9.037774999359858,6.132694337209303,0.6810938832002287,0.6450169608076108,0.6450169608076108,0.6402714064303496,0.6402714064303496,True
25g,row,1362771960,scale_only,6.643961694366093,4.518832200647591,0.5007019060972202,8.82755015743404,6.436034280944683,0.6957572857963161,0.7114974237471362,0.7114974237471362,0.696137510961616,0.696137510961616,True
40g,compound,769539383,OLD_HIER_REFERENCE,15.336269440871513,10.478245370601936,0.6654414661770707,17.431884595026197,12.546774991222891,0.769344976436604,1.575412815328063,1.575412815328063,1.5153095479297451,1.5153095479297451,True
40g,compound,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,15.336269440871513,10.478245370601936,0.6654414661770707,17.431884595026197,12.546774991222891,0.769344976436604,1.575412815328063,1.575412815328063,1.5153095479297451,1.5153095479297451,True
40g,compound,769539383,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,15.398856862517919,10.531666116671907,0.6627052228523248,17.356944386395785,12.471614693997225,0.7713238996446486,1.5787250718549053,1.5787250718549053,1.5169502665777548,1.5169502665777548,True
40g,compound,769539383,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,15.465235294920836,10.620643874605891,0.6597910644733676,17.449759683325805,12.561661496000669,0.7688716951005499,1.5859132569077454,1.5859132569077454,1.524048952690992,1.524048952690992,True
40g,compound,769539383,CORRECTED_JOINT_FULL128,15.156437221545838,10.571063951793848,0.6732414936455996,17.247157394023617,12.77148021975791,0.7742076170721868,1.5573610281186503,1.5573610281186503,1.498153128242492,1.498153128242492,True
40g,compound,769539383,M3_CENTER_WIDTH_FULL,15.156937699305594,10.116345651973575,0.6732199136313937,18.52754301634526,13.010985307542283,0.739438710910306,1.585594442079063,1.585594442079063,1.5380065155725562,1.5380065155725562,True
40g,compound,769539383,conditional_EA,15.879723244862495,10.306088534270108,0.6413106264292762,20.69317984503402,14.215303925169334,0.6749660706319239,1.6908812451069628,1.6908812451069628,1.6512246011108735,1.6512246011108735,True
40g,compound,769539383,paper_style_current_v2,16.352338654264223,11.406121353658538,0.6196421379169037,19.531107017261437,13.56340087804878,0.7104470773086343,1.700389336013973,1.700389336013973,1.6450722355639342,1.6450722355639342,True
40g,compound,769539383,scale_only,17.216946687206516,11.565070503911368,0.5783569739255172,17.999009027222673,12.051815480056161,0.7540926989742224,1.736034868063269,1.736034868063269,1.6522853190902282,1.6522853190902282,True
40g,compound,1425370602,OLD_HIER_REFERENCE,14.690024508107854,9.54907873760953,0.7044835976270961,19.718518213731393,12.645458893907737,0.6940172686074895,1.577974826617794,1.577974826617794,1.545419613296714,1.545419613296714,True
40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,14.690024508107854,9.54907873760953,0.7044835976270961,19.718518213731393,12.645458893907737,0.6940172686074895,1.577974826617794,1.577974826617794,1.545419613296714,1.545419613296714,True
40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,14.690024508107854,9.54907873760953,0.7044835976270961,19.718518213731393,12.645458893907737,0.6940172686074895,1.577974826617794,1.577974826617794,1.545419613296714,1.545419613296714,True
40g,compound,1425370602,HIER_CW_ENDPOINT_ALIGNED_CORRECTED,14.703170338261472,9.619758355582928,0.7039544566916915,19.74073564336281,12.680628061725661,0.6933273608196675,1.5794974551443612,1.5794974551443612,1.5469447661346978,1.5469447661346978,True
40g,compound,1425370602,CORRECTED_JOINT_FULL128,14.121481667406012,8.612468059895743,0.7269154794265816,18.56310319762277,11.728556060110003,0.7288250783652327,1.5074892623108855,1.5074892623108855,1.4734081147958,1.4734081147958,True
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,15.050277689026318,9.822366270887349,0.689811582987444,19.880385896030077,13.439798185824753,0.6889730757755441,1.608938914649534,1.608938914649534,1.5733135986601008,1.5733135986601008,True
40g,compound,1425370602,conditional_EA,14.672108854758237,9.793807101924159,0.7052039696004446,20.50426689327878,14.23984658149106,0.66914564344845,1.595904362668837,1.595904362668837,1.5687205725395574,1.5687205725395574,True
40g,compound,1425370602,paper_style_current_v2,16.376147155820373,10.879148627906977,0.6327515133862532,24.042780987786127,16.070052325581393,0.5450980841227149,1.8105027077504592,1.8105027077504592,1.78690182105365,1.78690182105365,True
40g,compound,1425370602,scale_only,16.89552083839195,12.284596839896901,0.6090873549939966,20.444247993588053,12.913797656548928,0.6710797239654064,1.7627749605914447,1.7627749605914447,1.7079394533459806,1.7079394533459806,True
