column,outer_seed,method,inner_fold,stage,n_inner_train,n_inner_validation,inner_train_group_hash,inner_validation_group_hash,best_epoch,epochs_run,validation_score,last_20_validation_slope,train_loss,parameter_drift,bn_buffer_drift,trainable_parameter_count,quantile_crossing_count,runtime_seconds,inner_validation_combined_nrmse,epoch_150_validation_score,epoch_300_validation_score,epoch_500_validation_score
40g,2767143051,P1,2,A,287,72,c427fb69d7091cf48ea02f9db8c011f5e7d3953a629b02ce6eee2c9781a90b06,df65fc962721017276ad4723f6076f66195b25e01b998c6b4b18202736cc86fd,500,500,1.4217948007167982,-0.0008951335140021,4520.6376953125,1.323032809510206,0.0,774,1,1007.7229177951812,1.4217948007167982,1.7714923766418065,1.612290112344283,1.4217948007167982
40g,2767143051,P1,2,B,287,72,c427fb69d7091cf48ea02f9db8c011f5e7d3953a629b02ce6eee2c9781a90b06,df65fc962721017276ad4723f6076f66195b25e01b998c6b4b18202736cc86fd,152,232,0.5488441074026734,9.105095504414624e-05,279.75018310546875,1.9002593098274303,152.06013502609437,36387,0,469.53183603286743,0.5488441074026734,0.5488498001251171,,
40g,2767143051,P0,3,B,287,72,02a625e27271dc9c4e54441c4d6d77011c6109002dcbcc08c918e131c0a2d84e,9265b68cefe5745e1fe2c2bb3f93233d8a7730d028eed459d9cfe8a883423181,178,258,0.4412995266202412,9.278873926593464e-05,352.6189880371094,2.293918156324175,178.05493181319082,36387,25,536.878968000412,0.4412995266202412,0.461805205277283,,
40g,2767143051,P1,3,A,287,72,02a625e27271dc9c4e54441c4d6d77011c6109002dcbcc08c918e131c0a2d84e,9265b68cefe5745e1fe2c2bb3f93233d8a7730d028eed459d9cfe8a883423181,500,500,1.2559813816454433,-0.0008956531190752,4721.4677734375,1.3287659157500027,0.0,774,6,1123.571046113968,1.2559813816454433,1.6039033353239964,1.4459972630673663,1.2559813816454433
40g,2767143051,P1,3,B,287,72,02a625e27271dc9c4e54441c4d6d77011c6109002dcbcc08c918e131c0a2d84e,9265b68cefe5745e1fe2c2bb3f93233d8a7730d028eed459d9cfe8a883423181,188,268,0.4704343708144429,5.9905771189486135e-06,295.22052001953125,1.9845114005719149,188.04837617484944,36387,0,610.6126770973206,0.4704343708144429,0.4712436010503612,,
40g,2767143051,P0,4,B,287,72,1a0fa6264d2865a21efa30b4d2ee62c916c92134d901bce5c51c62f7eedd0aa5,8146f0490cf94c631702b1fa0050296204e18c9edeb9b94ca91ffe59ad0e310c,215,295,0.7139009136968969,0.0002302670799971,240.67047119140625,2.3956782091787967,215.05824956266164,36387,10,744.7842860221863,0.7139009136968969,0.7878318895226204,,
40g,2767143051,P1,4,A,287,72,1a0fa6264d2865a21efa30b4d2ee62c916c92134d901bce5c51c62f7eedd0aa5,8146f0490cf94c631702b1fa0050296204e18c9edeb9b94ca91ffe59ad0e310c,500,500,1.6137091113622113,-0.0009511417370336,4276.19677734375,1.3198569851532684,0.0,774,6,1071.5205059051514,1.6137091113622113,1.9794032003253408,1.8142243412321448,1.6137091113622113
40g,2767143051,P1,4,B,287,72,1a0fa6264d2865a21efa30b4d2ee62c916c92134d901bce5c51c62f7eedd0aa5,8146f0490cf94c631702b1fa0050296204e18c9edeb9b94ca91ffe59ad0e310c,94,174,0.6425587763359376,0.0004471191389701,290.0498352050781,1.697286311230917,94.07291438598652,36387,6,373.1146597862244,0.6425587763359376,0.6622486223843065,,
40g,2767143051,P0,5,B,288,71,6c552c015beb69594fbd6fb6f1f4a2f279fd9f5db5c0a4ceb3be0d48ec671fd5,3f6ffc6107bd4c9b76ff27bcb9d7f9c7dd08f85dbbbbbfffa5877c0e1803f8fb,190,270,0.5816700871258531,5.3479732436523074e-05,277.4743957519531,2.327521064569971,190.0517145375083,36387,15,598.1574289798737,0.5816700871258531,0.60259838056499,,
40g,2767143051,P1,5,A,288,71,6c552c015beb69594fbd6fb6f1f4a2f279fd9f5db5c0a4ceb3be0d48ec671fd5,3f6ffc6107bd4c9b76ff27bcb9d7f9c7dd08f85dbbbbbfffa5877c0e1803f8fb,500,500,1.204423987452307,-0.0008126726451958,4763.63818359375,1.3319189319353206,0.0,774,0,1045.0807180404663,1.204423987452307,1.5205389808935512,1.3769706187149242,1.204423987452307
