dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,1641fe5f996432c1,C=CC(=O)OC1CCCCC1,0/1,3,3,True,1.291666666666667,0.8916666666666666
4g,896ce5c30687f90b,C=CC(=O)OC1CCCCC1,1/1,3,3,True,1.2333333333333334,0.6333333333333329
4g,3c77ba59485fa2d2,C=CC(=O)OC1CCCCC1,10/1,3,3,True,1.4833333333333334,0.29999999999999893
4g,2aaa1c262df70815,C=CC(=O)OC1CCCCC1,2/1,3,3,True,1.2750000000000004,1.0333333333333332
4g,03cb99185b5b1f96,C=CC(=O)OC1CCCCC1,20/1,3,3,True,1.9333333333333327,0.8166666666666629
4g,aa836d810a966d97,C=CC(=O)OC1CCCCC1,5/1,3,3,True,1.1916666666666673,0.4833333333333325
4g,dfb5fd073f5630df,C=CC(=O)OC1CCCCC1,50/1,3,3,True,2.9333333333333327,2.208333333333332
4g,e4aec88e6d6bf7ec,C=CC(=O)OCC(CC)CCCC,0/1,3,3,True,0.25833333333333375,1.3416666666666668
4g,f23230fbbc17f90f,C=CC(=O)OCC(CC)CCCC,1/1,3,3,True,1.541666666666667,1.075000000000001
4g,9ceeaed71d700b18,C=CC(=O)OCC(CC)CCCC,10/1,3,3,True,0.27500000000000036,2.033333333333333
4g,897efee0b31da47d,C=CC(=O)OCC(CC)CCCC,2/1,3,3,True,1.6000000000000005,1.1500000000000004
4g,6a01f8328fa63b73,C=CC(=O)OCC(CC)CCCC,20/1,3,3,True,1.3916666666666666,0.5166666666666657
4g,1f45d7f83c9ad68e,C=CC(=O)OCC(CC)CCCC,5/1,3,3,True,2.041666666666666,1.2166666666666668
4g,12ebd0be8ef18e49,C=CC(=O)OCC(CC)CCCC,50/1,3,3,True,1.3249999999999993,2.7749999999999986
4g,2ca96f48abcf3323,C=CC(=O)OCC(F)(F)F,0/1,3,3,True,1.6583333333333332,1.3833333333333337
4g,fca05f5b9ac6549e,C=CC(=O)OCC(F)(F)F,1/1,3,3,True,0.5999999999999996,1.4000000000000004
4g,f7e02f7138632ba9,C=CC(=O)OCC(F)(F)F,10/1,3,3,True,1.6083333333333334,0.4083333333333332
4g,312149bae97a5402,C=CC(=O)OCC(F)(F)F,2/1,3,3,True,1.833333333333333,0.9916666666666671
4g,b7dda7433c0c2091,C=CC(=O)OCC(F)(F)F,20/1,3,3,True,0.2833333333333332,0.9750000000000014
4g,aa4e2822ca17fd6c,C=CC(=O)OCC(F)(F)F,5/1,3,3,True,1.3833333333333337,0.3999999999999986
4g,aaae720565a2fcae,C=CC(=O)OCC(F)(F)F,50/1,3,3,True,1.791666666666666,0.7083333333333357
