column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
40g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,12.2972213562051,7.979866188934501,0.7369187931292509,15.947116781932507,11.130807610291026,0.7465843975989692,1.3075796968030728,1.3075796968030728,1.2762900262666235,1.2762900262666235,True
40g,row,2767143051,CORRECTED_JOINT_FULL128,11.111278082941821,7.327181518950888,0.7852150347121808,14.860367919225405,10.323607197663007,0.7799465788004756,1.192239786612478,1.192239786612478,1.1672372834006592,1.1672372834006592,True
40g,row,2767143051,BALANCED_JOINT_FULL128,11.110141936288716,7.368278898548103,0.7852589567059484,15.073916389144758,10.575341990992221,0.773576653430319,1.1973299630836756,1.1973299630836756,1.1738068201813274,1.1738068201813274,True
40g,row,2767143051,A2_HIER_SHRINK_ORIGINAL,11.111278082941821,7.327181518950888,0.7852150347121808,14.860367919225405,10.323607197663007,0.7799465788004756,1.192239786612478,1.192239786612478,1.1672372834006592,1.1672372834006592,True
40g,row,2767143051,A3_HIER_SHRINK_BALANCED,11.110141936288716,7.368278898548103,0.7852589567059484,15.073916389144758,10.575341990992221,0.773576653430319,1.1973299630836756,1.1973299630836756,1.1738068201813274,1.1738068201813274,True
40g,row,2767143051,paper_style_current_v2,10.819079198636862,7.548342322222222,0.796363115433235,12.964650574050788,9.507497611111111,0.8325093248831461,1.1259601622489461,1.1259601622489461,1.089736709778372,1.089736709778372,True
40g,row,1362771960,OLD_HIER_REFERENCE,16.07317977256964,9.405426004124436,0.6571221533893223,18.951592112112763,14.16454947961488,0.7713312054829294,1.6659189587637395,1.6659189587637395,1.6093346876514145,1.6093346876514145,True
40g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,16.170994657022316,9.49427669733067,0.6529362227292053,19.055174515047444,14.210092079266595,0.7688247360835856,1.6757985507998323,1.6757985507998323,1.6187630295744222,1.6187630295744222,True
40g,row,1362771960,CORRECTED_JOINT_FULL128,15.084065724634852,8.488499544775003,0.6980238429468751,17.44213853154068,12.107906311988195,0.8063065369741362,1.5559029865318512,1.5559029865318512,1.4996249921260676,1.4996249921260676,True
40g,row,1362771960,BALANCED_JOINT_FULL128,15.584985004799245,9.237203503317323,0.6776344684110979,17.888752671262452,12.843137015638264,0.7962603198062926,1.6047042122661253,1.6047042122661253,1.5453008564798427,1.5453008564798427,True
40g,row,1362771960,A2_HIER_SHRINK_ORIGINAL,15.230112635196019,8.492186358106796,0.6921479483343206,17.68151554204226,12.515267050660986,0.8009535321952863,1.5724987829506594,1.5724987829506594,1.5163372601266358,1.5163372601266358,True
40g,row,1362771960,A3_HIER_SHRINK_BALANCED,15.54145267455286,9.072418681623331,0.6794328305757882,18.00509855277764,13.077642866572333,0.793601514273724,1.6038213134595392,1.6038213134595392,1.5461570389156403,1.5461570389156403,True
40g,row,1362771960,paper_style_current_v2,14.114413126354627,8.084523586206895,0.7355999871697525,16.287930074417332,11.039848701149426,0.8310931380784737,1.4551699947618149,1.4551699947618149,1.402198791091514,1.402198791091514,True
