outer_seed,strategy,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
42,pretrained_coverage,5,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,31f45fa73be0ab46f3e020be9ad370f5b6263016b3ed02610f6c8c487fc88105
42,pretrained_coverage,6,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,29aaccf513d20405b30a30b8f7ed060e76e6c574862998ae0a0da6edd1d57754
42,pretrained_coverage,6,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,289374f4222c6aad77c190043cee2b49d6a7a4ff6103e3f73e9ef3f30553fdcd
42,pretrained_coverage,6,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,e07d2f75f969ba823180632e56e4c5fccfb3000e3b45f42aa8ec728d3ce646b9
42,pretrained_coverage,7,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,5704c27acd99f63f6d39472e36d05f0e63293c65b78b089ddddea2375ffc7c4e
42,pretrained_coverage,7,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,2a289d120a0250975f58852b5d4f2e148014a6d866bb9dcbf739eea419118799
42,pretrained_coverage,7,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,05d5a221078420fd4eaa545e165b5ad2c59a0ab9ef2e69ad225817a149c12c49
42,pretrained_ensemble,1,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,4e75525a58ae3cf0b7664d4648d3a9fc1b8cbfe63c6a4effe2ad3ef229567222
42,pretrained_ensemble,1,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,07af19ceab9cd30c245694ab62c8b0aa5ce2b1215b58e3e31bba11ca62702deb
42,pretrained_ensemble,1,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,2dbb413b67c5d3d667155932d48d2da1b25234ac366a5939e1e4f359a13f9f26
