outer_seed,source_round,active_label_count,representation,effective_rank,pairwise_kernel_abs_corr,latent_mean_direction_ratio
6101,4,461,fused_a050_counterfactual_on_a080_trajectory,11.328282937134185,0.5393511250695723,0.4822625014844206
6101,4,461,fused_a080,20.466713613525712,0.36095634606343724,0.4822625014844206
6101,5,493,gradient_a080_trajectory,33.25561888951646,0.1834631865628936,0.4870246211212022
6101,5,493,latent_a080_trajectory,2.7585003340740415,0.7695681847104673,0.4870246211212022
6101,5,493,centered_latent_diagnostic,3.5244431339618427,0.6731644013861832,0.4870246211212022
6101,5,493,fused_a050_counterfactual_on_a080_trajectory,13.4551066029723,0.5064380107661164,0.4870246211212022
6101,5,493,fused_a080,25.32637988260131,0.32675118474947445,0.4870246211212022
6101,6,525,gradient_a080_trajectory,18.24257296711349,0.19537079829108406,0.530188069104505
6101,6,525,latent_a080_trajectory,2.595024773346757,0.7870774779991938,0.530188069104505
6101,6,525,centered_latent_diagnostic,3.374520215177598,0.6709300547920609,0.530188069104505
6101,6,525,fused_a050_counterfactual_on_a080_trajectory,8.65000190059399,0.6147026142798044,0.530188069104505
6101,6,525,fused_a080,14.853016087924054,0.4362107789408877,0.530188069104505
6101,7,557,gradient_a080_trajectory,20.58433063383876,0.20535620731637808,0.5460202769805107
6101,7,557,latent_a080_trajectory,2.7419638908602533,0.7719980296694897,0.5460202769805107
6101,7,557,centered_latent_diagnostic,3.454424793871309,0.6690093406808395,0.5460202769805107
6101,7,557,fused_a050_counterfactual_on_a080_trajectory,9.016871233915777,0.6091994492513081,0.5460202769805107
6101,7,557,fused_a080,16.04786666925058,0.439535505625508,0.5460202769805107
6101,8,589,gradient_a080_trajectory,24.435227121004797,0.18027034626382657,0.5370884003346955
6101,8,589,latent_a080_trajectory,2.9018307062401205,0.7633550960542628,0.5370884003346955
6101,8,589,centered_latent_diagnostic,3.372153115969142,0.6878416714464538,0.5370884003346955
6101,8,589,fused_a050_counterfactual_on_a080_trajectory,10.543922411078714,0.5755137300326079,0.5370884003346955
6101,8,589,fused_a080,19.015536180011335,0.39390393151730324,0.5370884003346955
6101,9,621,gradient_a080_trajectory,27.28285386722234,0.17168731965957473,0.5455381327997156
6101,9,621,latent_a080_trajectory,3.015210603625904,0.732970481806634,0.5455381327997156
6101,9,621,centered_latent_diagnostic,3.4793518749483723,0.6711593203443491,0.5455381327997156
6101,9,621,fused_a050_counterfactual_on_a080_trajectory,11.668267993843576,0.5312511820230436,0.5455381327997156
6101,9,621,fused_a080,21.192475197521336,0.3534400834489901,0.5455381327997156
157,0,333,fused_a050_historical_trajectory,12.560268857773249,0.4945331538157115,
157,1,365,fused_a050_historical_trajectory,10.526360180050656,0.5450882518371519,
157,2,397,fused_a050_historical_trajectory,9.311660047019984,0.6006013788187603,
157,3,429,fused_a050_historical_trajectory,9.950463747185236,0.5631206281648679,
157,4,461,fused_a050_historical_trajectory,12.001479201242406,0.5055801228930946,
157,5,493,fused_a050_historical_trajectory,11.44986818110556,0.5219253875537635,
157,6,525,fused_a050_historical_trajectory,11.535717921676085,0.5239368969911562,
157,7,557,fused_a050_historical_trajectory,8.735514761184005,0.5969740175904829,
157,8,589,fused_a050_historical_trajectory,9.236002641225031,0.5978594706624558,
157,9,621,fused_a050_historical_trajectory,14.0166646979006,0.4857394385603752,
6101,0,333,fused_a050_historical_trajectory,13.196018955742389,0.4405129506477042,
6101,1,365,fused_a050_historical_trajectory,10.24339513336581,0.5045496892236375,
6101,2,397,fused_a050_historical_trajectory,11.812793835869916,0.5223357576310944,
6101,3,429,fused_a050_historical_trajectory,10.688160682009133,0.5304699120288214,
6101,4,461,fused_a050_historical_trajectory,9.569142167758422,0.6047838536801681,
6101,5,493,fused_a050_historical_trajectory,9.436801550009355,0.6081822549479975,
6101,6,525,fused_a050_historical_trajectory,9.100897242572055,0.6163566173748327,
6101,7,557,fused_a050_historical_trajectory,8.625713917075625,0.6193585082679768,
