column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V1_relative_excluded_rows,V1_median_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error,V2_relative_excluded_rows,V2_median_absolute_error
25g,row,769539383,100,100,standard_shallow_finetune,0.7272359896501828,16.720040161299284,9.388124,0.7577791770854893,25.184228506430703,13.435187438775507,1.8650145326778251,True,1.844223864545941,9.455476997311832,10.303363393844108,0.15468493144944667,0,5.110578500000003,13.127051626344086,14.255807110337292,0.15188774527617127,0,7.924325999999999
25g,row,769539383,100,100,packing_mass_physical_scale,0.6867986853791057,17.916598885426563,11.37250752643663,0.27468071078739176,43.580030237062715,37.438963238317136,2.50184403089913,True,2.492283878587308,12.09212116732072,12.562021894013396,0.35066631350168703,0,8.888734424114228,38.284391973480105,39.29837752674944,0.738500135517872,0,31.440665030479433
25g,row,769539383,100,100,physics_scale_residual,0.7527251645247935,15.91965836314184,9.117223083294173,0.7719901980613104,24.434287087681135,13.724291934888628,1.7877120880168897,True,1.7701118829993976,9.666442529989695,10.254192271493178,0.17832446552398673,0,5.720266708022555,14.18415622659414,15.085902655510983,0.20092740899991948,0,8.324083653980807
25g,row,769539383,100,100,raw_column_conditioned,0.2853807400569074,27.063324263999544,18.435892775510204,0.5204281238847693,35.43641399960498,22.78036268877551,2.885740673847111,True,2.8194080920503106,19.609871156854844,20.346276563771465,0.5567413083909496,0,12.15520175,24.510723779569894,25.566740956864855,0.41181616686179684,0,15.374072500000002
25g,row,769539383,100,100,mass_normalized_column_conditioned,0.8155853781383668,13.748061269189206,8.664026306122448,0.721175783551375,27.020175083287533,20.25990474489796,1.713037833820187,True,1.7127386493261638,9.202171358870967,9.835033958817391,0.21098304406646617,0,5.726753500000001,20.57319089381721,21.708690371263422,0.3469111209324557,0,17.177834999999995
25g,row,1425370602,100,100,scale_only,0.7506026163367696,22.000145136862393,12.75187478549452,0.812019314730011,30.623217235751987,19.589013778760584,2.3899566712669555,True,2.3484299064246743,12.979084149628553,14.47368482239343,0.22547867974104377,0,6.914242512431072,19.235486208030515,20.841579157853722,0.23593835643773053,0,12.720962098892105
25g,row,1425370602,100,100,local_identity_shrinkage,0.7456830015457943,22.216073008007534,11.982918959815384,0.8116834341616896,30.65056353757589,18.322121503323668,2.406661623804643,True,2.3629820112887616,12.424316221925414,14.085840367849187,0.1726529384318652,0,5.949739074772458,19.159135497953127,21.10508320741371,0.1868970606800346,0,9.590871716635549
25g,row,1425370602,100,100,conditional_EA,0.7736400947808559,20.95942437208477,10.849950551715963,0.8194863280367128,30.008842990401085,18.103931764796673,2.2977792602512896,True,2.2632836429664795,11.12288840884014,12.678071782629864,0.15335614548291293,0,4.978285918952539,18.902893253166592,20.79500438155925,0.19098557000281374,0,8.425440966992625
25g,row,1425370602,100,100,conditional_policy,0.7736400947808559,20.95942437208477,10.849950551715963,0.8194863280367128,30.008842990401085,18.103931764796673,2.2977792602512896,True,2.2632836429664795,11.12288840884014,12.678071782629864,0.15335614548291293,0,4.978285918952539,18.902893253166592,20.79500438155925,0.19098557000281374,0,8.425440966992625
25g,row,1425370602,100,100,target_head_only,0.4527384546880163,32.58945258563199,18.571751887755102,0.3091000785751974,58.70860656134055,36.001974295918366,3.9013758585138567,True,3.893860865734658,19.678661662429377,21.876853922325594,0.2817372684948689,0,8.067362,38.3201571398305,41.90587878237088,0.3917043631316314,0,18.1176345
