column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,1425370602,70,70,target_head_only,center,115,6.2444467723478265,3.3653335897101453,1.5244186666666657
8g,row,1425370602,70,70,target_head_only,width,115,5.357292370009303,3.4208861446376817,2.0005366666666653
8g,row,1425370602,70,70,standard_shallow_finetune,center,115,7.3058285953971005,4.172321732173914,2.010360833333335
8g,row,1425370602,70,70,standard_shallow_finetune,width,115,6.572444935797328,4.337918781449276,2.6845236666666743
8g,row,1425370602,70,70,packing_mass_physical_scale,center,115,6.69082557293545,4.029744258963545,2.533533795674643
8g,row,1425370602,70,70,packing_mass_physical_scale,width,115,9.616814076506442,6.680642865222434,4.607074610392253
8g,row,1425370602,70,70,physics_scale_residual,center,115,7.7100912142970754,4.5671779504305015,3.3118908682993844
8g,row,1425370602,70,70,physics_scale_residual,width,115,6.510605990313341,4.174430483902083,2.4754752708038534
8g,row,1425370602,70,70,raw_column_conditioned,center,115,16.27007860885636,6.385177657826087,2.534776166666667
8g,row,1425370602,70,70,raw_column_conditioned,width,115,9.005603210469193,4.803044646086956,2.6808489999999985
8g,row,1425370602,70,70,mass_normalized_column_conditioned,center,115,5.787157158099935,3.3724671688405805,1.8683188333333334
8g,row,1425370602,70,70,mass_normalized_column_conditioned,width,115,6.238906980064896,4.111319917391305,2.189041333333334
8g,row,1425370602,100,100,scale_only,center,115,6.436685645051271,3.82366181198157,2.376795678182905
8g,row,1425370602,100,100,scale_only,width,115,6.055145347764657,3.902837490937103,2.6431715054061726
8g,row,1425370602,100,100,local_identity_shrinkage,center,115,6.380597859231006,3.627691006612133,1.9261006388180597
8g,row,1425370602,100,100,local_identity_shrinkage,width,115,6.733373866770649,4.272025670650049,2.84817566051702
8g,row,1425370602,100,100,conditional_EA,center,115,6.463913224521207,3.6568053280758495,1.8238813695442602
8g,row,1425370602,100,100,conditional_EA,width,115,6.5072568070664465,4.150493239822132,2.6371341879379493
8g,row,1425370602,100,100,conditional_policy,center,115,6.380597859231006,3.627691006612133,1.9261006388180597
8g,row,1425370602,100,100,conditional_policy,width,115,6.733373866770649,4.272025670650049,2.84817566051702
8g,row,1425370602,100,100,target_head_only,center,115,6.270060185907924,3.378524644492753,1.5525813333333325
8g,row,1425370602,100,100,target_head_only,width,115,5.374017042891294,3.426524545797101,2.0419369999999972
8g,row,1425370602,100,100,standard_shallow_finetune,center,115,7.000277047232611,4.001450914492755,2.22715
8g,row,1425370602,100,100,standard_shallow_finetune,width,115,6.251793727771239,4.347320862028986,3.017416666666673
8g,row,1425370602,100,100,packing_mass_physical_scale,center,115,6.69082557293545,4.029744258963545,2.533533795674643
8g,row,1425370602,100,100,packing_mass_physical_scale,width,115,9.616814076506442,6.680642865222434,4.607074610392253
8g,row,1425370602,100,100,physics_scale_residual,center,115,6.927525680267411,3.9839271699726986,2.227297932214043
8g,row,1425370602,100,100,physics_scale_residual,width,115,6.0825293818894215,3.9725547383133217,2.586170960799519
8g,row,1425370602,100,100,raw_column_conditioned,center,115,16.65457506391495,6.955380881304347,2.7274931666666653
8g,row,1425370602,100,100,raw_column_conditioned,width,115,9.42889875963634,5.062860118550724,2.7300933333333344
8g,row,1425370602,100,100,mass_normalized_column_conditioned,center,115,5.934553779717671,3.6105814799999996,1.8518211666666673
8g,row,1425370602,100,100,mass_normalized_column_conditioned,width,115,6.312327338545071,4.2214560081159425,2.4848593333333344
8g,row,536279090,30,30,scale_only,center,115,5.376980782541603,3.4638724594303554,2.302384435163141
8g,row,536279090,30,30,scale_only,width,115,4.933472051434554,3.402683460783796,2.306516067782553
8g,row,536279090,30,30,local_identity_shrinkage,center,115,5.623751757581093,3.610824863762714,2.229932390525647
8g,row,536279090,30,30,local_identity_shrinkage,width,115,4.74927046133661,3.364160714113138,2.2906264661753415
8g,row,536279090,30,30,conditional_EA,center,115,6.545590586047278,4.344623201944992,3.170129472969009
8g,row,536279090,30,30,conditional_EA,width,115,5.931530700468983,3.9263546967039504,2.524844042286521
8g,row,536279090,30,30,conditional_policy,center,115,5.623751922860852,3.6108249444272005,2.2299324940444123
8g,row,536279090,30,30,conditional_policy,width,115,4.749270520869144,3.364160776194759,2.290626485634279
8g,row,536279090,30,30,target_head_only,center,115,6.111500756911841,3.590832642753623,1.8380316666666658
8g,row,536279090,30,30,target_head_only,width,115,4.375801167698845,3.169677117391303,2.247253666666669
8g,row,536279090,30,30,standard_shallow_finetune,center,115,6.161028309747988,4.18534005231884,2.6138706666666636
