column,protocol,seed,budget,target,scale,train_rows,compounds,q50_min,q50_max,q50_q90,upper10_x2_leverage,without_upper10_scale,without_upper10_relative_change,leave_compound_min_scale,leave_compound_max_scale,leave_compound_max_relative_change,packing_mass_ratio,absolute_difference,relative_difference
25g,row,536279090,100,V1,5.496523045841718,92,53,2.5635707,18.965853,9.8442915,0.422354386018438,5.275329774328227,-0.0402423986343203,5.26569228611344,5.686846198675698,0.0419957776585523,6.25,0.7534769541582822,0.12055631266532515
25g,row,536279090,100,V2,3.864121339033724,92,53,5.9683657,44.45729,25.1677988,0.3722186312827532,3.6276527240778655,-0.0611959600148039,3.7429150880467126,3.951091300883532,0.0313670923743095,6.25,2.385878660966276,0.3817405857546041
25g,row,769539383,30,V1,5.2084259531121635,22,19,3.755535,14.889184,10.738665400000006,0.428974925031248,5.220435585292103,0.0023058083743636,4.568236289483449,5.705509402633826,0.1229142296332704,6.25,1.0415740468878365,0.16665184750205383
25g,row,769539383,30,V2,4.155937336168501,22,19,7.6373034,44.912045,27.012307600000007,0.5077452710626975,3.859106337667612,-0.0714233575943538,3.86224466221558,4.230372002460335,0.0706682151814364,6.25,2.094062663831499,0.33505002621303986
25g,row,769539383,50,V1,6.121834368152093,42,28,3.755535,18.57676,10.8974939,0.4201633318925339,5.1620077219859875,-0.1567874248868046,5.599813066817849,6.395659479472726,0.0852720393825059,6.25,0.1281656318479074,0.020506501095665187
25g,row,769539383,50,V2,4.517822980628593,42,28,7.467815,49.247925,28.559456199999996,0.5273560181667406,3.754038015256858,-0.1690604011371568,4.214878623507423,4.579306828044123,0.0670553845115505,6.25,1.7321770193714068,0.2771483230994251
25g,row,769539383,70,V1,6.09219549164226,62,38,3.6452992,31.033888,11.3772896,0.5495162865715303,5.412968080267716,-0.1114914011387782,5.78307638663845,6.234197816068069,0.0507401815040051,6.25,0.1578045083577404,0.025248721337238465
25g,row,769539383,70,V2,4.534697947640182,62,38,7.262408,50.78328,33.4649727,0.5114733074568837,3.9104533701966377,-0.1376595717402513,4.30129717349282,4.600307557000393,0.0514699715046779,6.25,1.7153020523598181,0.2744483283775709
25g,row,769539383,100,V1,5.785399637252737,92,49,3.057639,31.033888,14.681650800000012,0.5537090324875623,5.541719944666026,-0.042119768359239,5.582465617400149,6.093521146371107,0.0532584658688652,6.25,0.46460036274726324,0.07433605803956211
25g,row,769539383,100,V2,4.4128683768144805,92,49,7.262408,50.78328,36.31836550000001,0.4618277766333762,3.712199566050412,-0.158778542873708,4.25558953473014,4.527873792948562,0.0356409547383499,6.25,1.8371316231855195,0.2939410597096831
25g,row,1362771960,30,V1,5.167621834942793,22,20,4.116272,18.965853,8.0522442,0.4631027642335698,5.045753260681289,-0.0235831061470953,4.712331883654908,5.420527319726051,0.0881043477696592,6.25,1.0823781650572073,0.17318050640915317
25g,row,1362771960,30,V2,3.6062879624215487,22,20,7.6373034,32.75342,20.080707,0.3943861384872908,3.6320619511734455,0.007146958041196,3.2699113316675983,3.7856536018954983,0.093275033568889,6.25,2.6437120375784513,0.4229939260125522
25g,row,1362771960,50,V1,5.531009801530129,42,32,3.0023463,23.030262,9.1255565,0.52505195253265,4.724212794720543,-0.1458679401700552,5.27400645070708,5.643680045402375,0.0464659004494895,6.25,0.7189901984698706,0.11503843175517929
25g,row,1362771960,50,V2,3.9554601438807833,42,32,7.467815,46.31017,22.144732,0.4968953254657386,3.310854861972766,-0.1629659403610073,3.7650996030760657,4.035441852203846,0.0481260166656491,6.25,2.2945398561192167,0.3671263769790747
25g,row,1362771960,70,V1,5.3243545709687154,62,44,3.0023463,23.030262,11.896651199999996,0.5342807291192793,4.550838202447884,-0.145278898730461,5.130845964614698,5.511351888469466,0.0363440495509318,6.25,0.9256454290312846,0.14810326864500553
25g,row,1362771960,70,V2,3.872622789988855,62,44,7.467815,46.31017,24.9670118,0.4733039786310342,3.164219746012375,-0.1829259089751208,3.741386938203736,3.9605931615067935,0.0338881060464699,6.25,2.377377210011145,0.3803803536017832
25g,row,1362771960,100,V1,5.466464486393943,92,56,3.0023463,31.897373,13.552102000000009,0.5703492018706698,4.909387942599681,-0.1019080148020404,5.319404053331343,5.59234780342578,0.0269022936906722,6.25,0.7835355136060569,0.1253656821769691
25g,row,1362771960,100,V2,3.9658136388578966,92,56,7.467815,69.369545,26.3449072,0.5005233916788848,3.450467766200755,-0.1299470725521925,3.874888181661498,4.007902207406888,0.022927314663879,6.25,2.2841863611421034,0.3654698177827365
25g,row,1425370602,30,V1,6.185687146837173,22,21,3.6452992,14.745832,9.5244963,0.4488174889934456,5.426080731718079,-0.1228006520678129,5.422897603222267,6.351853260404242,0.1233152478467863,6.25,0.06431285316282676,0.01029005650605228
25g,row,1425370602,30,V2,4.353213400389698,22,21,8.16814,34.158527,21.643096900000007,0.4404035985253633,3.7960550472213015,-0.1279878337961836,3.989722410329225,4.45096533390562,0.0834994650223058,6.25,1.8967865996103024,0.3034858559376484
25g,row,1425370602,50,V1,6.449950648683713,42,34,3.3127692,20.160357,9.533632699999998,0.4541525450977823,5.2778588811124845,-0.1817210443013894,6.13471719225372,6.571760294088116,0.0488737780488793,6.25,0.19995064868371326,0.03199210378939412
25g,row,1425370602,50,V2,4.7204883250378,42,34,7.5138326,38.356018,21.658529999999995,0.4471868120865634,3.917993362792683,-0.1700025308798302,4.50223831867681,4.79991271946555,0.0462346247534131,6.25,1.5295116749622002,0.24472186799395204
25g,row,1425370602,70,V1,6.157981588834681,62,48,3.0023463,20.160357,9.2418581,0.4206876139218218,5.171208089445239,-0.1602430090370206,5.883482522385731,6.253672299707705,0.0445761427651321,6.25,0.09201841116531906,0.01472294578645105
25g,row,1425370602,70,V2,4.527990484059133,62,48,5.9683657,38.356018,21.658529999999995,0.4218524528210432,3.817323123118888,-0.156949835350176,4.347849402423236,4.603001449193319,0.0397838913906923,6.25,1.7220095159408668,0.2755215225505387
25g,row,1425370602,100,V1,5.711692914800367,92,57,2.5635707,38.12106,10.163217700000004,0.5579821075729705,5.009526469119723,-0.1229349084684091,5.5444915940323245,5.781160711708064,0.0292735136958753,6.25,0.5383070851996328,0.08612913363194125
25g,row,1425370602,100,V2,4.370777525892378,92,57,5.9683657,68.00047,25.442452600000024,0.5044648352690518,3.7066071645028313,-0.1519570276581267,4.2634112179857455,4.421340105852885,0.024564578560816,6.25,1.879222474107622,0.30067559585721954
25g,row,2767143051,30,V1,5.818741815817914,22,18,3.5878193,17.803343,12.350332400000008,0.5744983620745243,5.271484437508268,-0.0940508095447641,5.152681289656137,6.177238031608975,0.1144681354225289,6.25,0.43125818418208617,0.06900130946913378
25g,row,2767143051,30,V2,4.113736990737229,22,18,7.920611,44.465275,32.52142900000001,0.6294813419741748,3.983876127494601,-0.0315676144427881,3.721519033675883,4.420370194760633,0.0953434694401929,6.25,2.1362630092627706,0.3418020814820433
25g,row,2767143051,50,V1,5.6564630870478805,42,31,3.3554714,17.803343,12.366160199999996,0.4927799266686339,5.2637140811581755,-0.0694336725698817,5.2965198822177735,5.818970253467245,0.063633970431859,6.25,0.5935369129521195,0.09496590607233912
25g,row,2767143051,50,V2,4.142160368114786,42,31,7.029513,44.465275,26.1493558,0.5435907363593108,4.05741303218802,-0.0204596945543509,3.912381785380956,4.331473292994737,0.0554731256912702,6.25,2.1078396318852137,0.3372543411016342
25g,row,2767143051,70,V1,5.39768578302156,62,39,3.3554714,18.965853,12.7142917,0.472895806724744,4.895047223374949,-0.0931211226165966,5.106836111595525,5.59487618024838,0.0538841427822462,6.25,0.8523142169784403,0.13637027471655044
25g,row,2767143051,70,V2,4.030681739439171,62,39,7.029513,44.465275,32.33486109999999,0.4896390370236347,3.701623495108864,-0.081638359365007,3.90169550134935,4.11648069565796,0.0320010971910096,6.25,2.2193182605608293,0.35509092168973266
25g,row,2767143051,100,V1,5.489194203853465,92,53,3.3554714,24.012196,12.7142917,0.4855853746012724,5.143485974277359,-0.0629797774932822,5.136177920738697,5.8078224794485,0.0643111301959307,6.25,0.7608057961465349,0.12172892738344558
25g,row,2767143051,100,V2,4.118307879148042,92,53,7.029513,52.568775,28.359637000000017,0.4663423845746487,3.79319908832025,-0.0789423230045266,3.88509553174157,4.2332480606929845,0.0566281963976711,6.25,2.131692120851958,0.34107073933631327
40g,compound,536279090,30,V1,11.027709069621771,24,4,4.079132,32.385674,10.1363839,0.6433425344546949,10.268825821442626,-0.0688160381624189,10.04770864466627,11.383059905802575,0.0888670909586403,10.0,1.0277090696217712,0.10277090696217712
40g,compound,536279090,30,V2,7.162273486183692,24,4,7.2694077,61.525276,25.7274747,0.4975856997086207,5.749003952503787,-0.1973213584214785,6.0146785448762765,7.624047612232277,0.1602277466116271,10.0,2.8377265138163077,0.28377265138163077
40g,compound,536279090,50,V1,10.32466365609079,45,7,3.5799577,32.385674,10.0815762,0.6372653348357118,9.3090808059252,-0.0983647394233971,9.560302371442996,10.662398359760845,0.0740325602952572,10.0,0.32466365609078984,0.032466365609078986
40g,compound,536279090,50,V2,7.104916198907144,45,7,5.9683657,61.525276,25.5786216,0.524338464441133,5.752348071071693,-0.1903707362577336,6.571117767024917,7.367971599725472,0.0751308554440565,10.0,2.8950838010928557,0.2895083801092856
40g,compound,536279090,70,V1,11.159200500399711,65,10,3.5799577,32.385674,11.6407348,0.5940265820952348,11.35186129873416,0.0172647492378639,10.611965330106823,11.581776918751231,0.0490389226605693,10.0,1.1592005003997112,0.11592005003997112
40g,compound,536279090,70,V2,7.434567449566467,65,10,5.9683657,61.525276,26.6779566,0.4980924521419996,6.240975117276576,-0.1605463048639761,7.22159585801492,7.63626480295939,0.0286461307932536,10.0,2.565432550433533,0.2565432550433533
40g,compound,536279090,100,V1,11.36728963443682,93,13,3.5799577,32.385674,12.546067999999998,0.5976444192813202,11.146483912737969,-0.0194246587181108,11.01218331196744,11.667274195613928,0.0312393133182424,10.0,1.3672896344368208,0.13672896344368207
40g,compound,536279090,100,V2,7.487450750182149,93,13,5.9683657,61.525276,27.580584199999997,0.4975662072360686,6.4413339808622485,-0.1397160133967427,7.346135349838701,7.619997347328996,0.0188736333711456,10.0,2.5125492498178508,0.2512549249817851
40g,compound,769539383,30,V1,10.237407338120368,21,3,4.0698633,14.11145,8.755526,0.3982757110753057,8.799524820409609,-0.1404537760607227,9.160179866924135,10.852152424066986,0.1052246370216243,10.0,0.2374073381203683,0.02374073381203683
40g,compound,769539383,30,V2,6.439157542908068,21,3,7.4095073,31.910273,21.781008,0.4623153400459431,5.954426029775476,-0.0752787161833714,5.935620773815521,6.685362106603357,0.0781991690274964,10.0,3.5608424570919324,0.3560842457091932
40g,compound,769539383,50,V1,11.479361999901728,42,6,4.0698633,14.11145,8.557272699999999,0.3549264088829164,10.784561562967824,-0.0605260498745358,10.097028504580088,12.033194052081829,0.1204190176538969,10.0,1.4793619999017285,0.14793619999017285
40g,compound,769539383,50,V2,7.58821229367363,42,6,7.2694077,32.709404,21.5436459,0.3928131227198188,7.815257486022638,0.0299207749548993,6.503870245496116,7.879450151576072,0.1428982224286925,10.0,2.41178770632637,0.241178770632637
40g,compound,769539383,70,V1,12.595189953118956,62,9,4.0698633,25.992563,10.4169092,0.5376403788322086,10.691274568925364,-0.1511621016658129,12.091056248528382,12.892839398809093,0.0400258913495572,10.0,2.5951899531189557,0.2595189953118956
40g,compound,769539383,70,V2,8.065531940949516,62,9,7.2694077,59.71578,27.413744499999993,0.5245411679760116,7.25612894056941,-0.1003533314734872,7.701614637828008,8.206974740985808,0.0451200622334483,10.0,1.9344680590504844,0.19344680590504842
40g,compound,769539383,100,V1,11.543273001399688,86,13,3.755535,39.051468,10.24227,0.604049565531137,9.990152125096852,-0.134547703767771,11.104549756918823,12.02230749971991,0.0414990183687189,10.0,1.5432730013996885,0.15432730013996884
40g,compound,769539383,100,V2,7.378983292348105,86,13,7.121008,73.57818,28.7660985,0.5289254208932054,6.470287508248107,-0.1231464753473967,7.075975505129859,7.63931499097841,0.0410636228885976,10.0,2.6210167076518953,0.26210167076518953
40g,compound,1362771960,30,V1,14.656875739934549,21,3,3.75889,11.419816,6.336005,0.3341432389231978,10.082896628462573,-0.3120705389491417,10.24997335288702,17.32428447159957,0.3006713344127188,10.0,4.656875739934549,0.46568757399345484
40g,compound,1362771960,30,V2,7.649440017223049,21,3,7.8815317,33.993675,20.762665,0.4141978115530442,5.776942328714903,-0.2447888583075539,5.904571986724899,8.498749423796484,0.228104021545303,10.0,2.350559982776951,0.2350559982776951
