canonical_smiles,sample_id,source_row_count,same_compound_condition_distance,global_condition_distance
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,546046afb5114d631360,17,0.08570659987136706,0.08570659987136706
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,c780d2f5194817087e07,17,0.08570659987136706,0.08570659987136706
CC(=O)c1ccc2c(c1)OCO2,147b560e4c606680c7b2,17,0.39809719847003255,0.08066523629261645
CC(=O)c1ccc2c(c1)OCO2,6f34563b6236c57b9c60,17,0.39809719847003255,0.08066523629261645
CC(=O)c1ccc2c(c1)OCO2,7396668aaa8d372aa464,17,0.39809719847003255,0.08066523629261645
CC(=O)c1ccc2c(c1)OCO2,78b04c44dfa852f4e621,17,0.39809719847003255,0.39809719847003255
CC(=O)c1ccc2c(c1)OCO2,f191e08b3e95928a5423,17,0.39809719847003255,0.39809719847003255
CC(=O)c1ccc2c(c1)OCO2,f5634113e0822bda1c03,17,0.4423065262848394,0.39809719847003255
CC(=O)c1ccc2c(c1)OCO2,fb80794857ddc46e142c,17,0.39809719847003255,0.08066523629261645
CC(=O)c1ccccc1,1e86d81fe1995d367fe1,26,0.0,0.0
CC(=O)c1ccccc1,1fe1163f7d97c16f3822,26,0.0,0.0
CC(=O)c1ccccc1,358681452207464d171e,26,0.0,0.0
CC(=O)c1ccccc1,614e6d0929b0845d454b,26,0.0,0.0
CC(=O)c1ccccc1,a542d702abb1fa77a6fc,26,0.0,0.0
CC(=O)c1ccccc1,c00e01085f35d19cd90f,26,0.0,0.0
CC(=O)c1ccccc1C,130d76d2d46a287c5dea,23,0.0,0.0
CC(=O)c1ccccc1C,3ef4b1ab56fe40940b42,23,0.0,0.0
CC(=O)c1ccccc1C,41a468134f078d2de17d,23,0.19275290857590927,0.018672334283667352
CC(=O)c1ccccc1C,57af4b867d9cd419ebb9,23,0.0,0.0
CC(=O)c1ccccc1C,a340148c4096f80cc125,23,0.0,0.0
CC(=O)c1ccccc1C,b4899d5d03e44fbf885c,23,0.0,0.0
CC(=O)c1ccccc1C,ff8745125a0eeb17c1e5,23,0.0,0.0
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,22fcaa293d9525e1f4e7,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,2964279ae2fd8a820ae1,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,376fc6387117429bcb19,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,3fbc880a145bcc2155c9,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,556baeed852270e9c0fc,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,5965305884ee5fba94d8,21,0.10363216044982893,0.002800757543750365
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,e7e3cdff8a4b43574b19,21,0.10363216044982893,0.002800757543750365
CC(C)(CCl)c1ccccc1,0f3559d035355b0eec80,21,0.0,0.0
CC(C)(CCl)c1ccccc1,6322e8f867a741eed74c,21,0.0,0.0
CC(C)(CCl)c1ccccc1,96dc3dc2ebd074200228,21,0.0,0.0
CC(C)(CCl)c1ccccc1,bbabdb9085edbb8c178b,21,0.0,0.0
CC(C)(CCl)c1ccccc1,c2b0aff65443af0a8618,21,0.0,0.0
CC(C)(CCl)c1ccccc1,d29a94054067cd60dd70,21,0.0,0.0
CC(C)(CCl)c1ccccc1,f4b69d88ad1d916ee71a,21,0.0,0.0
CC(C)(O)CCc1ccccc1,6c1f19a34a40cbf98728,15,0.0,0.0
CC(C)(O)CCc1ccccc1,8753ab545dd1cf036a3a,15,0.0,0.0
CC(C)(O)CCc1ccccc1,88581d99a415bf271788,15,0.0,0.0
CC(C)(O)CCc1ccccc1,cf45ee02778c0243ad50,15,0.0,0.0
CC(C)(O)CCc1ccccc1,d59d233a1606de5b6deb,15,0.0,0.0
CC(C)=CCBr,4559d83db38cc3c39d13,21,0.0,0.0
CC(C)=CCBr,5729cc87eb48a75655ad,21,0.0,0.0
CC(C)=CCBr,832899abb44b8d2246cd,21,0.0,0.0
CC(C)=CCBr,a67016d937c499be9d64,21,0.0,0.0
CC(C)=CCBr,adb6d48eec0fb576d7fc,21,0.0,0.0
CC(C)=CCBr,bc789871fe39d967a9e0,21,0.0,0.0
CC(C)=CCBr,bf8409f12dae2388c6a0,21,0.0,0.0
CC(C)CCOC(=O)c1ccccc1,2bafcbea1bb66eb60a71,13,0.6881519441670777,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,3df34ab1c0d58c86999e,13,0.687364305820265,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,4768b747981033fbdf34,13,0.8626913461410051,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,4d602abaaf336ac523e4,13,1.8042645378070656,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,8b67a1246fe892b6581d,13,0.687364305820265,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,964a62fb7d677de0f711,13,6.293408816216736,0.007469019189282111
CC(C)CCOC(=O)c1ccccc1,f35f8782c107387233ed,13,2.8977956901252755,0.007469019189282111
CC(C)COC(=O)c1ccccc1,1e73138aa057a5e2b67f,34,0.687364305820265,0.001867219182397517
