column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,6.8126883966666405,4.708997021442879,0.6051758333667898,9.696622195503837,7.257423209602552,0.7640892168930775,0.7454242158456553,0.7454242158456553,0.7338732346989827,0.7338732346989827,True,7.7768909958697,6.241336085989199,59.660396409173536,38.38778415964828,23.12447066517343
25g,compound,1362771960,HIER_CW_25G_40G,6.5895744426427605,4.5907312604718955,0.630613164318778,8.946739379824391,7.044755517247175,0.7991663803608577,0.7103034560247213,0.7103034560247213,0.6963933310766567,0.6963933310766567,True,7.258510931777604,6.015758467917609,52.27973819484125,36.08779580262375,18.10771226811833
25g,compound,1362771960,HIER_CW_8G_25G_40G,6.552386945002194,4.609768519939915,0.6347705835346702,8.855123597655126,7.172585178092063,0.8032584459902928,0.7052944217602841,0.7052944217602841,0.691184248227086,0.691184248227086,True,7.1720417077998535,6.077931241786567,51.43705990292307,36.72867186581919,17.724273390739487
25g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,7.211148553892392,5.230040895410357,0.5576402933011377,10.0210560641528,7.31605379807283,0.7480387081029954,0.7829638196481628,0.7829638196481628,0.7692476417197438,0.7692476417197438,True,8.166686400003018,6.169715486991194,65.97420963177277,37.109316747508196,23.380447689702613
25g,compound,1362771960,M3_LATENT_TINY_ADAPTER,6.885305229153486,4.765244192034028,0.596714068799588,9.82197511154431,7.335350107484597,0.7579503263756302,0.753923691837342,0.753923691837342,0.7423797370613099,0.7423797370613099,True,7.884951637287506,6.250391755030769,61.011635974246076,38.347088425432744,23.6174693244697
25g,row,769539383,M3_CENTER_WIDTH_FULL,7.21242390307992,4.870801950780188,0.5167148131093029,9.445683976910985,6.7419295060758335,0.6513390539323753,0.769098170069377,0.769098170069377,0.7514337609001829,0.7514337609001829,True,7.708329138258201,6.69377743011383,59.16763655531181,44.805899130148056,18.614721121044386
25g,row,769539383,HIER_CW_25G_40G,7.2677545871349905,4.7885183869338785,0.5092712487037443,9.523017377871808,6.862655588773307,0.6456065918529627,0.7751140998492767,0.7751140998492767,0.7573499106620705,0.7573499106620705,True,7.765740464980394,6.766781624849783,59.54057360260186,45.7557169107952,18.773316603734216
25g,row,769539383,HIER_CW_8G_25G_40G,7.300353541973817,4.774435788285119,0.5048591234964976,9.6357329758895,6.990349726840726,0.6371676561195795,0.7802589058985182,0.7802589058985182,0.7629240609678384,0.7629240609678384,True,7.830897217958915,6.8551600045484875,61.07817380595435,46.97236463106506,19.847540573379298
25g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,7.325813651564819,4.7336419493072395,0.5013994764198029,9.412350606783619,6.93288256662726,0.6537955277189862,0.7768983872145021,0.7768983872145021,0.7575921427992851,0.7575921427992851,True,7.757321945844404,6.619335625199103,59.86107911668562,43.78047625711856,17.357213427544895
25g,row,769539383,M3_LATENT_TINY_ADAPTER,7.3140710156833295,4.793168814240653,0.5029966210495287,9.527572743718213,6.869237084168373,0.6452674603175906,0.7787223786714403,0.7787223786714403,0.7604305752122562,0.7604305752122562,True,7.819497433147918,6.630414315152171,60.81897469122157,43.9553973202259,18.591776705062745
25g,row,1425370602,M3_CENTER_WIDTH_FULL,10.092911030928192,4.414072331290106,-0.2717119704281381,13.861254583217427,7.503441864670529,0.33821707349054686,1.0918003947799837,1.0918003947799837,1.0715435865217078,1.0715435865217078,True,11.597447279234851,7.071020422786856,126.21516404227684,49.089224034391485,42.38771286175579
25g,row,1425370602,HIER_CW_25G_40G,10.526361802329081,4.548268541089906,-0.38328750974708625,14.641986236804458,7.923257556555859,0.26156807088052114,1.1432636657046187,1.1432636657046187,1.123329750712052,1.123329750712052,True,12.233547241940892,7.193427209710922,140.03477458240906,50.1986409659443,47.93332008442427
25g,row,1425370602,HIER_CW_8G_25G_40G,10.880404072517068,4.696946495265282,-0.4779029567330719,15.501138276558565,8.382094129126523,0.1723672663653163,1.1908757894949644,1.1908757894949644,1.1725160606563692,1.1725160606563692,True,12.837454829997913,7.6246950923642345,150.91375449169612,54.37006202422501,53.71949695074665
25g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,8.989588082191206,3.9853209670493324,-0.008870570491853247,14.036474826292983,7.345176113253072,0.32138011603924,1.015842828310842,1.015842828310842,1.0069823294256532,1.0069823294256532,True,11.130603050458854,7.753021462999178,117.1612937758059,58.783952803986516,55.11856615811762
