protocol,outer_seed,inner_fold,arm,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,2767143051,3,A2,40g,V2,108.365,17,14167.44854543673,22514.023062503085,28.868310068345888,0.6292721876541245
compound,2767143051,4,A1,4g,V1,9.958333333333334,73,3961.527648223225,6522.118532603718,7.366647950761264,0.6073989039634533
compound,2767143051,4,A1,4g,V2,22.503333333333337,75,4500.399511994809,8798.279367112564,7.746310529961825,0.5115090490098586
compound,2767143051,4,A1,25g,V1,34.01,16,696.5907213143819,1501.0887585539813,6.5982512897091805,0.4640569835360149
compound,2767143051,4,A1,25g,V2,56.30250000000003,14,2602.4919939008014,5527.084349846652,13.634232111806982,0.4708616386455196
compound,2767143051,4,A1,40g,V1,72.55499999999999,12,5964.5105933236655,17532.471171651723,22.294451090879964,0.340197941004899
compound,2767143051,4,A1,40g,V2,108.365,10,8356.15511854383,20300.882611062392,28.907014924657695,0.4116153607031045
compound,2767143051,4,A2,4g,V1,9.958333333333334,73,3667.7208157375303,5615.35330488888,7.088212108882896,0.653159403620127
compound,2767143051,4,A2,4g,V2,22.503333333333337,75,6733.970628861876,12015.170590552576,9.475561991327568,0.5604556820988242
compound,2767143051,4,A2,25g,V1,34.01,16,1115.8725806144705,1689.9961252894411,8.351169755693174,0.6602811473448543
compound,2767143051,4,A2,25g,V2,56.30250000000003,14,2565.850411536459,4906.228681176152,13.537910820930287,0.5229781525229186
compound,2767143051,4,A2,40g,V1,72.55499999999999,12,6731.340365685128,17881.184902521956,23.684278128618583,0.3764482276974688
