protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,536279090,1,A1,40g,274,74,ed446ab59924f21945aa9d3700fefb88b78d7b21a68197e8bbeb009bbe84d64f,f8b5b0eb15bfe3529db2e3661a10c70cdc62bca06df836c90c435bbc4a0bfeff,498,500
row,536279090,1,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,89,169
row,536279090,1,A2,25g,265,61,ed9c707914e61560d09fbc0f906fccbd5644a066d55fc27e62e57281936f45c1,1c71c9edc9c0dcd740f257946acad25d5a634a84ab99860cf27ef4373894e094,89,169
row,536279090,1,A2,40g,274,74,ed446ab59924f21945aa9d3700fefb88b78d7b21a68197e8bbeb009bbe84d64f,f8b5b0eb15bfe3529db2e3661a10c70cdc62bca06df836c90c435bbc4a0bfeff,89,169
row,536279090,2,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,174,254
row,536279090,2,A1,25g,253,73,835d78a128de0d6975d46680ab93e1ee2055e12b32c2eed022cc99fc46c893ae,95823a4fdd9a0259d57d83bb656f28e75cc0425315496935da011617a94faf6a,174,254
row,536279090,2,A1,40g,286,62,1efc5e310a780c09e5a4adca4c686fb7e53350993f5c87ca2d9232b2eef9341b,c04d90311d7d015d5a7282fa1be184be7cd0a82cce8c0ac53e6c308bfa25c28f,174,254
row,536279090,2,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,112,192
row,536279090,2,A2,25g,253,73,835d78a128de0d6975d46680ab93e1ee2055e12b32c2eed022cc99fc46c893ae,95823a4fdd9a0259d57d83bb656f28e75cc0425315496935da011617a94faf6a,112,192
row,536279090,2,A2,40g,286,62,1efc5e310a780c09e5a4adca4c686fb7e53350993f5c87ca2d9232b2eef9341b,c04d90311d7d015d5a7282fa1be184be7cd0a82cce8c0ac53e6c308bfa25c28f,112,192
row,536279090,3,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,493,500
row,536279090,3,A1,25g,262,64,e4225aea96f9c4d0288e0c73ea9d9a9b6cacc5f716e205f064080f73d8610a8a,89bf47f84c3863fd9e00a47af166180262dbebb540b548a9340aa15825ee167e,493,500
row,536279090,3,A1,40g,278,70,34afd35a3e4c1a866b3b1daf9c60577aab2599d38fc963a96b308de381cfae59,31c5ffe30fcc6ed31a0c5b8d73b2206b03d51951623d6870407eaf94ff759dc6,493,500
row,536279090,3,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,73,153
row,536279090,3,A2,25g,262,64,e4225aea96f9c4d0288e0c73ea9d9a9b6cacc5f716e205f064080f73d8610a8a,89bf47f84c3863fd9e00a47af166180262dbebb540b548a9340aa15825ee167e,73,153
row,536279090,3,A2,40g,278,70,34afd35a3e4c1a866b3b1daf9c60577aab2599d38fc963a96b308de381cfae59,31c5ffe30fcc6ed31a0c5b8d73b2206b03d51951623d6870407eaf94ff759dc6,73,153
