protocol,outer_seed,inner_fold,method,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,2767143051,4,A2_PCGRAD,4g,V2,22.503333333333337,75,5802.104641882489,9939.36186532736,8.795532685693338,0.5837502166132668
compound,2767143051,4,A2_PCGRAD,25g,V1,34.01,16,1161.666583282909,1718.1817695051122,8.520807558863291,0.6761022633929492
compound,2767143051,4,A2_PCGRAD,25g,V2,56.30250000000003,14,2433.9107858194466,4229.626717227444,13.185248212137486,0.5754434016377917
compound,2767143051,4,A2_PCGRAD,40g,V1,72.55499999999999,12,6994.322670026363,17257.29432518832,24.142498265552323,0.4052965973824542
compound,2767143051,4,A2_PCGRAD,40g,V2,108.365,10,5424.983193453996,20326.566245683312,23.2915933191656,0.2668912755791245
compound,2767143051,5,A2_PCGRAD,4g,V1,9.958333333333334,73,3097.27966012279,4937.757579713938,6.513715414019309,0.6272644231963747
compound,2767143051,5,A2_PCGRAD,4g,V2,22.503333333333337,75,5132.452603793331,9636.16808512661,8.272406021461416,0.5326238146172702
compound,2767143051,5,A2_PCGRAD,25g,V1,34.01,14,1936.796138320591,3242.542884002351,11.76191231512179,0.5973077944091691
compound,2767143051,5,A2_PCGRAD,25g,V2,56.30250000000003,11,4642.190454347424,7078.722953312139,20.543059996786845,0.6557949060819424
compound,2767143051,5,A2_PCGRAD,40g,V1,72.55499999999999,11,6394.666263329067,12008.330139857944,24.11085433298204,0.5325191919985567
compound,2767143051,5,A2_PCGRAD,40g,V2,108.365,13,19018.717346810023,28903.7902712777,38.24889877430362,0.6580008077940326
compound,1362771960,1,A2_PCGRAD,4g,V1,9.958333333333334,73,3024.015852954861,4448.70198248216,6.436215867884777,0.6797524007817685
compound,1362771960,1,A2_PCGRAD,4g,V2,22.503333333333337,75,5424.480057236673,10197.547222219218,8.50449297507827,0.531939685007527
compound,1362771960,1,A2_PCGRAD,25g,V1,34.0875,15,1326.6671654130243,1913.8579395701547,9.40449242087002,0.693189989697453
compound,1362771960,1,A2_PCGRAD,25g,V2,55.325,13,2753.127894234707,5799.5875020711965,14.552630991930124,0.4747109847470164
compound,1362771960,1,A2_PCGRAD,40g,V1,70.445,16,8908.307253280045,20486.916265290063,23.59595735141939,0.4348290947219292
compound,1362771960,1,A2_PCGRAD,40g,V2,104.95999999999998,16,10785.920681347254,27938.797740079393,25.96382180235035,0.386055290628143
compound,1362771960,2,A2_PCGRAD,4g,V1,9.958333333333334,73,2824.6990284200833,3920.0970491520898,6.220490916208405,0.7205686474091403
compound,1362771960,2,A2_PCGRAD,4g,V2,22.503333333333337,75,6073.452470319069,9958.839485955456,8.998853608705996,0.6098554433861706
compound,1362771960,2,A2_PCGRAD,25g,V1,34.0875,17,1439.1682007924564,4282.672635995133,9.200921311900863,0.3360444103750759
compound,1362771960,2,A2_PCGRAD,25g,V2,55.325,14,1877.7934582532584,6792.889405520244,11.581368837963284,0.2764351583182363
compound,1362771960,2,A2_PCGRAD,40g,V1,70.445,13,5588.964298179064,8909.994034459549,20.734520265228195,0.62726914031184
compound,1362771960,2,A2_PCGRAD,40g,V2,104.95999999999998,13,8905.423364594144,14931.002695353662,26.17312680035081,0.5964384004408089
compound,1362771960,3,A2_PCGRAD,4g,V1,9.958333333333334,73,2821.050700912071,3939.266858286904,6.216472484414326,0.7161359720978336
compound,1362771960,3,A2_PCGRAD,4g,V2,22.503333333333337,75,4537.075088763904,8616.7084530919,7.777810393475278,0.5265438784964209
compound,1362771960,3,A2_PCGRAD,25g,V1,34.0875,9,794.7445416004356,2502.497734035623,9.397071302630147,0.3175805239666692
compound,1362771960,3,A2_PCGRAD,25g,V2,55.325,11,5053.293750544418,6562.454264081373,21.43339312751445,0.7700310809330705
compound,1362771960,3,A2_PCGRAD,40g,V1,70.445,19,22221.996371772224,27614.513016693025,34.19910461414253,0.8047216461264041
compound,1362771960,3,A2_PCGRAD,40g,V2,104.95999999999998,18,20701.68630515405,36698.767563902846,33.91303117711051,0.5640975890840642
compound,1362771960,4,A2_PCGRAD,4g,V1,9.958333333333334,73,2661.8928348026066,3999.940905800107,6.038566502759979,0.665483040247603
compound,1362771960,4,A2_PCGRAD,4g,V2,22.503333333333337,75,5516.032516909957,9023.490374669833,8.575960600741242,0.6112969912833521
compound,1362771960,4,A2_PCGRAD,25g,V1,34.0875,11,1045.9620483246326,2202.2047174680624,9.751279861567042,0.4749613149168098
compound,1362771960,4,A2_PCGRAD,25g,V2,55.325,11,1795.681807697045,4980.040062151486,12.776689739511225,0.3605757755533539
compound,1362771960,4,A2_PCGRAD,40g,V1,70.445,13,9616.108146920356,14515.555867338113,27.19743786988365,0.6624691630692455
compound,1362771960,4,A2_PCGRAD,40g,V2,104.95999999999998,12,14405.217065129687,24792.724085646383,34.64729073719147,0.5810259903416386
compound,1362771960,5,A2_PCGRAD,4g,V1,9.958333333333334,73,3011.4722350439515,4440.360495073322,6.422853284613511,0.6782044472256805
compound,1362771960,5,A2_PCGRAD,4g,V2,22.503333333333337,75,5732.484368001128,9684.947144829395,8.742604011773707,0.5918962986867294
compound,1362771960,5,A2_PCGRAD,25g,V1,34.0875,11,597.5729539174579,2659.3003289378084,7.370536886312704,0.2247105930138186
compound,1362771960,5,A2_PCGRAD,25g,V2,55.325,14,1575.9060500522412,3594.4663850903003,10.609652108381043,0.4384255912335236
compound,1362771960,5,A2_PCGRAD,40g,V1,70.445,10,5489.75993194903,8173.935120008624,23.430236729382464,0.6716177522024713
compound,1362771960,5,A2_PCGRAD,40g,V2,104.95999999999998,12,10421.406901602091,16343.579985739454,29.469485491496247,0.6376452962383555
compound,769539383,1,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,4111.718975389905,5791.937523393594,7.504992836178765,0.7099038894640526
compound,769539383,1,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,7583.555737130842,14303.050692520776,10.05554953719974,0.5302054715569432
compound,769539383,1,A2_ADAM_FROZEN,25g,V1,33.74,15,1106.103866819607,3355.233469039646,8.587214786412053,0.3296652459586374
compound,769539383,1,A2_ADAM_FROZEN,25g,V2,55.8575,15,1874.7743724342072,6822.256033130552,11.179667175827753,0.2748026991848213
compound,769539383,1,A2_ADAM_FROZEN,40g,V1,70.95500000000001,14,10050.251736216298,24431.32029392688,26.793191747446773,0.4113675239530376
compound,769539383,1,A2_ADAM_FROZEN,40g,V2,104.43500000000002,13,9100.492968126644,34257.931620823496,26.458229733395363,0.2656463054703209
compound,769539383,2,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,2886.375380598305,5132.283308993374,6.288035366894754,0.5623959565015572
compound,769539383,2,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,6079.425269754155,11875.903008671565,9.003277380860931,0.5119126743722201
compound,769539383,2,A2_ADAM_FROZEN,25g,V1,33.74,15,984.364949645526,1964.6591359909748,8.100884518147904,0.5010359973456728
compound,769539383,2,A2_ADAM_FROZEN,25g,V2,55.8575,13,2346.0416458623527,3087.185024723431,13.433716611176958,0.7599290703583681
compound,769539383,2,A2_ADAM_FROZEN,40g,V1,70.95500000000001,18,13566.284649594912,17652.230012904132,27.453278138194182,0.768530924403188
compound,769539383,2,A2_ADAM_FROZEN,40g,V2,104.43500000000002,17,15995.236930745406,22698.158351852453,30.67403282980325,0.7046931598060684
compound,769539383,3,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,3750.875184031966,5144.421933124868,7.1681135479325615,0.7291149973294624
compound,769539383,3,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,5849.852823276437,12611.209285342717,8.831649769079718,0.4638613705408398
compound,769539383,3,A2_ADAM_FROZEN,25g,V1,33.74,12,1289.9455770377383,3422.7175804257495,10.368001965332803,0.3768775970342499
compound,769539383,3,A2_ADAM_FROZEN,25g,V2,55.8575,14,4316.510536861637,7120.968610455198,17.559105364579445,0.6061690161818745
compound,769539383,3,A2_ADAM_FROZEN,40g,V1,70.95500000000001,13,9153.80979224605,13932.081116303085,26.535621620534116,0.6570310433761699
compound,769539383,3,A2_ADAM_FROZEN,40g,V2,104.43500000000002,15,19922.815319612386,28765.24176224346,36.444309404544335,0.6926003085349547
compound,769539383,4,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,2917.72815931251,5115.060392686561,6.322094502195607,0.5704191026726166
compound,769539383,4,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,5964.39196381239,11728.807217268572,8.917691752026709,0.508525023331519
compound,769539383,4,A2_ADAM_FROZEN,25g,V1,33.74,13,744.7013529538981,1478.3837262232148,7.568666953829595,0.5037266981126515
compound,769539383,4,A2_ADAM_FROZEN,25g,V2,55.8575,11,1162.1385867051304,4125.177037190643,10.278568111742954,0.2817184756503391
compound,769539383,4,A2_ADAM_FROZEN,40g,V1,70.95500000000001,15,11380.449150752622,13702.512874676,27.54444789880848,0.8305373806132414
compound,769539383,4,A2_ADAM_FROZEN,40g,V2,104.43500000000002,16,14719.607104231423,22629.933901400484,30.331096980070868,0.6504485239932797
compound,769539383,5,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,2931.6143848329343,3904.335349680801,6.337120889023263,0.7508613175537313
compound,769539383,5,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,4719.9195937313025,8317.37442723324,7.9329856453765695,0.5674771089151718
compound,769539383,5,A2_ADAM_FROZEN,25g,V1,33.74,7,1487.671755902651,3380.8645751219856,14.578221309800506,0.4400270176006604
compound,769539383,5,A2_ADAM_FROZEN,25g,V2,55.8575,9,3353.3652069089067,6802.050622836106,19.30274939227543,0.4929932740651561
compound,769539383,5,A2_ADAM_FROZEN,40g,V1,70.95500000000001,14,9559.534616998077,14462.882498057894,26.130899357162363,0.6609702193377945
compound,769539383,5,A2_ADAM_FROZEN,40g,V2,104.43500000000002,13,12990.012616467557,23266.053690942135,31.610627006250184,0.5583247072761972
compound,1425370602,1,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,4408.6967936731935,8548.204595973439,7.771300197691921,0.5157453526264303
compound,1425370602,1,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,10640.354629675485,21874.454516770056,11.910977922166584,0.486428341402436
compound,1425370602,1,A2_ADAM_FROZEN,25g,V1,34.11,19,648.4353003664438,5473.197397313645,5.841932360400713,0.1184746781990192
compound,1425370602,1,A2_ADAM_FROZEN,25g,V2,56.35000000000002,20,2813.247319297514,8776.73994231544,11.860116608401272,0.3205344282486893
compound,1425370602,1,A2_ADAM_FROZEN,40g,V1,72.255,11,10018.33255675449,13150.73681837644,30.178759171965623,0.7618076990754752
