protocol,outer_seed,inner_fold,method,column,best_epoch,epochs_run,inner_train_ids_sha256,inner_validation_ids_sha256,scale_V1,scale_V2
compound,1362771960,1,A2_PCGRAD,25g,57,137,8b198bf8d1bf7010c16f1ad0136cd729050ce0a249f7c647ed3eccbd0f8c7efc,a52af90f76c25542275140d7fc2e2fb2cdbbc600d7bf97cc5ab5b3adf70cc467,9.867366401109017,16.58785156027758
compound,1362771960,1,A2_PCGRAD,40g,57,137,28381fd3d0b626c82b44ebc4dea8d2a2236286cc55da57e9a93817d8830474af,9283be0dd5e8b7b25c9498ca0b540b21b7528de1f8f89712b285670d3298b8d0,27.136429677464932,37.25570644891447
compound,1362771960,2,A2_PCGRAD,4g,52,132,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1362771960,2,A2_PCGRAD,25g,52,132,02ccb62631c23958100f012d79e75969c9231454423c9ee4340b9ace1c5088fe,af2c16bc048c3d3b6c922090848022991d5fa71c6bafe27890b950f30f4f359f,9.20766607440321,16.66167591966094
compound,1362771960,2,A2_PCGRAD,40g,52,132,7cd72413c06640313d672ce7246e8823ab914e016c62b0b0f498a266c99bc2f4,38db208b02c6fb3fb861751d699f2892a540d5045083aa903e90a3dfea51b046,27.422342250101966,37.82152925611828
compound,1362771960,3,A2_PCGRAD,4g,340,420,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1362771960,3,A2_PCGRAD,25g,340,420,d7b0c663bd105cf0078773f690d6eb02a898122ace9e706f1e927e71cb310182,379bb8ef6d17c0651d8e46088668086af986260b6264d56958bab3cfe8cc65a6,10.019246930918683,16.495963950604647
compound,1362771960,3,A2_PCGRAD,40g,340,420,cffbd8a49f0283da3af74c2addf568bc74bc6a77d9b8cbff54918beae98a8b5e,ec94bd958897fa73a945fe1aba6fa798818a63cdfc79048aefee327bec1555d0,25.523993888029533,35.99935041530392
compound,1362771960,4,A2_PCGRAD,4g,101,181,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1362771960,4,A2_PCGRAD,25g,101,181,568e901dc4939826aa02f1857fd6e9cb5dae8cc2e54981d8822ef7ce8f051b61,7514146b2ea40754f03594765afce88e135becdfe45b3fe51cc452009a9a95bc,9.815024004370809,17.060421242952923
compound,1362771960,4,A2_PCGRAD,40g,101,181,7ed2e5b010c58c5a2ee38f7433d11732ec6add62278dbd1d7e135fec37f36728,53e7175ab3f293504ab416ef23656f4101e5ad1eedd9bf09415cda0d3fe602b8,26.13279129065923,36.2959444674555
compound,1362771960,5,A2_PCGRAD,4g,77,157,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,7.879659034631744,16.076509553562957
compound,1362771960,5,A2_PCGRAD,25g,77,157,8a5d51cfec7788c0b797af1a654659a4d0785b34246c3437b8c29532040ebe9c,657562157ca8e6a992790b29860cf0116c551332a1de044edbddf1d0a1bff820,10.046631266817023,17.25412699770637
compound,1362771960,5,A2_PCGRAD,40g,77,157,68d06da91ff312df9c14864e6e73698b892f7c91f350da7104ab210f03e33bba,16a22ffbb5414007a6932bbb1e7bc1bae986d8707dee2699b0c91a3384ff7a0b,26.844300381566217,36.68750966587132
