column,protocol,seed,method,n_train,n_valid,n_test,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,center_rmse,center_mae,width_rmse,width_mae
25g,row,536279090,paper_style_current_v2,326,8,74,9.110250888056642,4.7527877499999995,-0.14591103147149265,13.812179174374366,7.042253756756757,0.2826458777768779,1.0185480329463346,1.0185480329463346,1.0076630486086633,1.0076630486086633,True,,,,
25g,row,536279090,M3_CENTER_WIDTH_FULL,326,8,74,10.986362847328621,5.4142637985796025,-0.6664723131940817,15.099831027685127,8.53865586981816,0.14265944810495212,1.1887330467158324,1.1887330467158324,1.1667584556084933,1.1667584556084933,True,12.682142556094774,6.551608264403634,7.3527662891710115,5.461213787171939
25g,row,536279090,MASS_FLOW_SHARED,326,8,74,10.569189089460476,5.066655548147886,-0.5423167012071539,13.23336815781405,7.633087122754283,0.3415087913336362,1.1128183667225766,1.1128183667225766,1.0822375126657204,1.0822375126657204,True,11.512613868246826,5.902167260801438,6.595336936096435,4.557876859668735
25g,row,536279090,ALL_CONTEXT_SHARED_CENTER_WIDTH,326,8,74,10.722446746788597,5.113624677507147,-0.5873694649939176,13.459631101149574,7.838148112142719,0.31879864157648463,1.1297462157984817,1.1297462157984817,1.0989994709034387,1.0989994709034387,True,11.72810758214057,6.021674096038832,6.486219037347416,4.595905375775042
25g,row,2767143051,conditional_EA,320,5,83,6.45797836093595,4.206634794909231,0.653320250880286,12.093573294903134,9.423308176032435,0.455333317150303,0.7866341067460443,0.7866341067460443,0.7859135223776506,0.7859135223776506,True,,,,
25g,row,2767143051,scale_only,320,5,83,7.329592531224995,4.874636894141167,0.5534244246308004,9.797024734420472,7.4772865394669905,0.6425544149600174,0.7863284083831014,0.7863284083831014,0.7697957869560318,0.7697957869560318,True,,,,
25g,row,2767143051,paper_style_current_v2,320,5,83,6.610322984583623,4.599930156626505,0.6367708767031357,9.654902498891754,7.3853687349397585,0.6528498853688852,0.7295346014251538,0.7295346014251538,0.719734698242554,0.719734698242554,True,,,,
25g,row,2767143051,M3_CENTER_WIDTH_FULL,320,5,83,6.63894131443831,4.403020059748741,0.6336189845335108,10.71244801116958,8.462348167833502,0.5726349695036282,0.7595682059368063,0.7595682059368063,0.7544416781351486,0.7544416781351486,True,7.4907821105315495,5.717401387810982,9.654890047395465,7.532216454095694
25g,row,2767143051,MASS_FLOW_SHARED,320,5,83,6.56090545262254,4.52304720958822,0.642181441924147,9.172581254725316,6.801370585057616,0.6866680629975962,0.7137306505491642,0.7137306505491642,0.7015981250449888,0.7015981250449888,True,7.220734266599488,5.093414444718409,6.768119463352039,4.827195032033885
25g,row,2767143051,ALL_CONTEXT_SHARED_CENTER_WIDTH,320,5,83,6.522980984716639,4.48894091204806,0.6463061343085745,9.101858619018225,6.921427267654202,0.6914811536369307,0.7091652056850702,0.7091652056850702,0.6969920816649238,0.6969920816649238,True,7.126995972027448,5.0588849166058125,6.899995373473853,5.0771985025396305
25g,row,1362771960,conditional_EA,315,7,86,6.073606785214805,4.554550348477188,0.5827474384273084,9.004931826669138,6.565047250064311,0.6834074742489373,0.6737474620689947,0.6737474620689947,0.6654627093402319,0.6654627093402319,True,,,,
25g,row,1362771960,scale_only,315,7,86,6.643961694366093,4.518832200647591,0.5007019060972202,8.82755015743404,6.436034280944683,0.6957572857963161,0.7114974237471362,0.7114974237471362,0.696137510961616,0.696137510961616,True,,,,
25g,row,1362771960,paper_style_current_v2,315,7,86,5.660511443624723,3.958606889534883,0.6375759461294832,9.037774999359858,6.132694337209303,0.6810938832002287,0.6450169608076108,0.6450169608076108,0.6402714064303496,0.6402714064303496,True,,,,
25g,row,1362771960,M3_CENTER_WIDTH_FULL,315,7,86,5.472436603121068,4.004827932700317,0.6612594826208592,9.109237780886627,6.606766670188477,0.6760306857925604,0.633793513722759,0.633793513722759,0.6305597911343575,0.6305597911343575,True,6.906651861978775,5.064868769423787,5.919813415769424,4.101082702886206
25g,row,1362771960,MASS_FLOW_SHARED,315,7,86,5.185545612898694,3.754711552612877,0.6958452621831519,9.008957868935347,6.305315788338383,0.6831243183405757,0.6111922393257547,0.6111922393257547,0.6092364269313228,0.6092364269313228,True,6.7551881693746605,4.776757123421647,5.794147181490346,3.903472006488642
25g,row,1362771960,ALL_CONTEXT_SHARED_CENTER_WIDTH,315,7,86,5.1570241526690195,3.73002108368143,0.6991818755404318,8.823918237805387,6.229945438760932,0.696007583501532,0.603984063775869,0.603984063775869,0.6016716422063266,0.6016716422063266,True,6.639939791259492,4.725406867680579,5.705932056304897,3.9893054918697244
40g,compound,769539383,conditional_EA,367,7,82,15.879723244862495,10.306088534270108,0.6413106264292762,20.69317984503402,14.215303925169334,0.6749660706319239,1.6908812451069628,1.6908812451069628,1.6512246011108735,1.6512246011108735,True,,,,
40g,compound,769539383,scale_only,367,7,82,17.216946687206516,11.565070503911368,0.5783569739255172,17.999009027222673,12.051815480056161,0.7540926989742224,1.736034868063269,1.736034868063269,1.6522853190902282,1.6522853190902282,True,,,,
40g,compound,769539383,paper_style_current_v2,367,7,82,16.352338654264223,11.406121353658538,0.6196421379169037,19.531107017261437,13.56340087804878,0.7104470773086343,1.700389336013973,1.700389336013973,1.6450722355639342,1.6450722355639342,True,,,,
40g,compound,769539383,M3_CENTER_WIDTH_FULL,367,7,82,15.156937699305594,10.116345651973575,0.6732199136313937,18.52754301634526,13.010985307542283,0.739438710910306,1.585594442079063,1.585594442079063,1.5380065155725562,1.5380065155725562,True,15.507935699523907,10.832406395835017,13.565431900387031,9.752210687857612
40g,compound,769539383,MASS_FLOW_SHARED,367,7,82,17.01583798469506,10.857188515594213,0.5881497482135117,20.117970277055434,13.754849781712018,0.6927849000022853,1.7648312326221662,1.7648312326221662,1.7054264662789373,1.7054264662789373,True,17.731797103755532,11.487581240752284,11.440123542372353,7.518416186472572
40g,compound,769539383,ALL_CONTEXT_SHARED_CENTER_WIDTH,367,7,82,17.14525084001939,10.927739853435561,0.5818613247963851,20.445165648678095,14.066973632044828,0.6827106457305564,1.7821072693051414,1.7821072693051414,1.7238144915519336,1.7238144915519336,True,17.962829989260584,11.714414529469723,11.544514049791237,7.585443041597112
40g,compound,1425370602,conditional_EA,363,7,86,14.672108854758237,9.793807101924159,0.7052039696004446,20.50426689327878,14.23984658149106,0.66914564344845,1.595904362668837,1.595904362668837,1.5687205725395574,1.5687205725395574,True,,,,
40g,compound,1425370602,scale_only,363,7,86,16.89552083839195,12.284596839896901,0.6090873549939966,20.444247993588053,12.913797656548928,0.6710797239654064,1.7627749605914447,1.7627749605914447,1.7079394533459806,1.7079394533459806,True,,,,
40g,compound,1425370602,paper_style_current_v2,363,7,86,16.376147155820373,10.879148627906977,0.6327515133862532,24.042780987786127,16.070052325581393,0.5450980841227149,1.8105027077504592,1.8105027077504592,1.78690182105365,1.78690182105365,True,,,,
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,363,7,86,15.050277689026318,9.822366270887349,0.689811582987444,19.880385896030077,13.439798185824753,0.6889730757755441,1.608938914649534,1.608938914649534,1.5733135986601008,1.5733135986601008,True,16.66307778907596,11.124337601641907,11.525994888275985,8.684775671741821
40g,compound,1425370602,MASS_FLOW_SHARED,363,7,86,17.43173507950068,10.571231436414589,0.5838807716805374,22.207303823902805,13.600170108116144,0.6119032250200848,1.8442014611357616,1.8442014611357616,1.796797962158113,1.796797962158113,True,19.3099301650662,11.782659286219973,10.127479948097248,6.8576486261122005
40g,compound,1425370602,ALL_CONTEXT_SHARED_CENTER_WIDTH,363,7,86,17.569119912361792,10.57131170537182,0.5772957987598681,22.461873365379073,13.781556905130548,0.6029544671297711,1.8605916385760504,1.8605916385760504,1.8134330892921031,1.8134330892921031,True,19.50972783631569,11.89681150168382,10.193210395459413,6.878723921245478
40g,compound,536279090,conditional_EA,359,7,90,20.443269094915095,11.461148557583872,0.5291863555284837,25.015310296347074,16.12825221848037,0.6007288562399193,2.1391918410859394,2.1391918410859394,2.0752260056896863,2.0752260056896863,True,,,,
40g,compound,536279090,scale_only,359,7,90,22.287340115124223,14.876291118938932,0.44041658905464176,23.78913630421809,15.811307247507795,0.6389116435236467,2.2571951690083596,2.2571951690083596,2.1541050726333655,2.1541050726333655,True,,,,
40g,compound,536279090,paper_style_current_v2,359,7,90,19.924557720890004,12.04349392222222,0.5527753533863113,25.64029662134199,17.374095833333335,0.5805287258328917,2.1139455742019506,2.1139455742019506,2.0617492969507794,2.0617492969507794,True,,,,
40g,compound,536279090,M3_CENTER_WIDTH_FULL,359,7,90,19.645757803624257,12.057693532239956,0.5652036183522395,24.496485592806366,16.782574894498534,0.6171191018308746,2.0661514432199803,2.0661514432199803,2.0084841960974473,2.0084841960974473,True,21.061238362956693,13.48520173718852,14.062864808756144,10.824564632867473
40g,compound,536279090,MASS_FLOW_SHARED,359,7,90,21.43786771030681,13.74873634632615,0.48226023392729866,25.526842780006753,16.23937253663988,0.584232687450162,2.227465680764889,2.227465680764889,2.154247099924917,2.154247099924917,True,22.94824499086717,14.502877556056081,10.766427258666454,7.369589779567236
40g,compound,536279090,ALL_CONTEXT_SHARED_CENTER_WIDTH,359,7,90,21.569675419728814,13.80441037404302,0.47587416213937495,25.797069918411715,16.39509134830174,0.575383470246039,2.2436765001376155,2.2436765001376155,2.1710153046370313,2.1710153046370313,True,23.149953969631373,14.577288195262762,10.853476539411096,7.386100067768092
40g,compound,2767143051,conditional_EA,360,7,89,14.688970242354353,10.179849147351323,0.6884281388780253,22.14098566299989,14.17069301542466,0.6395479018535364,1.6388800438709088,1.6388800438709088,1.6206945500231944,1.6206945500231944,True,,,,
40g,compound,2767143051,scale_only,360,7,89,16.74082831543429,11.6082175750387,0.5953035343757631,20.59739626464582,12.366448818865168,0.6880548017265996,1.754318503637342,1.754318503637342,1.7028866202180057,1.7028866202180057,True,,,,
40g,compound,2767143051,paper_style_current_v2,360,7,89,13.3403493036734,9.904087022471911,0.743013725183804,19.478886047727116,14.221845943820224,0.7210143339350028,1.4721326784070292,1.4721326784070292,1.4523237512085383,1.4523237512085383,True,,,,
