method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
kernel_ivr,random,V2_MAE,endpoint,2,2,0,-0.8562203934438508,-0.8562203934438508,0.3826233386402677,-1.1267759508366209,-0.5856648360510808
kernel_ivr,u50_gradient_maxdet,V2_MAE,endpoint,2,1,0,-0.10907426669443243,-0.10907426669443243,0.21622553422192278,-0.26196880820843793,0.04382027481957307
lcmd,random,V2_MAE,endpoint,2,2,0,-0.9846048132121135,-0.9846048132121135,0.23615836570651777,-1.1515939950371248,-0.8176156313871021
u50_gradient_maxdet,lcmd,V2_MAE,endpoint,2,1,0,0.23745868646269508,0.23745868646269508,0.3626905071556727,-0.019002230619069138,0.4939196035444593
u50_gradient_maxdet,random,V2_MAE,endpoint,2,2,0,-0.7471461267494184,-0.7471461267494184,0.5988488728621905,-1.170596225656194,-0.32369602784264284
gradient_maxdet,hybrid,V2_MAE,gap_closed,2,0,0,-0.07707922594414596,-0.07707922594414596,0.02283435250416152,-0.09322555144384259,-0.06093290044444932
gradient_maxdet,kernel_ivr,V2_MAE,gap_closed,2,1,0,-0.004145123196962308,-0.004145123196962308,0.02542764216633464,-0.022125181402362526,0.01383493500843791
gradient_maxdet,lcmd,V2_MAE,gap_closed,2,1,0,-0.0557635947755733,-0.0557635947755733,0.08510621841469761,-0.1159427789377494,0.004415589386602803
gradient_maxdet,random,V2_MAE,gap_closed,2,2,0,0.3281235033148028,0.3281235033148028,0.1603204376894466,0.2147598346617997,0.4414871719678058
gradient_maxdet,u50_gradient_maxdet,V2_MAE,gap_closed,2,1,0,0.04051870833241805,0.04051870833241805,0.06125687670660985,-0.002796444581134039,0.08383386124597014
hybrid,kernel_ivr,V2_MAE,gap_closed,2,2,0,0.07293410274718365,0.07293410274718365,0.002593289662173119,0.07110037004148007,0.07476783545288723
hybrid,lcmd,V2_MAE,gap_closed,2,1,0,0.021315631168572657,0.021315631168572657,0.06227186591053609,-0.02271722749390681,0.06534848983105213
