method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
gradient_maxdet,hybrid,V2_MAE,aulc,2,0,0,0.22749414978417226,0.22749414978417226,0.19496317805715452,0.089634364498278,0.3653539350700665
gradient_maxdet,kernel_ivr,V2_MAE,aulc,2,1,0,0.03230633932501159,0.03230633932501159,0.06721128415280851,-0.015219215471695247,0.07983189412171843
gradient_maxdet,lcmd,V2_MAE,aulc,2,0,0,0.07005428426598148,0.07005428426598148,0.07407780283533205,0.017673367545718133,0.12243520098624483
gradient_maxdet,random,V2_MAE,aulc,2,2,0,-0.8631357200834269,-0.8631357200834269,0.6313915576252859,-1.3095969720642033,-0.4166744681026504
gradient_maxdet,u50_gradient_maxdet,V2_MAE,aulc,2,2,0,-0.03760496432260885,-0.03760496432260885,0.028373298769158752,-0.057667916286912924,-0.01754201235830477
hybrid,kernel_ivr,V2_MAE,aulc,2,2,0,-0.19518781045916067,-0.19518781045916067,0.12775189390434602,-0.2855220409483481,-0.10485357996997324
hybrid,lcmd,V2_MAE,aulc,2,2,0,-0.15743986551819078,-0.15743986551819078,0.12088537522182248,-0.2429187340838217,-0.07196099695255986
hybrid,random,V2_MAE,aulc,2,2,0,-1.0906298698675991,-1.0906298698675991,0.4364283795681314,-1.3992313365624813,-0.7820284031727169
hybrid,u50_gradient_maxdet,V2_MAE,aulc,2,2,0,-0.2650991141067811,-0.2650991141067811,0.16658987928799576,-0.3828959474283713,-0.14730228078519092
kernel_ivr,lcmd,V2_MAE,aulc,2,0,0,0.03774794494096989,0.03774794494096989,0.006866518682523537,0.03289258301741338,0.0426033068645264
kernel_ivr,random,V2_MAE,aulc,2,2,0,-0.8954420594084385,-0.8954420594084385,0.5641802734724773,-1.294377756592508,-0.49650636222436884
kernel_ivr,u50_gradient_maxdet,V2_MAE,aulc,2,2,0,-0.06991130364762044,-0.06991130364762044,0.038837985383649756,-0.0973739064800232,-0.04244870081521768
lcmd,random,V2_MAE,aulc,2,2,0,-0.9331900043494084,-0.9331900043494084,0.5573137547899539,-1.3272703396099215,-0.5391096690888952
u50_gradient_maxdet,lcmd,V2_MAE,aulc,2,0,0,0.10765924858859033,0.10765924858859033,0.045704504066173296,0.07534128383263106,0.1399772133445496
u50_gradient_maxdet,random,V2_MAE,aulc,2,2,0,-0.825530755760818,-0.825530755760818,0.6030182588561271,-1.2519290557772904,-0.39913245574434564
gradient_maxdet,hybrid,V2_MAE,endpoint,2,0,0,0.1955163713267667,0.1955163713267667,0.04945600066400676,0.1605456978868811,0.23048704476665227
gradient_maxdet,kernel_ivr,V2_MAE,endpoint,2,1,0,0.009124588909194875,0.009124588909194875,0.06445533673795026,-0.03645221678187216,0.05470139460026191
gradient_maxdet,lcmd,V2_MAE,endpoint,2,1,0,0.13750900867745752,0.13750900867745752,0.2109203096717002,-0.01163417258136823,0.2866521899362833
gradient_maxdet,random,V2_MAE,endpoint,2,2,0,-0.8470958045346559,-0.8470958045346559,0.44707867537821794,-1.163228167618493,-0.5309634414508189
gradient_maxdet,u50_gradient_maxdet,V2_MAE,endpoint,2,1,0,-0.09994967778523756,-0.09994967778523756,0.15177019748397252,-0.20726741360817602,0.007368058037700909
hybrid,kernel_ivr,V2_MAE,endpoint,2,2,0,-0.18639178241757182,-0.18639178241757182,0.0149993360739435,-0.19699791466875327,-0.17578565016639036
hybrid,lcmd,V2_MAE,endpoint,2,1,0,-0.05800736264930917,-0.05800736264930917,0.16146430900769343,-0.17217987046824934,0.056165145169631
hybrid,random,V2_MAE,endpoint,2,2,0,-1.0426121758614226,-1.0426121758614226,0.3976226747142112,-1.3237738655053741,-0.7614504862174711
hybrid,u50_gradient_maxdet,V2_MAE,endpoint,2,2,0,-0.29546604911200425,-0.29546604911200425,0.2012261981479793,-0.4377544583748283,-0.1531776398491802
kernel_ivr,lcmd,V2_MAE,endpoint,2,0,0,0.12838441976826265,0.12838441976826265,0.14646497293374994,0.02481804420050393,0.23195079533602136
