method,phase,start_labels,stop_labels,metric,mean,median,std
lcmd,late,653,1005,V1_RMSE,3.670465999210445,3.670465999210445,0.5207141488394098
lcmd,late,653,1005,V2_MAE,2.65462913896774,2.65462913896774,0.16209460850239105
lcmd,late,653,1005,V2_R2,0.8561004893088767,0.8561004893088767,0.03194430994832751
lcmd,late,653,1005,V2_RMSE,5.6033047078610245,5.6033047078610245,0.48667609534709505
lcmd,late,653,1005,combined_normalized_RMSE,0.5351615139862269,0.5351615139862269,0.018200749236460628
lcmd,middle,525,653,V1_MAE,2.029913831582601,2.029913831582601,0.10412892962034048
lcmd,middle,525,653,V1_R2,0.7028574439046316,0.7028574439046316,0.07980686157268586
lcmd,middle,525,653,V1_RMSE,4.107834263504991,4.107834263504991,0.44541259280045803
lcmd,middle,525,653,V2_MAE,3.3180706503865816,3.3180706503865816,0.2518890177243699
lcmd,middle,525,653,V2_R2,0.7947832997611632,0.7947832997611632,0.03708113499895837
lcmd,middle,525,653,V2_RMSE,6.680918021479963,6.680918021479963,0.41804997830971136
lcmd,middle,525,653,combined_normalized_RMSE,0.6128069119383227,0.6128069119383227,0.03106800760730573
random,early,333,525,V1_MAE,2.6157656033023846,2.6157656033023846,0.16878699804799957
random,early,333,525,V1_R2,0.49988718106844887,0.49988718106844887,0.12963077673856951
random,early,333,525,V1_RMSE,5.336841244755756,5.336841244755756,0.5241792353049198
random,early,333,525,V2_MAE,4.762017331463541,4.762017331463541,0.4199648362517961
random,early,333,525,V2_R2,0.5525367357715955,0.5525367357715955,0.03711685084533712
random,early,333,525,V2_RMSE,9.90794972170417,9.90794972170417,0.6480298295258773
random,early,333,525,combined_normalized_RMSE,0.8383262897137942,0.8383262897137942,0.006144773999180312
random,late,653,1005,V1_MAE,2.210259710765233,2.210259710765233,0.1332826456060807
random,late,653,1005,V1_R2,0.6021689573948755,0.6021689573948755,0.07283286976397614
random,late,653,1005,V1_RMSE,4.775373422345145,4.775373422345145,0.27880317314372527
random,late,653,1005,V2_MAE,3.7626598685921366,3.7626598685921366,0.2898798970620468
random,late,653,1005,V2_R2,0.6582984833527238,0.6582984833527238,0.05111879674876425
random,late,653,1005,V2_RMSE,8.649248177577856,8.649248177577856,0.8472857960845667
random,late,653,1005,combined_normalized_RMSE,0.7438326911116926,0.7438326911116926,0.013157795704835544
random,middle,525,653,V1_MAE,2.5253751299364104,2.5253751299364104,0.1386841823850632
random,middle,525,653,V1_R2,0.545142706682664,0.545142706682664,0.11455609726084129
random,middle,525,653,V1_RMSE,5.098506466004983,5.098506466004983,0.48349883011322936
random,middle,525,653,V2_MAE,4.452157936543584,4.452157936543584,0.35268155104267174
random,middle,525,653,V2_R2,0.6028706481135027,0.6028706481135027,0.03530947922755964
random,middle,525,653,V2_RMSE,9.34275132804169,9.34275132804169,0.6363583551823563
random,middle,525,653,combined_normalized_RMSE,0.796577524086752,0.796577524086752,0.00663484065748848
u50_gradient_maxdet,early,333,525,V1_MAE,2.3201718121695576,2.3201718121695576,0.0700671698071467
u50_gradient_maxdet,early,333,525,V1_R2,0.6081408513589359,0.6081408513589359,0.009903098797900673
u50_gradient_maxdet,early,333,525,V1_RMSE,4.754591415687139,4.754591415687139,0.09226628359152193
u50_gradient_maxdet,early,333,525,V2_MAE,4.017409994066667,4.017409994066667,0.2531435699135864
u50_gradient_maxdet,early,333,525,V2_R2,0.6909980148610553,0.6909980148610553,0.09740702263899816
u50_gradient_maxdet,early,333,525,V2_RMSE,8.140317196731306,8.140317196731306,1.1199041614745633
u50_gradient_maxdet,early,333,525,combined_normalized_RMSE,0.727131771229485,0.727131771229485,0.11583611977476582
u50_gradient_maxdet,late,653,1005,V1_MAE,1.8435326275909705,1.8435326275909705,0.05138544531241549
u50_gradient_maxdet,late,653,1005,V1_R2,0.744632742727275,0.744632742727275,0.012706118086085998
u50_gradient_maxdet,late,653,1005,V1_RMSE,3.8331886919342057,3.8331886919342057,0.015086321268898637
u50_gradient_maxdet,late,653,1005,V2_MAE,2.967939156552455,2.967939156552455,0.23036851785604975
u50_gradient_maxdet,late,653,1005,V2_R2,0.8417780089427996,0.8417780089427996,0.06590279822586123
u50_gradient_maxdet,late,653,1005,V2_RMSE,5.798680646412931,5.798680646412931,1.0623497251013387
u50_gradient_maxdet,late,653,1005,combined_normalized_RMSE,0.5605568100223215,0.5605568100223215,0.09067041207285075
u50_gradient_maxdet,middle,525,653,V1_MAE,2.0444815978943875,2.0444815978943875,0.021957383703393576
u50_gradient_maxdet,middle,525,653,V1_R2,0.6869791172807604,0.6869791172807604,0.037867932477568825
u50_gradient_maxdet,middle,525,653,V1_RMSE,4.252701524916367,4.252701524916367,0.40036854464793753
u50_gradient_maxdet,middle,525,653,V2_MAE,3.4205144330037296,3.4205144330037296,0.3728185576791548
u50_gradient_maxdet,middle,525,653,V2_R2,0.7858750703030645,0.7858750703030645,0.09846149890119728
u50_gradient_maxdet,middle,525,653,V2_RMSE,6.741122950253489,6.741122950253489,1.4499485563633228
u50_gradient_maxdet,middle,525,653,combined_normalized_RMSE,0.6341759427003419,0.6341759427003419,0.14751299194204776
