scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,157.0,u50_gradient_maxdet,V1_R2,N80,0.7300404689374747,581.0126772900771,589.0,1005.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V1_R2,N90,0.7578896433583053,648.2454002650068,653.0,,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V1_R2,N95,0.7718142305687206,,,,CENSORED,1005.0
seed,157.0,gradient_maxdet,V2_R2,Random@1005,0.6974253890563308,373.45393493217045,397.0,397.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_R2,N80,0.8559824120156172,550.998037109098,557.0,557.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_R2,N90,0.8849595256731514,652.3957638557574,653.0,653.0,REACHED,1005.0
seed,157.0,gradient_maxdet,V2_R2,N95,0.8994480825019184,985.4522465374957,1005.0,1005.0,REACHED,1005.0
seed,157.0,hybrid,V2_R2,Random@1005,0.6974253890563308,377.63781153028725,397.0,397.0,REACHED,1005.0
seed,157.0,hybrid,V2_R2,N80,0.8559824120156172,651.471506298155,653.0,653.0,REACHED,1005.0
seed,157.0,hybrid,V2_R2,N90,0.8849595256731514,998.3070557432761,1005.0,1005.0,REACHED,1005.0
seed,157.0,hybrid,V2_R2,N95,0.8994480825019184,,,,CENSORED,1005.0
seed,157.0,kernel_ivr,V2_R2,Random@1005,0.6974253890563308,397.80198930954117,429.0,429.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_R2,N80,0.8559824120156172,504.1678890471031,525.0,525.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_R2,N90,0.8849595256731514,660.6307680762316,685.0,941.0,REACHED,1005.0
seed,157.0,kernel_ivr,V2_R2,N95,0.8994480825019184,,,,CENSORED,1005.0
seed,157.0,lcmd,V2_R2,Random@1005,0.6974253890563308,419.8122561488669,429.0,429.0,REACHED,1005.0
seed,157.0,lcmd,V2_R2,N80,0.8559824120156172,676.7753753188208,685.0,685.0,REACHED,1005.0
seed,157.0,lcmd,V2_R2,N90,0.8849595256731514,794.7720384244035,813.0,,REACHED,1005.0
seed,157.0,lcmd,V2_R2,N95,0.8994480825019184,,,,CENSORED,1005.0
seed,157.0,random,V2_R2,Random@1005,0.6974253890563308,919.6068598098491,941.0,941.0,REACHED,1005.0
seed,157.0,random,V2_R2,N80,0.8559824120156172,,,,CENSORED,1005.0
seed,157.0,random,V2_R2,N90,0.8849595256731514,,,,CENSORED,1005.0
seed,157.0,random,V2_R2,N95,0.8994480825019184,,,,CENSORED,1005.0
seed,157.0,u50_gradient_maxdet,V2_R2,Random@1005,0.6974253890563308,373.45393493217045,397.0,397.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_R2,N80,0.8559824120156172,578.9726339728207,589.0,589.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_R2,N90,0.8849595256731514,699.3314161539469,717.0,845.0,REACHED,1005.0
seed,157.0,u50_gradient_maxdet,V2_R2,N95,0.8994480825019184,,,,CENSORED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,Random@1005,0.746455073423428,489.5127234747478,493.0,653.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N80,0.5904782450796815,863.2054822333682,877.0,877.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N90,0.5454481823993969,992.7830650251526,1005.0,1005.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,hybrid,combined_normalized_RMSE,Random@1005,0.746455073423428,500.6881606975301,525.0,525.0,REACHED,1005.0
seed,6101.0,hybrid,combined_normalized_RMSE,N80,0.5904782450796815,627.6516044670675,653.0,653.0,REACHED,1005.0
seed,6101.0,hybrid,combined_normalized_RMSE,N90,0.5454481823993969,648.6719957826178,653.0,781.0,REACHED,1005.0
seed,6101.0,hybrid,combined_normalized_RMSE,N95,0.5229331510592545,679.0626825546207,685.0,877.0,REACHED,1005.0
seed,6101.0,kernel_ivr,combined_normalized_RMSE,Random@1005,0.746455073423428,482.35258943257224,493.0,589.0,REACHED,1005.0
seed,6101.0,kernel_ivr,combined_normalized_RMSE,N80,0.5904782450796815,809.0505207742932,813.0,813.0,REACHED,1005.0
seed,6101.0,kernel_ivr,combined_normalized_RMSE,N90,0.5454481823993969,838.6397697939232,845.0,973.0,REACHED,1005.0
seed,6101.0,kernel_ivr,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,lcmd,combined_normalized_RMSE,Random@1005,0.746455073423428,537.6131036623183,557.0,557.0,REACHED,1005.0
seed,6101.0,lcmd,combined_normalized_RMSE,N80,0.5904782450796815,609.4413543357136,621.0,621.0,REACHED,1005.0
seed,6101.0,lcmd,combined_normalized_RMSE,N90,0.5454481823993969,725.8838402573631,749.0,1005.0,REACHED,1005.0
seed,6101.0,lcmd,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,random,combined_normalized_RMSE,Random@1005,0.746455073423428,672.3079429046695,685.0,1005.0,REACHED,1005.0
seed,6101.0,random,combined_normalized_RMSE,N80,0.5904782450796815,,,,CENSORED,1005.0
seed,6101.0,random,combined_normalized_RMSE,N90,0.5454481823993969,,,,CENSORED,1005.0
seed,6101.0,random,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,u50_gradient_maxdet,combined_normalized_RMSE,Random@1005,0.746455073423428,499.64234061245963,525.0,653.0,REACHED,1005.0
seed,6101.0,u50_gradient_maxdet,combined_normalized_RMSE,N80,0.5904782450796815,839.0978612323241,845.0,845.0,REACHED,1005.0
seed,6101.0,u50_gradient_maxdet,combined_normalized_RMSE,N90,0.5454481823993969,906.6406138681,909.0,,REACHED,1005.0
seed,6101.0,u50_gradient_maxdet,combined_normalized_RMSE,N95,0.5229331510592545,,,,CENSORED,1005.0
seed,6101.0,gradient_maxdet,V1_RMSE,Random@1005,4.63803187480628,476.51754112946725,493.0,493.0,REACHED,1005.0
seed,6101.0,gradient_maxdet,V1_RMSE,N80,3.638304388945378,864.081096478026,877.0,877.0,REACHED,1005.0
