outer_seed,method,source_round,active_label_count,pool_size,candidate_pool_size,top50_cutoff,normalization_scale,selected_gradient_norm_mean,selected_gradient_norm_median,nearest_L_t_gradient_distance_mean,gram_effective_rank,within_batch_mean_absolute_normalized_kernel_correlation,overlap_lcmd_count,overlap_lcmd_fraction,overlap_hybrid_count,overlap_hybrid_fraction,gradient_status,gradient_seconds,selector_seconds,member0_pool_inference_seconds,extra_member_measured_repeat_inference_seconds,ensemble_inference_seconds_total,selected_uncertainty_count,selected_uncertainty_mean,selected_uncertainty_median,gate_nonselected_uncertainty_count,gate_nonselected_uncertainty_mean,gate_nonselected_uncertainty_median,rejected_by_gate_uncertainty_count,rejected_by_gate_uncertainty_mean,rejected_by_gate_uncertainty_median
6101,gradient_maxdet,12,717,2613,2613,,460.02975084199625,431.98461929881387,407.2391632970895,96.08049809456288,7.955477356016941,0.27138236687875916,1,0.03125,0,0.0,new_extraction,120.858197290916,0.2347076250007376,3.299168625031598,0.0,3.299168625031598,,,,,,,,,
6101,gradient_maxdet,13,749,2581,2581,,440.6410059151343,399.9551263421118,413.3468508231215,176.0280048098133,7.480688566449427,0.2600783750532433,0,0.0,0,0.0,new_extraction,131.7453288329998,0.21240287506952882,3.1835577910533175,0.0,3.1835577910533175,,,,,,,,,
6101,gradient_maxdet,14,781,2549,2549,,440.9139895225799,452.529689526498,445.6141909078623,156.7613326769948,5.640139649321084,0.3819182225446235,0,0.0,0,0.0,new_extraction,132.92839087499306,0.20631162507925183,3.1565796660725027,0.0,3.1565796660725027,,,,,,,,,
6101,gradient_maxdet,15,813,2517,2517,,443.27736914073273,343.4303730504613,337.23768408225976,122.2058339491704,10.114511766512281,0.23881069979933497,0,0.0,0,0.0,new_extraction,144.82096329098567,0.21431583305820823,3.333456333959475,0.0,3.333456333959475,,,,,,,,,
6101,gradient_maxdet,16,845,2485,2485,,467.4183813008338,324.5674419776564,320.9050226868963,70.39460679775428,9.36794976269295,0.2659310586766393,0,0.0,0,0.0,new_extraction,145.7975415000692,0.2144211670383811,3.2089833749923855,0.0,3.2089833749923855,,,,,,,,,
6101,gradient_maxdet,17,877,2453,2453,,437.41507351538587,315.0491023050355,247.40993708988796,128.51200924906868,9.092995616633242,0.20646617182962318,0,0.0,0,0.0,new_extraction,135.54078987496905,0.23588770895730704,3.196974084014073,0.0,3.196974084014073,,,,,,,,,
6101,gradient_maxdet,18,909,2421,2421,,456.05458952804776,274.67569764748646,252.72702838635018,116.33923713427501,10.843803540585096,0.21313704045411597,0,0.0,0,0.0,new_extraction,130.5560831669718,0.20259883301332593,2.8049869580427185,0.0,2.8049869580427185,,,,,,,,,
6101,gradient_maxdet,19,941,2389,2389,,480.97671945719674,262.16197192199,245.43403648479563,106.07878909233725,12.692773441273118,0.1759719422898825,1,0.03125,1,0.03125,new_extraction,128.74023829202633,0.19966787507291883,3.231634874944575,0.0,3.231634874944575,,,,,,,,,
6101,gradient_maxdet,20,973,2357,2357,,449.2157584552251,259.10733501393963,254.24488327961973,105.75672728893582,13.73600955747349,0.18391480704238908,2,0.0625,0,0.0,new_extraction,142.2363305420149,0.23385845799930394,3.131950582959689,0.0,3.131950582959689,,,,,,,,,
6101,u50_gradient_maxdet,0,333,2997,1499,0.11314979688995645,167.37476610445023,467.2666949428559,432.7034907026663,271.4225512978184,7.765614365560211,0.32398547982526177,11,0.34375,7,0.21875,reused_historical_round0,104.41058604198042,0.3641547919251025,6.033571915933862,0.0,6.033571915933862,32.0,0.7519869734921802,0.6448672690784513,1467.0,0.2843637486242627,0.20357520178832858,1498.0,0.06941049771045682,0.07036062946467314
6101,u50_gradient_maxdet,1,365,2965,1483,0.16155830148129896,256.72227614234316,582.5601610775288,517.1780323220345,285.86590969256247,6.649875262547818,0.3618252542645833,2,0.0625,2,0.0625,new_extraction,115.58138704206795,0.13845075003337115,3.2199869580799714,5.136130916886032,8.356117874966003,32.0,0.7858838522668244,0.6564799817459037,1451.0,0.3278455708137002,0.25926813756011285,1482.0,0.10490654780288848,0.10712422022758206
6101,u50_gradient_maxdet,2,397,2933,1467,0.1337013395547009,316.3375132252073,625.7232166429925,589.9766596462821,252.7031276185296,7.080624961527495,0.37057746115678697,5,0.15625,2,0.0625,new_extraction,81.16858729196247,0.08387795800808817,2.7017587079899386,4.4889409999595955,7.190699707949534,32.0,0.5412122533118893,0.4974938847004565,1435.0,0.2564041880738897,0.2137019690458077,1466.0,0.0862361572648139,0.08778605647218889
6101,u50_gradient_maxdet,3,429,2901,1451,0.12326397249478134,403.51378018972525,741.3213539565005,686.020754561594,237.04732475368806,6.503319920721552,0.36754723050577276,0,0.0,2,0.0625,new_extraction,77.14810612506699,0.11542562500108033,2.3339682079385966,4.579990292084403,6.913958500023,32.0,0.46657816493463466,0.4476846576214083,1419.0,0.251695609516866,0.18918494419948326,1450.0,0.07943910350949593,0.08039567033147836
6101,u50_gradient_maxdet,4,461,2869,1435,0.13224829080754524,403.77266820286474,688.5264238156888,669.7099306302589,146.53153327466953,7.613176144675159,0.3145729336076131,1,0.03125,2,0.0625,new_extraction,85.59076220798306,0.09340541705023497,2.257728875032626,4.662707042065449,6.920435917098075,32.0,0.5045367389725619,0.4465165095500717,1403.0,0.2783196387809638,0.21319581120584638,1434.0,0.08111933925410578,0.08226263081799882
6101,u50_gradient_maxdet,5,493,2837,1419,0.12792004456343706,453.3273767304281,699.9093606946485,683.6522669259214,148.99810128422746,10.759653766739959,0.27697868289873523,2,0.0625,1,0.03125,new_extraction,84.37947083299514,0.08556358399800956,2.2697035419987515,4.269267291994765,6.538970833993517,32.0,0.45157359909892925,0.3905989966180098,1387.0,0.24364229670531354,0.1971586288098386,1418.0,0.08383593491316822,0.08586563938101485
6101,u50_gradient_maxdet,6,525,2805,1403,0.132915139186694,401.9354217801634,592.5157779051693,616.6475435427217,81.79185334461451,8.568390736825338,0.25707963331190964,0,0.0,1,0.03125,new_extraction,78.74804308300372,0.1186089999973774,2.2506805420853198,4.424017582903616,6.674698124988936,32.0,0.4365048360028014,0.4369807107733998,1371.0,0.25391215549815466,0.2061329785900191,1402.0,0.08616760256867527,0.0865543206009999
6101,u50_gradient_maxdet,7,557,2773,1387,0.13398070565626005,434.4561117605119,441.25258621097487,405.38714659619006,110.51024161014641,11.429645315249655,0.2326073275037628,1,0.03125,1,0.03125,new_extraction,93.49211662495509,0.13757000002078712,3.072701832978055,4.599234833964147,7.6719366669422016,32.0,0.3821408322603143,0.37285189799526175,1355.0,0.25128027324263275,0.20442722794211352,1386.0,0.08820924526862903,0.09095442997004194
