method,active_label_count,combined_normalized_RMSE,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
kernel_ivr,429,0.7160286990170917,4.671488410692687,8.070454988317692,2.342136895913872,4.177972379062387,0.6224274092777224,0.6994807537968821
kernel_ivr,461,0.6912132289412383,4.560837271632485,7.586921240470948,2.218269224361264,3.709483977987898,0.6412193770194589,0.7308634401863948
kernel_ivr,493,0.6535436731262925,4.395122921576094,6.973774397202755,2.181654026468309,3.4553593022646094,0.6648916062591043,0.7705558681117164
kernel_ivr,525,0.5940512574569476,3.897050116680753,6.576652839425767,1.9851265957029605,3.3941448809717487,0.7380534469960597,0.7968205925364105
kernel_ivr,557,0.6527866068732711,4.368395079152244,6.956675620577105,2.1402071402799026,3.4984932471808197,0.6708091191607233,0.767076153408873
kernel_ivr,589,0.6127861097292481,4.156236581169011,6.384118617938711,1.9474209521314223,3.121280460906543,0.702052165969623,0.8068622677096544
kernel_ivr,621,0.6208054296798098,4.186153445827708,6.539329512537048,1.9696192695654267,3.266013933886155,0.6976976172565352,0.7959710299375164
kernel_ivr,653,0.6216284192880587,4.194715415844391,6.523694417545057,1.9636943683349828,3.1856575203742343,0.6964607419556106,0.7949924217329691
kernel_ivr,685,0.6024078049210958,4.0855458023408815,6.287638980372995,1.9064635923154638,3.023013576329183,0.7119233269884457,0.8117935503817861
kernel_ivr,717,0.5983090470151617,4.058381654560323,6.246985904510531,1.9082529950770828,2.971957613810075,0.7158848718138229,0.8158140618654046
kernel_ivr,749,0.5735500290193529,3.7948353625872766,6.251933097334678,1.8413082649953645,3.029675959683151,0.7515993426638867,0.816029071041586
kernel_ivr,781,0.564198824890724,3.818636888875498,5.912758182003582,1.7843146006838024,2.778899697662829,0.7484850710645506,0.8361589232989846
kernel_ivr,813,0.5534655260351791,3.8545902449085023,5.587570758571649,1.8796133054532023,2.913014152638918,0.7406202571013757,0.8564980635107249
kernel_ivr,845,0.5281301707884114,3.694525526183765,5.320220637441083,1.7835049157519993,2.6756158012280364,0.7591200262680478,0.8705235738818199
kernel_ivr,877,0.5219263236870966,3.646560288960263,5.239333454791436,1.7415807263655432,2.598586761122413,0.7680741023302973,0.8743503741611962
kernel_ivr,909,0.5247279244310156,3.5969336153627407,5.46787490853405,1.8007683628182902,2.7930799696942885,0.7750031106619658,0.8631912118317759
kernel_ivr,941,0.5327007769496017,3.686403084835232,5.442550347751266,1.7708521329527565,2.787836385287827,0.7635511216459692,0.8640817325881343
kernel_ivr,973,0.498990480731781,3.39995701535468,5.226021271400828,1.7248585690125573,2.7801709626790143,0.8001081702866716,0.8746630266748956
kernel_ivr,1005,0.5118903141906027,3.5402789345481898,5.233507648289961,1.7211135674437745,2.6269533577011073,0.7821926460627947,0.8744584045742774
lcmd,333,0.8529759142704674,5.429356303085303,9.919499844208094,2.6507533174052798,4.810769740911983,0.4915396969311431,0.5491565060988396
lcmd,365,0.8213584076099933,5.296764607167145,9.38126903324437,2.6306257122140426,4.607872332314507,0.5159475897672384,0.5942397820844889
lcmd,397,0.8379749441705511,5.373288077484288,9.62163341773417,2.664882446650407,4.861644137105781,0.5019671325500887,0.5753120139378408
lcmd,429,0.7770833820916706,5.071021995309902,8.714534572090773,2.4861011116338863,4.265932927600486,0.5564282358621908,0.6512878622162785
lcmd,461,0.7539687290669015,5.044792982765654,8.193002219826777,2.4205850671521194,3.97553548652777,0.5590838989812906,0.6936889123405147
lcmd,493,0.6969987605308449,4.691165493044954,7.435281352913969,2.241658782501587,3.702822760998202,0.620115256397374,0.7447357049457499
lcmd,525,0.6963632292243673,4.640175936681796,7.5253463218101775,2.2266804653105976,3.7612171058746267,0.6285959397905909,0.7354162822772263
lcmd,557,0.6404337044406672,4.248169928819673,7.089342698370687,2.099337785364055,3.437632675079419,0.6853540221831671,0.7702964657312892
lcmd,589,0.6039135586221489,4.087746565543474,6.524859813432357,2.0314122885822963,3.268410355638829,0.7052893438544048,0.8068561846223978
lcmd,621,0.5771911691274663,3.894605555404337,6.24613771410538,1.9623023494542073,3.2027838207263173,0.7319614857686957,0.8219975439065338
lcmd,653,0.5630152019016498,3.761454071823156,6.201317398212682,1.8265253405490938,2.9656943943288976,0.7490539078339269,0.8245497272916373
lcmd,685,0.5525830138220785,3.744867510158948,5.932092431310068,1.8098567804272512,2.945136078255926,0.7522008880594673,0.8393633001747616
