outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
525,pretrained_coverage,historical_E4_round1,7,28c4b7ec4bf7f486b68c,CCOC(=O)C(Br)C(=O)OCC
525,pretrained_coverage,historical_E4_round1,8,118d66c0e53f510c51ed,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
525,pretrained_coverage,historical_E4_round1,9,80e66bd0e8e9450537bb,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
525,pretrained_coverage,historical_E4_round1,10,155ad3f702726e253c4d,O=CCCc1ccccc1
525,pretrained_ensemble,historical_E4_round1,1,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_ensemble,historical_E4_round1,2,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,pretrained_ensemble,historical_E4_round1,3,27b234a05f8c66fd059f,O=Cc1cc(Br)ccc1O
525,pretrained_ensemble,historical_E4_round1,4,99dd4a9a47de5c84b7c0,O=Cc1ccc(Br)cc1O
525,pretrained_ensemble,historical_E4_round1,5,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
525,pretrained_ensemble,historical_E4_round1,6,47404d0982a587f0393e,COCCOC(=O)CC(C)=O
525,pretrained_ensemble,historical_E4_round1,7,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,pretrained_ensemble,historical_E4_round1,8,3545611fd9950a160288,C/C(=N\O)c1ccccc1
525,pretrained_ensemble,historical_E4_round1,9,4c6a8ef1c87748df99f2,CCC(=O)c1cccnc1
525,pretrained_ensemble,historical_E4_round1,10,84caf30ea66b29e2ea91,C=CC(=O)OCC(CC)CCCC
525,pretrained_hybrid,historical_E4_round1,1,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
525,pretrained_hybrid,historical_E4_round1,2,f95928e2618ed15e654f,COc1ccc(C=O)cc1
525,pretrained_hybrid,historical_E4_round1,3,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
525,pretrained_hybrid,historical_E4_round1,4,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
525,pretrained_hybrid,historical_E4_round1,5,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
525,pretrained_hybrid,historical_E4_round1,6,28c4b7ec4bf7f486b68c,CCOC(=O)C(Br)C(=O)OCC
525,pretrained_hybrid,historical_E4_round1,7,1bd5bb3744b78ada7307,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
525,pretrained_hybrid,historical_E4_round1,8,80e66bd0e8e9450537bb,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
