outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
2357,random,14,781,4.208427037762305,6.6714189016550005,2.004454468937515,3.2728442894183187,0.6694829576839267,0.794103619214737
2357,random,15,813,4.183245329591606,6.873053157869395,2.0956685497320526,3.7959642696151916,0.6734265132050852,0.7814696827134731
2357,random,16,845,4.318810637900489,7.451717351554627,2.0173180063279696,3.432686961240334,0.6519171883334745,0.7431231082770944
2357,random,17,877,4.069227209201021,7.0341845432152335,1.913024203096934,3.484611368293671,0.6909860161659929,0.7711031550914107
2357,random,18,909,4.231470616007716,6.650731116818629,2.0121422357124676,3.2406918516547845,0.6658535032231057,0.7953785910794029
2357,random,19,941,3.9939833124330653,6.445118208386742,1.9312124732586977,3.2632782030448637,0.7023082867938879,0.8078350998035722
2357,random,20,973,4.153822159639016,6.489361296919709,1.9610516344614737,3.021293095833392,0.6780043154834423,0.8051877783185314
2357,random,21,1005,3.9664336538904386,6.699006784306312,2.075698529501899,3.6308420945128663,0.7064009526715722,0.7923972386535019
2357,hybrid,0,333,5.195856190207441,9.459342527954279,2.6328683785683245,4.671406845394656,0.4961880110195067,0.5860630511215065
2357,hybrid,1,365,5.304778421199469,10.02576390748099,2.689389444941239,4.805218609688665,0.47484349418588523,0.5350061196135925
2357,hybrid,2,397,4.718004814220455,8.321662954595286,2.3667020357484154,4.099195601557084,0.5845956759779634,0.6796442418796651
2357,hybrid,3,429,4.410988723903859,7.672420412543375,2.1709647550285576,3.7146790696562624,0.6369000838656605,0.7276815447748832
2357,hybrid,4,461,4.41972023456516,7.72432188406293,2.0829356071188583,3.8698055932847715,0.6354611553683809,0.723984788637082
2357,hybrid,5,493,4.375216330042375,7.444753768398707,2.158633305872087,3.5640353699096385,0.6427655643202554,0.74360298364232
2357,hybrid,6,525,4.011029986711236,6.076327915065377,1.9537714642586468,3.1821072724797457,0.6997617147088161,0.8291973138112128
2357,hybrid,7,557,3.296592269014429,5.017520753897643,1.867495176031721,3.1012645042199884,0.7971921667887873,0.8835362832918116
2357,hybrid,8,589,3.2951698814069355,4.634936149458107,1.7907012137863563,2.8795173859996477,0.7973671408780632,0.9006198147391418
2357,hybrid,9,621,3.041408497113756,4.44689583342296,1.7075288936102704,2.6001049826185194,0.8273749714701351,0.9085199900013119
2357,hybrid,10,653,2.6945671096192494,4.29056375912472,1.5361216531383048,2.6232069321959424,0.8645021942600548,0.9148389493472613
2357,hybrid,11,685,2.924497765872659,4.088486029207066,1.600024340535811,2.2956904175756074,0.8403911967251778,0.9226719022648666
2357,hybrid,12,717,2.845769491747288,3.921433231073136,1.6098318700310137,2.3601958036994475,0.8488689527272703,0.9288619526417272
2357,hybrid,13,749,2.771609746659406,4.237496073332344,1.6105716440031568,2.563892801316808,0.8566431619898025,0.9169325443756776
2357,hybrid,14,781,2.758226733157965,3.997761168419881,1.5203441567272304,2.3313537387253285,0.8580242471498939,0.9260656973367132
2357,hybrid,15,813,2.834403630787696,4.143123971898656,1.6597119704139032,2.519912089661157,0.8500737616214471,0.9205912887507485
2357,hybrid,16,845,2.7031981406710273,4.0534633435969205,1.4550118200498805,2.2552156265405157,0.8636327716591159,0.9239910399691862
2357,hybrid,17,877,2.8647335346884653,4.149498380417632,1.6447208756737286,2.3824055818059175,0.8468479842032954,0.9203467520371093
2357,hybrid,18,909,2.6784196636155437,3.840825974998614,1.4092161203745743,2.0545513818589902,0.8661212949799801,0.9317564594098692
2357,hybrid,19,941,2.7926217598090575,4.065668652320634,1.5313257822315756,2.2523185103345544,0.8544613008444668,0.9235326124697005
2357,hybrid,20,973,2.784587420264682,3.9358847155554297,1.4788923572293289,2.0928616363653463,0.8552975224202213,0.9283366627076011
2357,hybrid,21,1005,2.7642324841727555,4.051507985301509,1.463118705246374,2.307869344020633,0.8574052992493463,0.9240643545104715
2357,lcmd,0,333,5.195856190207441,9.459342527954279,2.6328683785683245,4.671406845394656,0.4961880110195067,0.5860630511215065
2357,lcmd,1,365,4.975070267269694,8.85891764890352,2.4720587490273895,4.402036559381645,0.5380949700386197,0.6369439989503409
2357,lcmd,2,397,4.500522474634523,7.601023725353149,2.22902270243894,3.969883865017971,0.6220101630251642,0.7327261517072886
2357,lcmd,3,429,3.8322855597917633,6.903742283276076,2.0667288423442156,3.8030143927613036,0.7259246490227865,0.7795137900733438
2357,lcmd,4,461,3.383020629222972,6.2826741027596364,1.8795399734442182,3.500699778540815,0.7864185426192791,0.8173997552090985
2357,lcmd,5,493,3.448642096943831,6.211407300090756,1.8654847116493207,3.456404884942144,0.7780523740538055,0.8215188700163498
