column,protocol,seed,planned_budget,target,slope,intercept
25g,compound,2767143051,30,V2,5.525394945002616,-24.06417395219823
25g,compound,2767143051,50,V1,6.517133977989755,-12.428543144503609
25g,compound,2767143051,50,V2,5.222189425163719,-22.781685967262472
25g,compound,2767143051,70,V1,6.375051026236568,-8.258110406318286
25g,compound,2767143051,70,V2,5.177243717399693,-19.405219547567622
25g,compound,2767143051,100,V1,5.9688598234292645,-6.647668845508184
25g,compound,2767143051,100,V2,4.890501151946597,-15.953650406867055
25g,compound,1362771960,30,V1,5.989694867290997,-5.819600511880566
25g,compound,1362771960,30,V2,4.668749078702559,-17.72185170603099
25g,compound,1362771960,50,V1,11.309297905831123,-30.355694298612608
25g,compound,1362771960,50,V2,7.417880218003251,-55.356574821839615
25g,compound,1362771960,70,V1,10.45813472894855,-24.670086154999826
25g,compound,1362771960,70,V2,7.166837087518299,-48.35382679955911
25g,compound,1362771960,100,V1,7.6603277926026285,-11.005758809390768
25g,compound,1362771960,100,V2,6.089990967571256,-32.63510309527128
40g,row,769539383,30,V1,12.298793462697533,-20.050722602029357
40g,row,769539383,30,V2,9.192994888731137,-40.93504415368564
40g,row,769539383,50,V1,13.391732277489215,-23.927506824243014
40g,row,769539383,50,V2,9.057927065437388,-36.669834493415166
40g,row,769539383,70,V1,13.300001767152002,-21.509689781439533
40g,row,769539383,70,V2,9.022564732626961,-36.12321596053168
40g,row,769539383,100,V1,12.886527187750833,-15.460308527569575
40g,row,769539383,100,V2,9.073511184231474,-35.152754466485064
40g,row,1425370602,30,V1,13.770994210116935,-24.21380214329974
40g,row,1425370602,30,V2,8.991625512658276,-41.107980881980374
40g,row,1425370602,50,V1,13.916031779288138,-27.848973346288666
40g,row,1425370602,50,V2,8.864134900813331,-40.21963325615908
40g,row,1425370602,70,V1,13.551429940135668,-25.168853771060487
40g,row,1425370602,70,V2,8.772975780504943,-36.9434583055835
40g,row,1425370602,100,V1,13.172543371095635,-22.42970054415482
40g,row,1425370602,100,V2,8.810686200330768,-36.47051125490492
40g,row,536279090,30,V1,12.08096792461162,-12.026308645293273
40g,row,536279090,30,V2,8.488870602479079,-33.50482377826803
40g,row,536279090,50,V1,13.24059310593678,-18.519877615050266
40g,row,536279090,50,V2,9.069973509162836,-39.10162842442428
40g,row,536279090,70,V1,13.21182449211729,-15.95593467983303
40g,row,536279090,70,V2,9.098436735728672,-37.91681921861881
40g,row,536279090,100,V1,14.474576809666843,-23.93719505284025
40g,row,536279090,100,V2,9.505384216179376,-40.30520584554539
40g,row,2767143051,30,V1,15.077644216573768,-33.320754201697554
40g,row,2767143051,30,V2,9.476883286267062,-48.51446349977238
40g,row,2767143051,50,V1,14.142840976647191,-28.91904870223064
40g,row,2767143051,50,V2,9.377989622644051,-42.882760223858305
40g,row,2767143051,70,V1,14.076275621217201,-25.799734796592137
40g,row,2767143051,70,V2,9.316466190120018,-40.94616322151992
40g,row,2767143051,100,V1,13.111158406359943,-20.7845564143483
40g,row,2767143051,100,V2,8.507763598505974,-29.230892362596382
40g,row,1362771960,30,V1,8.477202172819247,6.005833685150686
40g,row,1362771960,30,V2,4.59994296202484,17.857166574397983
40g,row,1362771960,50,V1,8.937095687556079,3.2012785922396274
40g,row,1362771960,50,V2,5.384558942378776,9.372216329813899
40g,row,1362771960,70,V1,11.818057175158353,-13.416002326226936
40g,row,1362771960,70,V2,7.331277787988677,-15.470121546966642
40g,row,1362771960,100,V1,12.954676254854162,-20.19218611593093
40g,row,1362771960,100,V2,7.831447795067866,-23.329735498867436
40g,compound,769539383,30,V1,14.87008374867358,-33.274007874385084
40g,compound,769539383,30,V2,7.52441423986706,-17.41633664633983
40g,compound,769539383,50,V1,16.815467564022832,-35.4709879190034
40g,compound,769539383,50,V2,10.177726332117995,-41.80575107887115
40g,compound,769539383,70,V1,16.021290470597737,-31.74261691581213
40g,compound,769539383,70,V2,9.970127616465383,-41.9466067271009
40g,compound,769539383,100,V1,13.248972874447464,-18.420676526603447
40g,compound,769539383,100,V2,8.748084874041519,-33.57049880273795
40g,compound,1425370602,30,V1,20.035899432786223,-67.88249299105559
40g,compound,1425370602,30,V2,12.029723973602795,-87.29051184742137
40g,compound,1425370602,50,V1,16.6328861687538,-48.76185290712921
40g,compound,1425370602,50,V2,10.373581224899134,-68.14455987458095
40g,compound,1425370602,70,V1,13.721961211522697,-25.089761070533548
40g,compound,1425370602,70,V2,9.88229508577401,-57.83464264662376
