column,protocol,seed,method,projection_frequency,center_error_variance,width_error_variance,center_width_error_covariance,center_width_error_correlation,V1_error_variance,V2_error_variance,V1_variance_identity_max_abs,V2_variance_identity_max_abs,V1_error_identity_max_abs,V2_error_identity_max_abs
25g,row,536279090,M3_CENTER_WIDTH,0.0,45.13301502339049,58.273076474570644,20.397000422548984,0.3977270766596205,39.304283719484154,80.09828456458216,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,row,536279090,CENTER_MAGNITUDE,0.0,45.43410915592837,59.4480629757531,21.269505125496593,0.4092583251638653,39.026619774370054,81.56563002536323,7.105427357601002e-15,0.0,1.0658141036401503e-14,1.0658141036401503e-14
25g,row,536279090,CENTER_CONDITIONED_WIDTH,0.0,45.13301502339049,57.945406651422765,19.776086577204,0.3867084605623773,39.843280109042176,79.39545326345016,7.105427357601002e-15,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,row,2767143051,M3_CENTER_WIDTH,0.0,68.3019256825765,57.943077189588735,25.543756007929417,0.40603877166533964,57.24393897204427,108.3314509879031,7.105427357601002e-15,0.0,1.0658141036401503e-14,1.0658141036401503e-14
25g,row,2767143051,CENTER_MAGNITUDE,0.0,73.273675344652,57.163278947808735,26.231771239554742,0.40531722642915263,61.33272384204945,113.79626632115892,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,row,2767143051,CENTER_CONDITIONED_WIDTH,0.0,71.2664626756434,56.36847279809674,26.641153488208012,0.42033183993999823,58.71742738695955,111.9997343633756,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.0658141036401503e-14
25g,row,1362771960,M3_CENTER_WIDTH,0.0,73.57294140800887,61.93435924788266,24.56818673325398,0.3639554443278682,64.48834448672555,113.62471795323354,0.0,2.842170943040401e-14,1.0658141036401503e-14,1.0658141036401503e-14
25g,row,1362771960,CENTER_MAGNITUDE,0.0,67.8126338084333,62.55035566628083,24.074452533172483,0.3696461794552095,59.375770191831045,107.524675258176,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15,7.105427357601002e-15
25g,row,1362771960,CENTER_CONDITIONED_WIDTH,0.0,71.22647173192608,63.068072032163464,28.01177174597757,0.41794110392503486,58.98171799398937,115.0052614859445,7.105427357601002e-15,1.4210854715202004e-14,1.0658141036401503e-14,1.0658141036401503e-14
40g,compound,769539383,M3_CENTER_WIDTH,0.0,265.6558132902906,106.31009490467856,79.91567018984074,0.4755377854893157,212.3176668266196,372.149007206301,5.684341886080802e-14,0.0,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,769539383,CENTER_MAGNITUDE,0.0,270.6695673648646,103.97613747819172,77.12919150506845,0.45976110137543746,219.53441022934408,373.79279323948094,0.0,0.0,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,769539383,CENTER_CONDITIONED_WIDTH,0.0,268.01717611040976,109.0266385421361,79.00064043285202,0.4621500318453769,216.27319531309183,374.27447617879585,5.684341886080802e-14,0.0,2.1316282072803006e-14,2.1316282072803006e-14
40g,compound,1425370602,M3_CENTER_WIDTH,0.0,264.57615204307604,110.82285275939707,67.48940032836433,0.3941355044207916,224.79246490456106,359.7712655612896,5.684341886080802e-14,0.0,2.1316282072803006e-14,2.1316282072803006e-14
