seed,method,round,source,selected_rows,new_molecule_rows,known_molecule_rows,distinct_molecules,within_source_same_molecule_pairs,selected_distinct_PE_EA,MW_min,MW_max,MW_mean,LogP_min,LogP_max,LogP_mean,TPSA_min,TPSA_max,TPSA_mean
6101,cw16_random16_full_pool,4,random,16,3,13,15,1,6,130.143,262.046,192.3149375,0.5286,4.094100000000004,2.346497500000001,0.0,43.370000000000005,21.969375000000003
6101,cw16_random16_full_pool,5,CW,16,2,14,15,1,7,120.15099999999995,214.21699999999996,152.04399999999998,0.6279999999999999,2.2629,1.653145,17.07,69.67,33.800625000000004
6101,cw16_random16_full_pool,5,random,16,2,14,15,1,6,135.16599999999997,410.25899999999996,194.56075,1.2132999999999998,7.736500000000006,2.772086250000001,0.0,46.53,16.269375
6101,cw16_llm16_full_pool,0,CW,16,5,11,16,0,4,129.159,286.33,180.758125,-0.6642000000000001,4.336400000000003,2.1929387500000006,17.07,60.209999999999994,32.32875
6101,cw16_llm16_full_pool,0,LLM,16,5,11,11,5,6,129.16199999999998,266.218,179.0511875,1.0554,3.5440000000000014,2.17303875,12.89,52.60000000000001,28.843124999999997
6101,cw16_llm16_full_pool,1,CW,16,5,11,16,0,4,107.156,260.255,170.4730625,0.3619999999999999,3.7048000000000023,2.2440412500000004,12.03,43.14,23.100625
6101,cw16_llm16_full_pool,1,LLM,16,1,15,15,1,5,129.159,234.29800000000003,166.6284375,0.41200000000000003,3.982300000000003,1.892425,12.89,69.67,36.673125000000006
6101,cw16_llm16_full_pool,2,CW,16,3,13,16,0,4,106.16799999999999,229.07299999999998,178.6663125,1.14048,3.4604000000000026,2.2132000000000005,0.0,60.209999999999994,31.678749999999997
6101,cw16_llm16_full_pool,2,LLM,16,1,15,13,3,6,118.13899999999998,234.29800000000003,167.431625,0.41200000000000003,3.982300000000003,1.9315487500000006,12.89,60.209999999999994,35.3825
6101,cw16_llm16_full_pool,3,CW,16,1,15,14,2,7,121.11399999999998,286.33,182.22606249999995,0.5027,4.148600000000003,1.9600237500000004,17.07,52.60000000000001,32.65500000000001
6101,cw16_llm16_full_pool,3,LLM,16,2,14,14,2,6,107.156,234.29800000000003,164.9301875,0.5286,3.982300000000003,2.1273237500000004,12.89,60.209999999999994,32.8325
6101,cw16_llm16_full_pool,4,CW,16,2,14,16,0,7,106.146,246.04699999999997,172.2440625,0.08919999999999989,3.0436000000000014,1.6318425,17.07,69.67,35.056875000000005
6101,cw16_llm16_full_pool,4,LLM,16,2,14,16,0,5,117.151,227.219,163.544625,0.15510000000000002,3.403400000000002,1.9895312500000006,9.23,69.67,32.188125
6101,cw16_llm16_full_pool,5,CW,16,2,14,15,1,7,128.17399999999995,329.906,172.67125000000001,1.2132999999999998,4.148600000000003,2.2657287500000005,0.0,46.53,20.451875
6101,cw16_llm16_full_pool,5,LLM,16,0,16,15,1,5,116.116,227.219,165.79743749999994,0.13849999999999985,2.9262000000000015,2.0267237500000004,12.89,69.67,29.919375
