column,protocol,seed,fold,method,selected_penalty,free_coefficients,projection_frequency,raw_v2_lt_v1_rate,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
40g,row,1362771960,1,M1_conditional_EA,0.0,6,,,15.347537513979457,10.445363762839882,0.7179457646144689,18.639352825160387,13.052782285975661,0.7851708776562218,1.6028007271307725,1.6028007271307725,1.5535783637613618,1.5535783637613618,True
40g,row,1362771960,1,M2_MAG,0.0,8,,,15.673017567644635,10.900796411401135,0.7058556849620663,18.977420262667128,13.249205397254075,0.7773073688965415,1.6355058671794094,1.6355058671794094,1.5847458745938319,1.5847458745938319,True
40g,row,1362771960,1,M3_CENTER_WIDTH,0.0,6,0.0,0.0,13.549140132097962,9.449145096027372,0.7801741873380386,18.206029130966982,12.762616977332023,0.7950433743224076,1.4558809069083625,1.4558809069083625,1.4259849961037934,1.4259849961037934,True
40g,row,1362771960,2,M1_conditional_EA,0.0,6,,,13.397959600110704,9.730008558105226,0.7673256737588716,17.818583464852978,13.534720173417734,0.770231343507439,1.4351935183569424,1.4351935183569424,1.4043418521211903,1.4043418521211903,True
40g,row,1362771960,2,M2_MAG,0.0,8,,,13.513082575740611,10.00671265534206,0.7633099515678551,17.856567287056645,13.584703362718548,0.7692507050635609,1.444766634360447,1.444766634360447,1.4128282709772173,1.4128282709772173,True
40g,row,1362771960,2,M3_CENTER_WIDTH,0.0,6,0.0,0.0,13.1695559248182,9.473963254105026,0.7751911526197112,17.52464206880339,13.381350234064987,0.7777495001136498,1.410962841226792,1.410962841226792,1.3807066528077416,1.3807066528077416,True
40g,row,1362771960,3,M1_conditional_EA,0.0,6,,,18.19277714820357,11.498706720926867,0.5101468162173383,21.66764233276464,15.353574938595905,0.5841675963523729,1.890397436305144,1.890397436305144,1.8283053607843893,1.8283053607843893,True
40g,row,1362771960,3,M2_MAG,0.0,8,,,18.174456486753783,11.49845157781272,0.511132912568379,22.585810176777677,15.33147797981396,0.548179054565658,1.9096709181037779,1.9096709181037779,1.8556990257368016,1.8556990257368016,True
40g,row,1362771960,3,M3_CENTER_WIDTH,0.1,6,0.0,0.0,18.109948089274987,10.854857084171062,0.5145971223985375,21.880502372993668,15.549874452442232,0.5759573004471479,1.8887352295674675,1.8887352295674675,1.8296697017971029,1.8296697017971029,True
40g,row,1362771960,4,M1_conditional_EA,0.0,6,,,10.082595707536498,7.501644823311976,0.7938506615609832,14.420869202208115,10.238511366805149,0.7961359372062677,1.1049755215007062,1.1049755215007062,1.0882937626888394,1.0882937626888394,True
