method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
lcmd,random,V2_R2,gap_closed,5,5,0,0.31592633546758203,0.3150767390016237,0.20319448914185853,0.15736516120892965,0.4871986309085529
hybrid,kernel_ivr,V2_RMSE,aulc,5,4,0,-0.3634691042673204,-0.47495255482655985,0.37623483899384685,-0.6399094482533456,-0.04567388499549345
hybrid,lcmd,V2_RMSE,aulc,5,3,0,-0.06641481703508063,-0.24650310447389323,0.312041818839263,-0.2660983019643279,0.2125944230599323
hybrid,random,V2_RMSE,aulc,5,5,0,-2.4029630711722296,-1.9211021383293527,0.9339405348227559,-3.1715751143449697,-1.7058168715606956
kernel_ivr,lcmd,V2_RMSE,aulc,5,1,0,0.29705428723223976,0.4256661279210867,0.44802463468738046,-0.09526176273083173,0.5956096546255907
kernel_ivr,random,V2_RMSE,aulc,5,5,0,-2.0394939669049093,-1.3904353977795427,1.1251673758792058,-3.050912703624344,-1.2940620574876056
lcmd,random,V2_RMSE,aulc,5,5,0,-2.336548254137149,-2.017984174538894,0.7752682422321558,-3.0030304394122487,-1.7698487906418179
hybrid,kernel_ivr,V2_RMSE,endpoint,5,2,0,0.15850229923724105,0.2427767704915338,0.3193355467441759,-0.10058694296143594,0.39492810227307495
hybrid,lcmd,V2_RMSE,endpoint,5,4,0,-0.11833043894760724,-0.1746905324518826,0.15639629946047204,-0.2092118213367657,0.01999411563754432
hybrid,random,V2_RMSE,endpoint,5,5,0,-2.0689644532001075,-2.1789471396480655,1.1470907365233938,-2.865014967874752,-1.0608283635637736
kernel_ivr,lcmd,V2_RMSE,endpoint,5,4,0,-0.27683273818484827,-0.40357946570869974,0.24563224201362466,-0.4618962120459182,-0.08122732882699601
kernel_ivr,random,V2_RMSE,endpoint,5,5,0,-2.2274667524373486,-2.393432801000765,0.9806246036707512,-2.9602709551444346,-1.4063849415125143
lcmd,random,V2_RMSE,endpoint,5,5,0,-1.9506340142525,-2.032198728329103,0.9943155936739971,-2.6491064221122715,-1.0768828519253328
hybrid,kernel_ivr,V2_RMSE,gap_closed,5,2,0,-0.0321960586853143,-0.04556855233783352,0.06458562892346745,-0.08131467028964903,0.018284005430912024
hybrid,lcmd,V2_RMSE,gap_closed,5,4,0,0.02028664802019926,0.025847672749713557,0.03166385606663694,-0.0076192656378373915,0.04073416368805329
hybrid,random,V2_RMSE,gap_closed,5,5,0,0.3783693993109559,0.39362487045512673,0.22983813195280606,0.18152330918957715,0.5537764839867412
kernel_ivr,lcmd,V2_RMSE,gap_closed,5,4,0,0.05248270670551356,0.07141622508754708,0.04718715774546759,0.015400879940723833,0.08867232993699845
kernel_ivr,random,V2_RMSE,gap_closed,5,5,0,0.4105654579962702,0.3823435057264222,0.19833549329404018,0.2549393407351985,0.5794144101315082
lcmd,random,V2_RMSE,gap_closed,5,5,0,0.3580827512907567,0.3689932708322421,0.19993378525347646,0.18914257482741453,0.5156693374354535
hybrid,kernel_ivr,combined_normalized_RMSE,aulc,5,4,0,-0.020716517991300955,-0.030188648677443697,0.035411193280373406,-0.045691856295702146,0.008956600324573594
hybrid,lcmd,combined_normalized_RMSE,aulc,5,2,0,-0.00018508515092676702,0.0006666911864913194,0.022488729913348902,-0.01773550254081231,0.01795345353044171
hybrid,random,combined_normalized_RMSE,aulc,5,5,0,-0.1449068199497323,-0.15892210298844284,0.03825713014633186,-0.17202095419178204,-0.11133179813118828
kernel_ivr,lcmd,combined_normalized_RMSE,aulc,5,1,0,0.020531432840374186,0.025201405296893298,0.033926927310399674,-0.007353794221806353,0.04376356443262471
kernel_ivr,random,combined_normalized_RMSE,aulc,5,5,0,-0.12419030195843135,-0.1076079780240905,0.06014738936281582,-0.17650123624131864,-0.08527299404924951
lcmd,random,combined_normalized_RMSE,aulc,5,5,0,-0.14472173479880554,-0.1328093833209838,0.027028856935848576,-0.16807051215630148,-0.12841258515905
