parameter_name,parameter_count,requires_grad,gradient_tensor_observed,ever_nonzero_elements,shape,outer_seed
backbone.convs_bond_float.1.linear_list.1.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.1.linear_list.1.bias,128,True,True,128,128,311
backbone.convs_bond_float.1.linear_list.2.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.1.linear_list.2.bias,128,True,True,128,128,311
backbone.convs_bond_float.1.linear_list.3.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.1.linear_list.3.bias,128,True,True,128,128,311
backbone.convs_bond_float.1.linear_list.4.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.1.linear_list.4.bias,128,True,True,128,128,311
backbone.convs_bond_float.1.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_bond_float.1.rbf_list.1.gamma,1,True,True,1,1,311
backbone.convs_bond_float.1.rbf_list.2.gamma,1,True,True,1,1,311
backbone.convs_bond_float.1.rbf_list.3.gamma,1,True,True,1,1,311
backbone.convs_bond_float.1.rbf_list.4.gamma,1,True,True,1,1,311
backbone.convs_bond_float.2.linear_list.0.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.2.linear_list.0.bias,128,True,True,128,128,311
backbone.convs_bond_float.2.linear_list.1.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.2.linear_list.1.bias,128,True,True,128,128,311
backbone.convs_bond_float.2.linear_list.2.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.2.linear_list.2.bias,128,True,True,128,128,311
backbone.convs_bond_float.2.linear_list.3.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.2.linear_list.3.bias,128,True,True,128,128,311
backbone.convs_bond_float.2.linear_list.4.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.2.linear_list.4.bias,128,True,True,128,128,311
backbone.convs_bond_float.2.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_bond_float.2.rbf_list.1.gamma,1,True,True,1,1,311
backbone.convs_bond_float.2.rbf_list.2.gamma,1,True,True,1,1,311
backbone.convs_bond_float.2.rbf_list.3.gamma,1,True,True,1,1,311
backbone.convs_bond_float.2.rbf_list.4.gamma,1,True,True,1,1,311
backbone.convs_bond_float.3.linear_list.0.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.3.linear_list.0.bias,128,True,True,128,128,311
backbone.convs_bond_float.3.linear_list.1.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.3.linear_list.1.bias,128,True,True,128,128,311
backbone.convs_bond_float.3.linear_list.2.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.3.linear_list.2.bias,128,True,True,128,128,311
backbone.convs_bond_float.3.linear_list.3.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.3.linear_list.3.bias,128,True,True,128,128,311
backbone.convs_bond_float.3.linear_list.4.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.3.linear_list.4.bias,128,True,True,128,128,311
backbone.convs_bond_float.3.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_bond_float.3.rbf_list.1.gamma,1,True,True,1,1,311
backbone.convs_bond_float.3.rbf_list.2.gamma,1,True,True,1,1,311
backbone.convs_bond_float.3.rbf_list.3.gamma,1,True,True,1,1,311
backbone.convs_bond_float.3.rbf_list.4.gamma,1,True,True,1,1,311
backbone.convs_bond_embeding.0.bond_embedding_list.0.weight,1664,True,True,512,13x128,311
backbone.convs_bond_embeding.0.bond_embedding_list.1.weight,3584,True,True,640,28x128,311
backbone.convs_bond_embeding.0.bond_embedding_list.2.weight,1024,True,True,384,8x128,311
backbone.convs_bond_embeding.1.bond_embedding_list.0.weight,1664,True,True,512,13x128,311
backbone.convs_bond_embeding.1.bond_embedding_list.1.weight,3584,True,True,640,28x128,311
backbone.convs_bond_embeding.1.bond_embedding_list.2.weight,1024,True,True,384,8x128,311
backbone.convs_bond_embeding.2.bond_embedding_list.0.weight,1664,True,True,512,13x128,311
backbone.convs_bond_embeding.2.bond_embedding_list.1.weight,3584,True,True,640,28x128,311
backbone.convs_bond_embeding.2.bond_embedding_list.2.weight,1024,True,True,384,8x128,311
backbone.convs_bond_embeding.3.bond_embedding_list.0.weight,1664,True,True,512,13x128,311
backbone.convs_bond_embeding.3.bond_embedding_list.1.weight,3584,True,True,640,28x128,311
backbone.convs_bond_embeding.3.bond_embedding_list.2.weight,1024,True,True,384,8x128,311
backbone.convs_angle_float.0.linear_list.0.weight,4096,True,True,2976,128x32,311
backbone.convs_angle_float.0.linear_list.0.bias,128,True,True,93,128,311
backbone.convs_angle_float.0.linear_list.1.weight,2048,True,True,1471,128x16,311
backbone.convs_angle_float.0.linear_list.1.bias,128,True,True,93,128,311
backbone.convs_angle_float.0.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_angle_float.1.linear_list.0.weight,4096,True,True,3007,128x32,311
backbone.convs_angle_float.1.linear_list.0.bias,128,True,True,94,128,311
backbone.convs_angle_float.1.linear_list.1.weight,2048,True,True,1484,128x16,311
backbone.convs_angle_float.1.linear_list.1.bias,128,True,True,94,128,311
backbone.convs_angle_float.1.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_angle_float.2.linear_list.0.weight,4096,True,True,2845,128x32,311
backbone.convs_angle_float.2.linear_list.0.bias,128,True,True,89,128,311
backbone.convs_angle_float.2.linear_list.1.weight,2048,True,True,1380,128x16,311
backbone.convs_angle_float.2.linear_list.1.bias,128,True,True,89,128,311
backbone.convs_angle_float.2.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_angle_float.3.linear_list.0.weight,4096,True,True,3166,128x32,311
backbone.convs_angle_float.3.linear_list.0.bias,128,True,True,99,128,311
backbone.convs_angle_float.3.linear_list.1.weight,2048,True,True,1563,128x16,311
backbone.convs_angle_float.3.linear_list.1.bias,128,True,True,99,128,311
backbone.convs_angle_float.3.rbf_list.0.gamma,1,True,True,1,1,311
head.0.weight,768,True,True,256,6x128,311
head.0.bias,6,True,True,2,6,311
condition_branch.solvent_embedding.weight,12,True,True,12,3x4,311
condition_branch.hidden.weight,128,True,True,96,16x8,311
condition_branch.hidden.bias,16,True,True,12,16,311
condition_branch.output.weight,2048,True,True,1536,128x16,311
condition_branch.output.bias,128,True,True,128,128,311
backbone.atom_encoder.atom_embedding_list.0.weight,15872,True,True,1280,124x128,1297
