column,protocol,method,seed,evaluation_split,best_epoch,epochs_run,selection,column_spec_flag,combined_normalized_rmse,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae
40g,legacy_filtered,direct,525,valid,409,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.38549221218707697,0.8364152362738801,10.379742622375488,7.621495246887207,0.8435296164735068,14.80771255493164,10.679071426391602
40g,legacy_filtered,direct,525,test,409,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.44673213666950173,0.7325197417042586,11.35314655303955,7.283936023712158,0.6438625933220605,18.01154899597168,11.362356185913086
40g,legacy_filtered,paper_transfer,525,valid,224,324,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4045942563823347,0.8389172058681553,10.300060272216797,7.308593273162842,0.8106050361731892,16.29131507873535,11.174442291259766
40g,legacy_filtered,paper_transfer,525,test,224,324,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.3028527640284359,0.880594359611625,7.585475444793701,5.110447883605957,0.832787993792504,12.341728210449219,7.378782749176025
40g,legacy_filtered,direct,1101,valid,219,319,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4012871859106309,0.8618371204433134,9.492782592773438,6.969630718231201,0.813562806747445,16.424924850463867,12.122930526733398
40g,legacy_filtered,direct,1101,test,219,319,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.46338225071300104,0.7428892960677338,13.575265884399414,9.910385131835938,0.8226997284307808,15.447153091430664,11.540725708007812
40g,legacy_filtered,paper_transfer,1101,valid,164,264,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.36103610770387573,0.8640876308843124,9.415151596069336,7.290194988250732,0.86958324219969,13.73737621307373,10.299100875854492
40g,legacy_filtered,paper_transfer,1101,test,164,264,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4862081160986285,0.710489550749057,14.40523624420166,9.60107707977295,0.8112854842469782,15.936626434326172,10.223730087280273
40g,legacy_filtered,direct,2025,valid,350,450,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4148868128265765,0.9017109429067873,9.584269523620605,6.692193508148193,0.8295204412779857,17.133853912353516,12.224715232849121
40g,legacy_filtered,direct,2025,test,350,450,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6402220275597936,0.3937798887787286,19.582626342773438,12.335241317749023,0.6174078133529699,19.337921142578125,13.628310203552246
40g,legacy_filtered,paper_transfer,2025,valid,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.3133368234111102,0.942105285339743,7.35573148727417,5.154043197631836,0.9047248165029997,12.80881118774414,9.454952239990234
40g,legacy_filtered,paper_transfer,2025,test,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.511344753101306,0.6017116503270078,15.872838020324707,8.459362030029297,0.7707110654587692,14.970396995544434,9.70044994354248
40g,legacy_filtered,direct,2026,valid,226,326,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5801706748010844,0.5948681783732503,16.291772842407227,11.585905075073242,0.6916267954283516,20.26122283935547,14.847394943237305
40g,legacy_filtered,direct,2026,test,226,326,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6092665676514011,0.6474792846031893,16.095260620117188,10.345693588256836,0.6802177416960353,22.706621170043945,14.555243492126465
40g,legacy_filtered,paper_transfer,2026,valid,499,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.4156719894193205,0.7511846258009466,12.767584800720215,7.533279895782471,0.8792609706357499,12.678011894226074,8.29688549041748
40g,legacy_filtered,paper_transfer,2026,test,499,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.3639325344435628,0.8600009596273411,10.14304256439209,6.440505504608154,0.898007248468613,12.823600769042969,7.634072303771973
