outer_seed,method,acquisition_space,batch_size,mean_raw_gradient_norm,median_raw_gradient_norm,mean_transformed_feature_norm,mean_nearest_l0_distance_own_space,mean_nearest_l0_raw_gradient_distance,mean_nearest_l0_latent_distance,mean_nearest_l0_condition_distance,unique_compounds,repeated_compound_fraction,exact_X_duplicate_rate,loading_solvent_counts_json,loading_solvent_PE_count,loading_solvent_EA_count,loading_solvent_DCM_count,eluent_EA_ratio_unique_count,eluent_EA_ratio_values_json,loading_amount_min,loading_amount_q25,loading_amount_median,loading_amount_q75,loading_amount_max,loading_volume_min,loading_volume_q25,loading_volume_median,loading_volume_q75,loading_volume_max,predicted_V1_q50_mean,predicted_V1_q50_std,predicted_V2_q50_mean,predicted_V2_q50_std,mean_ensemble_uncertainty,mean_ensemble_uncertainty_rank,fraction_in_uncertainty_top_25pct
4093,output_whitened_lcmd,output_whitened_gradient,32,265.9573753250059,264.65270954645496,444.6057181023977,316.08406641677254,179.06131019939681,32.9733064546735,0.27166321855955683,28,0.25,0.0,"{""DCM"": 24, ""PE"": 8}",8,0,24,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,62.724999999999994,128.75,160.425,278.59499999999997,200.0,300.0,300.0,400.0,1000.0,15.017374470829964,8.151750604633287,37.954128086566925,14.176089369098142,0.5497093919044138,298.0,0.875
4093,center_width_lcmd,center_width_gradient,32,314.6954573655944,297.2713868495824,345.5101897151001,221.9752398988805,199.0205142840861,34.30574065956557,0.23747703595419017,31,0.0625,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",49.5,58.8125,104.65,135.75,224.4,200.0,300.0,300.0,400.0,1000.0,17.263883993029594,10.203347836006534,42.29578056931496,20.297732171601773,0.6415720939307084,222.71875,0.9375
8191,latent_farthest_first,latent,32,231.194496933673,197.65300453894486,134.91888731698765,35.38064536267237,115.84795125254011,35.38064536267237,0.3912437206945235,23,0.5,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,85.3,124.75,154.65,210.89999999999998,300.0,300.0,300.0,425.0,1500.0,15.668079309165478,10.103699826805464,37.23997952789068,21.5858418385174,0.5257728822182757,450.0,0.75
8191,latent_lcmd,latent,32,186.90283757272252,146.48913002862525,112.43579789141927,29.757243414556363,97.44239420186278,29.757243414556363,0.3402287794918181,26,0.34375,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.3,100.0,133.8,152.175,210.89999999999998,300.0,300.0,300.0,400.0,2000.0,13.00732097029686,7.937680367366591,31.40073497593403,19.135655019286148,0.46471913223856554,593.59375,0.71875
8191,gradient_farthest_first,raw_gradient,32,343.0438964270486,313.15818530088467,343.0438964270486,166.0584019002689,166.0584019002689,27.42449844498309,0.3433045108290623,22,0.53125,0.0,"{""DCM"": 28, ""PE"": 4}",4,0,28,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,100.0,150.0,153.9,224.4,300.0,300.0,350.0,425.0,1500.0,19.894452780485153,8.004423111022906,45.28317445516586,17.36650318867836,0.6783114949874549,320.375,0.84375
8191,raw_gradient_lcmd,raw_gradient,32,252.29035653203437,221.2269741613603,252.29035653203437,134.73087777924815,134.73087777924815,23.851896326273085,0.48177323738928246,27,0.3125,0.0,"{""DCM"": 25, ""EA"": 1, ""PE"": 6}",6,1,25,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,88.34875,115.6,151.08749999999998,224.4,200.0,300.0,300.0,400.0,2000.0,16.45175349712372,7.238315123338275,35.72730201482773,15.922297384625072,0.5950748639727492,515.53125,0.78125
8191,gradient_norm_topB,raw_gradient,32,433.14291898749366,403.9803942001174,433.14291898749366,148.55933020930718,148.55933020930718,23.557668198582476,0.35963136557602204,10,0.9375,0.0,"{""DCM"": 32}",0,0,32,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,74.8,112.35,150.0,224.4,300.0,300.0,400.0,700.0,1000.0,20.25470757484436,5.387866926681344,52.91395002603531,13.389132558705695,0.6913448549916079,267.9375,0.9375
8191,direction_lcmd,direction_gradient,32,77.99785419069258,65.5434213574191,1.0,0.741479950721954,55.64320100639891,15.68959210066774,0.3390725462531359,31,0.0625,0.0,"{""DCM"": 21, ""PE"": 11}",11,0,21,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,59.387499999999996,100.0,151.875,224.4,200.0,300.0,300.0,300.0,1500.0,6.384635463356972,2.166423273436042,13.975615799427032,5.616828117900058,0.20256555930616274,1514.15625,0.28125
8191,tempered_lcmd_alpha_0p5,tempered_gradient_alpha_0p5,32,156.04714860197564,148.8185989322532,12.14231575435188,7.706178001288348,99.68610574651345,22.825462446818648,0.421450447553179,27,0.28125,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",44.4,50.6,99.5,150.0,255.0,200.0,300.0,300.0,400.0,2000.0,10.91263511031866,6.182326876548263,23.835685893893242,11.788028178828059,0.35280101796573166,867.46875,0.625
8191,output_whitened_lcmd,output_whitened_gradient,32,224.04396814295953,203.23685047227403,206.7954798611841,126.12195322353418,124.31827404082432,26.039957894540535,0.3332167258681442,25,0.40625,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",44.4,93.25,120.775,150.0,224.4,200.0,300.0,300.0,400.0,1500.0,15.78208640217781,7.913719446861251,34.6812509894371,16.528014383679636,0.48267605116114576,641.4375,0.78125
8191,center_width_lcmd,center_width_gradient,32,230.43124873340818,206.670600783328,227.6520454458982,131.05577510973137,127.40872155487041,25.36035816864367,0.37547833076108456,28,0.25,0.0,"{""DCM"": 24, ""PE"": 8}",8,0,24,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",40.0,52.50000000000001,110.0,150.0,224.4,200.0,300.0,300.0,400.0,1500.0,14.966837018728256,6.850249225080158,33.91162249445915,15.713848998944727,0.4375304970997426,623.25,0.65625
