outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,coverage,7,11,22f82413c75481d74e9b,CCOC(=O)c1cccnc1
42,coverage,7,12,74701496b6fc5465eea7,CC(=O)CC(=O)OC(C)(C)C
42,coverage,7,13,f4331eb64b6774466836,CSc1ccc(C=O)cc1
42,coverage,7,14,9fb05d784e7952bd4741,c1ccc(-c2ccccn2)cc1
42,coverage,7,15,3f1a96aa336ea0741b5a,CCOC(=O)c1ccc(F)cc1
42,coverage,7,16,786c15055f363ee07a8c,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1
42,coverage,7,17,99d252a2e394a175ecba,CCOC(=O)CC(=O)OCC
42,coverage,7,18,6ce607e4fe208a186dff,COC(=O)[C@H](O)c1ccccc1
42,coverage,7,19,52144e7fa2b21ace65ff,C=CC(=O)OCc1ccccc1
42,coverage,7,20,4e93e36ab850bab3d594,CC(=O)c1ccc2ccccc2c1
42,coverage,7,21,c63dec7fc76d8e529022,C=CC(=O)OCCCCCCCCCCCC
42,coverage,7,22,b1801204c2c4a34a9278,COc1ccc(C=O)c(O)c1
42,coverage,7,23,19732d5797039e3465b6,N#Cc1cccc(N)c1
42,coverage,7,24,dc8da611e77ae1bb11f2,C/C(=N\O)c1ccccc1
42,coverage,7,25,df6457ca86c98c073bf6,O=Cc1ccc([N+](=O)[O-])cc1
42,coverage,8,1,e6e78489d1da4066c07e,COc1ccc(CCO)cc1
42,coverage,8,2,36b45fbdbace5950c108,O=C(OCc1ccccc1)c1ccccc1
42,coverage,8,3,686562279e2bfb73ef1e,CC(=O)Oc1ccc(C=O)cc1
42,coverage,8,4,5b1b0390c90ceb580c5e,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,coverage,8,5,72231b208c5287c32d70,COc1ccc(C=O)c(O)c1
42,coverage,8,6,376ba323d8d487f80cee,COC(=O)CS
42,coverage,8,7,de3442604a546992b1e1,Cc1cc(C)cc(C#N)c1
42,coverage,8,8,6f9d141f9a5e7238a801,Ic1cccs1
42,coverage,8,9,b5aa0bae2967975bdf4b,O=C1c2ccccc2-c2ccccc21
42,coverage,8,10,81507d463506a9e65e73,C=C(C)C(=O)OCCOC(=O)CC(C)=O
42,coverage,8,11,b86ace0ccafe0af8ceec,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,coverage,8,12,912c3bd62a46978c8a22,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,coverage,8,13,48679ae48dd485ffb7a6,COC(=O)C#CC(=O)OC
42,coverage,8,14,7d65ab8e0e7b962da35f,CCOC(=O)C(C(=O)OCC)c1ccccc1
42,coverage,8,15,b149b054ae725437b4e9,Brc1ccc(Br)c2ccccc12
