strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
coverage,525,6,525,468,57,2.3090237377435088,4.586137038037346,0.743222463048989,3.550337533295202,6.996588663909338,0.8666894140919471,0.45397508912907325,417
coverage,525,7,550,493,57,2.133814706560328,4.259614396361791,0.7784847931162885,3.359123756574879,6.732924657877958,0.8765476212974865,0.42820337416377685,417
coverage,525,8,575,518,57,2.0869723840564083,4.1010337015100475,0.7946713036418696,3.3168341195421345,6.501622162915961,0.8848840750476065,0.41280258531663194,417
ensemble,525,0,375,318,57,2.78588517742096,5.846113774760613,0.5827488910062244,5.2099831414318,11.319992916644019,0.6510330777057968,0.6457772944722866,417
ensemble,525,1,400,343,57,2.657972232069996,5.647830150353257,0.610572848171629,4.8794285154228305,10.15802585131826,0.7189972432717605,0.6021396827219285,417
ensemble,525,2,425,368,57,2.750221353695427,5.524183491349773,0.6274374781390242,4.796543079749,9.496138955120019,0.7544239130869778,0.5766794466966394,417
ensemble,525,3,450,393,57,2.5053692006073796,5.450573581803888,0.6373001406711347,4.42801607480855,9.224029724164996,0.7682961017172303,0.564928494621975,417
ensemble,525,4,475,418,57,2.435464432931347,5.09771945243116,0.6827403542150505,4.185515145866704,8.295502747992424,0.8125966387569302,0.5190990593794373,417
ensemble,525,5,500,443,57,2.4131341462207736,5.140690544574539,0.6773691473135195,4.13669189131422,8.47247173668072,0.8045155527954856,0.5264650922680781,417
ensemble,525,6,525,468,57,2.3718337881650857,5.107540944187612,0.681516683630235,3.9092181529129717,8.32394420406464,0.8113093963250736,0.5204472287774844,417
ensemble,525,7,550,493,57,2.3480459593544953,4.974101221569283,0.6979407005024242,3.8498549639543342,8.202243110566727,0.8167866026926194,0.5095254283377069,417
ensemble,525,8,575,518,57,2.3380867968007717,5.040357278683774,0.6898401220576219,3.9285412823610737,8.40891886466987,0.8074372509968679,0.5190339136754769,417
hybrid,525,0,375,318,57,2.78588517742096,5.846113774760613,0.5827488910062244,5.2099831414318,11.319992916644019,0.6510330777057968,0.6457772944722866,417
hybrid,525,1,400,343,57,2.855983831992702,5.906286529352316,0.5741153403373913,5.032453038095114,10.609202592172934,0.6934809728596022,0.6293128038347765,417
