column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,row,2767143051,70,70,scale_only,0.752980155200137,18.10072236036257,9.19859016510493,0.7888360315413045,26.94544566115775,14.389259218851567,2.010734489763799,True,1.986610499073881
25g,row,2767143051,70,70,affine,0.771181883954535,17.42108450800441,8.139946596523876,0.8171375041227485,25.07481773666222,13.461815601386077,1.9132130363910735,True,1.8853054838683905
25g,row,2767143051,70,70,local_identity_shrinkage,0.7714600016427542,17.41049403339443,8.955578936558116,0.7899110104995817,26.876772142401244,17.86195675506142,1.9592136112845442,True,1.9406765560735737
25g,row,2767143051,70,70,target_head_only,0.4091016136223302,27.995381280697952,15.26917314285714,0.2908682373637661,49.37861818891235,28.838172734693874,3.3209058460489347,True,3.312171699395762
25g,row,2767143051,70,70,conditional_EA,0.790043644597779,16.687623675142987,8.17054333187941,0.7924513670141576,26.713783502133005,17.677454981815924,1.9034512716876315,True,1.889738007715568
25g,row,2767143051,70,70,additive_EA_control,0.7825925443020837,16.981154035900442,8.327083173827146,0.7888313456483681,26.94574462971273,17.945901329559195,1.9304901174055806,True,1.9155781241571732
25g,row,2767143051,70,70,conditional_policy,0.790043644597779,16.687623675142987,8.17054333187941,0.7924513670141576,26.713783502133005,17.677454981815924,1.9034512716876315,True,1.889738007715568
25g,row,2767143051,70,70,additive_policy,0.7825925443020837,16.981154035900442,8.327083173827146,0.7888313456483681,26.94574462971273,17.945901329559195,1.9304901174055806,True,1.9155781241571732
25g,row,2767143051,100,100,scale_only,0.7568779339383649,17.957346947164545,9.330870942896937,0.7923950379144421,26.717408342412494,14.781089293343621,1.994428992066194,True,1.9704204285730997
25g,row,2767143051,100,100,affine,0.7730259076370464,17.35074506558008,8.12625136147599,0.8233500595164045,24.645192293402655,13.846163554402686,1.897198843914214,True,1.8674802276133158
25g,row,2767143051,100,100,local_identity_shrinkage,0.7713704271509524,17.41390565364507,9.101463247675056,0.7864210694220781,27.099087494176487,18.151308059690027,1.9653724893508233,True,1.9478073304643593
25g,row,2767143051,100,100,target_head_only,0.41658245846659836,27.817604367303815,15.075968051020407,0.28799737675156467,49.478469832994016,28.7697001122449,3.311737981295762,True,3.3039964640642467
25g,row,2767143051,100,100,conditional_EA,0.7884063708210494,16.75256371830596,8.28136230908172,0.790536112400019,26.836757581691213,17.821514122419153,1.9113750109740626,True,1.89768339822268
25g,row,2767143051,100,100,additive_EA_control,0.7834306419544894,16.948391572406265,8.384042904956448,0.7849564459225858,27.191845119679655,18.269231385946384,1.9348424377051419,True,1.921153237549647
25g,row,2767143051,100,100,conditional_policy,0.7884063708210494,16.75256371830596,8.28136230908172,0.790536112400019,26.836757581691213,17.821514122419153,1.9113750109740626,True,1.89768339822268
25g,row,2767143051,100,100,additive_policy,0.7834306419544894,16.948391572406265,8.384042904956448,0.7849564459225858,27.191845119679655,18.269231385946384,1.9348424377051419,True,1.921153237549647
40g,compound,536279090,30,31,scale_only,0.6541153926923462,39.13564082755851,25.4723675819429,0.7284129201427143,46.693892464130975,29.759748392888547,4.068401415831223,True,3.93557314503289
40g,compound,536279090,30,31,affine,0.6633456842893182,38.60992207015442,22.492079731147992,0.7360923832556681,46.028994557864856,25.043805709000047,4.012913922438302,True,3.8815347374947047
40g,compound,536279090,30,31,local_identity_shrinkage,0.6613900560337652,38.72190239186941,23.175315333664816,0.7481002469639366,44.969638551824076,23.647520290326568,3.9983397206699642,True,3.8556930692041087
40g,compound,536279090,30,31,target_head_only,-0.25234088205386485,74.46772923800431,50.73313746666666,-0.37061276713316293,104.89696249489153,75.27898671428571,8.120596197723296,True,7.9877438244983905
40g,compound,536279090,30,31,conditional_EA,0.6772797706255885,37.80244817737667,21.81650961987024,0.7340120867466526,46.21005412476273,28.765969455309126,3.9546064153565097,True,3.83592805135621
40g,compound,536279090,30,31,additive_EA_control,0.6819250322226824,37.52939625451854,22.248460888880654,0.7391302663711574,45.76330415561099,28.713683530502934,3.923490352437415,True,3.804707176841185
40g,compound,536279090,30,31,conditional_policy,0.6613900598896085,38.72190217140101,23.175315404876446,0.748100249503394,44.96963832514961,23.647520516622777,3.998339698543837,True,3.8556930481645257
40g,compound,536279090,30,31,additive_policy,0.6613900598896085,38.72190217140101,23.175315404876446,0.748100249503394,44.96963832514961,23.647520516622777,3.998339698543837,True,3.8556930481645257
40g,compound,536279090,50,52,scale_only,0.6440430127833894,39.70137910335186,24.45491341597356,0.7279003382246728,46.737935727167624,29.564628202244144,4.113273838145829,True,3.972841598862444
40g,compound,536279090,50,52,affine,0.6499396933366957,39.37116504981953,21.508617713985455,0.7486692903946686,44.91881645839911,23.573409244848342,4.047986031154312,True,3.8953110889387634
40g,compound,536279090,50,52,local_identity_shrinkage,0.6499396917173148,39.37116514088514,21.508617886723698,0.7486692907045214,44.918816430710045,23.57340922955645,4.047986037692519,True,3.8953110938561224
40g,compound,536279090,50,52,target_head_only,-0.25872944362918693,74.65742858355262,51.07837063333333,-0.3714451773811138,104.92881104290461,75.21355266666669,8.135405352622055,True,8.000771636412207
40g,compound,536279090,50,52,conditional_EA,0.6737850552281708,38.00657710994878,19.36573535326628,0.7466138420300714,45.10212136509101,25.01739325907661,3.945606778250066,True,3.8144228300085032
40g,compound,536279090,50,52,additive_EA_control,0.6804681522166961,37.615246081712826,19.524165745650354,0.750289412260555,44.773805101049696,23.996941991835488,3.9079937881155287,True,3.77938005100215
40g,compound,536279090,50,52,conditional_policy,0.6499396961451498,39.371164891886586,21.50861784489932,0.7486692933610881,44.91881619331401,23.573409487112226,4.047986013093745,True,3.895311070672718
40g,compound,536279090,50,52,additive_policy,0.6499396961451498,39.371164891886586,21.50861784489932,0.7486692933610881,44.91881619331401,23.573409487112226,4.047986013093745,True,3.895311070672718
40g,compound,536279090,70,72,scale_only,0.6542097594876056,39.13030182597141,25.739345347781946,0.726910502669925,46.822869448120294,30.93752885438997,4.070854824444826,True,3.939245710329228
40g,compound,536279090,70,72,affine,0.6633435972737907,38.61004174689438,22.252320249893565,0.7499606133808041,44.80327268236537,24.220279448701497,3.985996239909868,True,3.8434208141827746
40g,compound,536279090,70,72,local_identity_shrinkage,0.6633435976305425,38.61004172643701,22.25232023535286,0.7499606134555483,44.80327267566885,24.220279480831177,3.9859962381684895,True,3.843420812676391
40g,compound,536279090,70,72,target_head_only,-0.2500642858031419,74.4000120241632,50.3825623047619,-0.36869454544269775,104.82353326492313,74.94578138095238,8.113760518605021,True,7.981163118114985
