column,protocol,seed,method,normalized_aulc,actual_budget_aulc
40g,row,536279090,target_head_only,6.775436141210098,6.775436141210098
40g,row,769539383,additive_EA_control,2.6894511315577327,2.6894511315577327
40g,row,769539383,additive_policy,2.6894511315577327,2.6894511315577327
40g,row,769539383,affine,2.669258602805028,2.669258602805028
40g,row,769539383,conditional_EA,2.5267598900733317,2.5267598900733317
40g,row,769539383,conditional_policy,2.5267598900733317,2.5267598900733317
40g,row,769539383,local_identity_shrinkage,2.669258614764504,2.669258614764504
40g,row,769539383,scale_only,3.1180657745714058,3.1180657745714058
40g,row,769539383,target_head_only,8.442559110683485,8.442559110683485
40g,row,1362771960,additive_EA_control,4.148615718231762,4.148615718231762
40g,row,1362771960,additive_policy,4.148615718231762,4.148615718231762
40g,row,1362771960,affine,4.517427002172536,4.517427002172536
40g,row,1362771960,conditional_EA,3.9176793703109656,3.9176793703109656
40g,row,1362771960,conditional_policy,3.9176793703109656,3.9176793703109656
40g,row,1362771960,local_identity_shrinkage,4.253063982190416,4.253063982190416
40g,row,1362771960,scale_only,4.588244089360969,4.588244089360969
40g,row,1362771960,target_head_only,9.463065169217405,9.463065169217405
40g,row,1425370602,additive_EA_control,2.6675540770670474,2.6675540770670474
40g,row,1425370602,additive_policy,2.765386498453048,2.765386498453048
40g,row,1425370602,affine,2.7330346087179813,2.7330346087179813
40g,row,1425370602,conditional_EA,2.63213847987724,2.63213847987724
40g,row,1425370602,conditional_policy,2.7990634590177113,2.7990634590177113
