column,protocol,seed,target,dimension,level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
8g,row,536279090,V2,amount_density_ul,95.39999999999999,1,1,1,1.2223450648605814,1.2223450648605814,1.2223450648605814,1.2223450648605814,,40.09848350618819,40.09848350618819,-40.09848350618819,-40.09848350618819,,2.494228201251647,1607.8883794960461,41.01976534427355,41.01976534427355,-41.01976534427355,-41.01976534427355,,2.5515342871912523,1682.6211488992656
8g,row,536279090,V2,amount_density_ul,96.2,2,1,2,1.8027698947770454,1.7829214066679495,1.8226183828861413,1.8027698947770454,0.05614000215296937,0.6950330285686259,0.6350224248800593,-0.28251978815779566,-0.28251978815779566,0.9856811604652479,0.043232831495726654,0.9661418216025527,1.212463167404502,1.1807270767888092,-1.1807270767888092,-1.1807270767888092,0.9564253362426368,0.07541830914010758,2.940133864625116
8g,row,536279090,V2,amount_density_ul,97.5,4,2,4,1.583751659117322,1.4909384540731931,1.728643453073299,1.63583024802917,0.24598904327543722,4.678899482884396,3.9270026952873773,-3.1295700668092095,-3.457425266451117,0.3990404638043118,0.2910395112381495,87.56840148374349,5.107918494676508,4.3437785685077195,-3.941322641392007,-4.359315895585648,0.28378119776823607,0.31772559072342127,104.36332539303329
8g,row,536279090,V2,amount_density_ul,99.5,3,2,3,2.1587788775329075,2.1371613386564423,2.234931933056812,2.1951358886312007,0.10271544830940808,4.220532359615417,4.211755468860628,4.211755468860628,4.249156931392198,0.3915922236072584,0.2625279041793029,53.43868019568263,3.8348609141464207,3.821268402386187,3.821268402386187,4.030261622547538,0.4977042287114981,0.23853815415402316,44.118474692543764
8g,row,536279090,V2,amount_density_ul,99.6,2,2,2,2.2229749818192976,2.000593938496325,2.4453560251422704,2.2229749818192976,0.6289885749640535,4.531540223094398,3.515888008413958,2.8589138332264152,2.8589138332264152,0.5368084670501407,0.28187338849869326,41.069713587044845,4.249143948486327,3.389588082589497,2.562404520235872,2.562404520235872,0.5927399395561803,0.26430761816358433,36.11044858991594
8g,row,536279090,V2,amount_density_ul,100.1,1,1,1,1.4508719355145203,1.4508719355145203,1.4508719355145203,1.4508719355145203,,7.649606934724272,7.649606934724272,-7.649606934724272,-7.649606934724272,,0.47582511049663384,58.516486255781665,7.5587696173717696,7.5587696173717696,-7.5587696173717696,-7.5587696173717696,,0.4701747970968343,57.134998128502566
8g,row,536279090,V2,amount_density_ul,100.4,2,1,2,2.230718744906243,2.1748417951264853,2.286595694686001,2.230718744906243,0.15804388040514783,4.580125798147858,4.5663288595929625,4.5663288595929625,4.5663288595929625,0.518421663754372,0.2848955354946929,41.955104653719104,4.7493816630796495,4.728728322220686,4.728728322220686,4.728728322220686,0.482171116124949,0.2954236830610457,45.113252363194434
8g,row,536279090,V2,amount_density_ul,101.2,2,1,2,1.647467956753609,1.6391313137253734,1.655804599781845,1.647467956753609,0.02357958727038814,2.301235100313166,2.144852289653283,-2.144852289653283,-2.144852289653283,0.8537115372588604,0.14314270723044842,10.591365973826695,2.81576581794814,2.754981216866991,-2.754981216866991,-2.754981216866991,0.7809813175966223,0.17514783346264987,15.85707428305032
8g,row,536279090,V2,amount_density_ul,101.89999999999999,2,1,2,1.5122580424557797,1.5000352030120698,1.5244808818994895,1.5122580424557797,0.034571410624006836,1.627940347692766,1.6236146528121012,-1.6236146528121012,-1.6236146528121012,0.14686310728159058,0.10126205208094914,5.300379551292089,2.989478934095216,2.9810781965164797,-2.9810781965164797,-2.9810781965164797,-1.8769528445930326,0.18595323345126724,17.873968594798136
8g,row,536279090,V2,amount_density_ul,102.2,1,1,1,1.9680069740235013,1.9680069740235013,1.9680069740235013,1.9680069740235013,,2.983546361191088,2.983546361191088,2.983546361191088,2.983546361191088,,0.18558421224773036,8.901548889376583,1.5019799457449103,1.5019799457449103,1.5019799457449103,1.5019799457449103,,0.0934269930136692,2.255943757419884
