column,protocol,seed,target,rows,tail_rows,tail_row_fraction,tail_sse_fraction,tail_rmse,rest_rmse,tail_signed_mean,rest_signed_mean
8g,compound,1362771960,V2,90,9,0.1,0.38350319389277987,15.543757600792281,6.569248387875548,-3.0885358247073182,-0.038942833510237244
8g,compound,1425370602,V1,90,9,0.1,0.31101319876069794,14.665976448720848,7.276219128819924,-8.001821935976162,0.9218565104146896
8g,compound,1425370602,V2,90,9,0.1,0.3841912875652629,29.853725994890784,12.598720642281867,-17.859388988201317,2.6138310392480206
8g,compound,2767143051,V1,91,10,0.10989010989010989,0.3899898290865989,12.83857665161668,5.64178155495729,0.47445399474782735,-1.4934942198375851
8g,compound,2767143051,V2,91,10,0.10989010989010989,0.7067411090304515,25.719771874215343,5.8213005186905935,-2.438028218921166,-0.2370589426867219
8g,row,536279090,V1,92,10,0.10869565217391304,0.8668045080295702,26.829749853257894,3.672771247349312,6.033325015158942,-2.115683253037317
8g,row,536279090,V2,92,10,0.10869565217391304,0.8591216532991768,37.86137343208947,5.354072262429115,5.361854982956853,-0.28714165541302833
8g,row,769539383,V1,92,10,0.10869565217391304,0.7757538119672859,23.709842629462116,4.45166341754398,0.4743404322521023,-1.6526189599733088
8g,row,769539383,V2,92,10,0.10869565217391304,0.7477802741377326,32.29079241002577,6.54898957068376,1.3329527484104573,-2.580881045397492
8g,row,1362771960,V1,92,10,0.10869565217391304,0.8132811328777942,29.402463291267576,4.919835064239944,7.703471058333351,-2.079589566602761
8g,row,1362771960,V2,92,10,0.10869565217391304,0.8550754683360009,43.548111931731874,6.260818785469881,12.006451749937108,-2.6067857564709764
8g,row,1425370602,V1,92,10,0.10869565217391304,0.36055466255197,10.402435153496352,4.83775917730697,4.00142448499705,-2.0124820481357903
8g,row,1425370602,V2,92,10,0.10869565217391304,0.8032281276440522,27.770273542761128,4.7999342275357835,0.06078726635894327,-2.2053858367977863
8g,row,2767143051,V1,92,10,0.10869565217391304,0.5750536711991046,19.102952279147914,5.734643374605291,1.9738275610649132,-0.9738807375313777
8g,row,2767143051,V2,92,10,0.10869565217391304,0.32344428279077947,22.576428578324222,11.402507312284005,-1.2515513315569258,1.3169503561539249
