column,protocol,method,reference,relative_gain,mean_delta,median_delta,std_delta,wins,seeds,material
25g,row,conditional_EA,additive_policy,0.018566200403013156,-0.0362299053183905,-0.03169330119875524,0.018196128084485782,5,5,False
25g,row,additive_EA_control,scale_only,0.04649250179433606,-0.0944876624179957,-0.10552798297993338,0.055652900876308205,5,5,False
25g,row,additive_EA_control,affine,0.013941513602129696,-0.027398295957370245,-0.04250203877776615,0.04851987968628989,4,5,False
25g,row,additive_EA_control,local_identity_shrinkage,0.01878689181256432,-0.037102903261551565,-0.026654092914712324,0.018831139281899726,5,5,False
25g,row,additive_EA_control,target_head_only,0.423372693669938,-1.4228002739862968,-1.4174846012969315,0.13843509407918334,5,5,True
25g,row,additive_EA_control,additive_policy,0.00694766753279874,-0.013557611758629306,0.0,0.030315741504845596,1,5,False
25g,row,conditional_policy,scale_only,0.05242950775219035,-0.10655356106980154,-0.08514626658101543,0.054982771667425295,5,5,True
25g,row,conditional_policy,affine,0.020081197998480627,-0.03946419460917609,-0.03781256444823966,0.05611829423108994,3,5,False
25g,row,conditional_policy,local_identity_shrinkage,0.024896406504578805,-0.049168801913357416,-0.050123932241679325,0.03599448742918644,4,5,False
25g,row,conditional_policy,target_head_only,0.4269630584647459,-1.4348661726381027,-1.4491779024956868,0.14188699766040522,5,5,True
25g,row,conditional_policy,additive_policy,0.01313089904950282,-0.025623510410435157,-0.023469839326967,0.021167278719817943,4,5,False
25g,row,additive_policy,scale_only,0.03982150080982105,-0.08093005065936638,-0.05804687597402047,0.054348911566208975,5,5,False
25g,row,additive_policy,affine,0.007042776942031814,-0.013840684198740938,-0.022054485149272773,0.04363772713434074,3,5,False
25g,row,additive_policy,local_identity_shrinkage,0.011922054752493638,-0.023545291502922262,-0.0265158506863441,0.015284390316376713,4,5,False
25g,row,additive_policy,target_head_only,0.4193384502733576,-1.4092426622276677,-1.4174846012969315,0.12916064015686912,5,5,True
40g,compound,conditional_EA,scale_only,0.04542265634744236,-0.16046317211608044,-0.12476925540499906,0.07355717900576955,5,5,False
40g,compound,conditional_EA,affine,0.009492615971584684,-0.03231782771661242,0.0006024839738207888,0.119994789131963,2,5,False
40g,compound,conditional_EA,local_identity_shrinkage,0.00949261675319979,-0.032317830403141644,0.0006024872304415396,0.11999478264581882,2,5,False
40g,compound,conditional_EA,target_head_only,0.5620544465688637,-4.327850338885386,-4.123706695396879,0.49137655302195965,5,5,True
40g,compound,conditional_EA,additive_policy,0.00949261344993424,-0.03231781904932154,0.0006025041844939238,0.11999477911433896,2,5,False
40g,compound,additive_EA_control,scale_only,0.0368405414426628,-0.13014540799079571,-0.11851165089966686,0.06577723666137766,5,5,False
40g,compound,additive_EA_control,affine,0.0005874725169560113,-0.0020000635913277167,-0.02344574670158872,0.1146767422642716,3,5,False
40g,compound,additive_EA_control,local_identity_shrinkage,0.0005874733055982739,-0.002000066277856938,-0.02344574344496797,0.11467673494774185,3,5,False
40g,compound,additive_EA_control,target_head_only,0.558117102898835,-4.297532574760102,-4.147754926072288,0.5005988058019778,5,5,True
40g,compound,additive_EA_control,additive_policy,0.0005874699726347021,-0.0020000549240368317,-0.023445726490915586,0.11467672555653863,3,5,False
40g,compound,conditional_policy,scale_only,0.03627438157998231,-0.1281453530667589,-0.11418474422792091,0.06904619022273627,5,5,False
40g,compound,conditional_policy,affine,2.5458168906311585e-09,-8.667290885000511e-09,-2.021067313506819e-08,3.34969512850752e-08,4,5,False
40g,compound,conditional_policy,local_identity_shrinkage,3.3349227823720184e-09,-1.1353820106307921e-08,-1.695405238422154e-08,3.149709362606308e-08,4,5,False
40g,compound,conditional_policy,target_head_only,0.5578573573726702,-4.295532519836065,-4.124309199581373,0.5753536993709975,5,5,True
