column,protocol,seed,budget,target,feature,ratio_spearman,scale_residual_spearman,ratio_partial_source_rho,ratio_partial_source_compound_rho,common_source_bins,relative_standardized_contrast
40g,compound,536279090,100,V1,amount_density_ul,0.16198647966835836,0.18575757803015822,0.31859978856442833,,4.0,0.06406269304256455
40g,compound,536279090,100,V1,loading_volume_ul,0.19623263361000878,0.24274188462143825,0.2710945150203251,,1.0,
40g,compound,536279090,100,V1,MolWt,-0.23626373626373626,-0.23626373626373626,,,,
40g,compound,536279090,100,V1,MolLogP,-0.14835164835164835,-0.08241758241758242,,,,
40g,compound,536279090,100,V1,TPSA,-0.045887675386593066,0.0028679797116620666,,,,
40g,compound,536279090,100,V1,HBD,0.0,0.2849014411490949,,,,
40g,compound,536279090,100,V1,HBA,-0.15511052207788506,-0.13686222536283973,,,,
40g,compound,536279090,100,V1,RotatableBonds,0.02645320256957597,0.02645320256957597,,,,
40g,compound,536279090,100,V1,RingCount,0.3112658781274409,0.16239958858823,,,,
40g,compound,536279090,100,V2,source,0.5266691785248953,0.36363636376032926,,,,
40g,compound,536279090,100,V2,EA_fraction,-0.6153885336046202,-0.4583545088411319,-0.41683915577157465,-0.4345482978076434,3.0,-0.24276133827643942
40g,compound,536279090,100,V2,solvent_DCM,-0.15162837462847067,-0.19401910301922592,-0.2286003228082795,,0.0,
40g,compound,536279090,100,V2,loading_ul,,,,,0.0,
40g,compound,536279090,100,V2,amount_density_ul,-0.048118874283101506,-0.0374316161349325,0.034439218508867525,,3.0,0.019888436356429232
40g,compound,536279090,100,V2,loading_volume_ul,0.058760368582162194,0.06760612542580478,0.01016341471147448,,2.0,0.05113244408448463
40g,compound,536279090,100,V2,MolWt,-0.14285714285714285,-0.34615384615384615,,,,
40g,compound,536279090,100,V2,MolLogP,-0.0934065934065934,-0.1868131868131868,,,,
40g,compound,536279090,100,V2,TPSA,0.18641868125803432,0.26385413347291015,,,,
40g,compound,536279090,100,V2,HBD,0.0,0.2849014411490949,,,,
40g,compound,536279090,100,V2,HBA,0.12165531143363531,0.15511052207788506,,,,
40g,compound,536279090,100,V2,RotatableBonds,0.4996716040919905,0.35270936759434623,,,,
40g,compound,536279090,100,V2,RingCount,0.34509912574998886,0.14886628953921086,,,,
40g,compound,769539383,100,V1,source,0.5742251993018538,0.32326996556441345,,,,
40g,compound,769539383,100,V1,EA_fraction,-0.7817984097108059,-0.6221401209793034,-0.6560976496687927,-0.8090544717259647,2.0,-0.3404097718956342
40g,compound,769539383,100,V1,solvent_DCM,0.10042381752948691,0.0005046422991431503,0.05107971440324942,,3.0,0.1666590884435494
40g,compound,769539383,100,V1,loading_ul,,,,,0.0,
40g,compound,769539383,100,V1,amount_density_ul,-0.1445381597306034,-0.20059708720501057,-0.22928926899335403,,4.0,-0.3810748153295894
40g,compound,769539383,100,V1,loading_volume_ul,-0.13080179727067326,-0.2652163168055244,-0.21766413254985692,,3.0,-0.16003182023587983
40g,compound,769539383,100,V1,MolWt,-0.48901098901098894,-0.5054945054945055,,,,
40g,compound,769539383,100,V1,MolLogP,-0.08241758241758242,-0.13186813186813187,,,,
40g,compound,769539383,100,V1,TPSA,0.23807595834800255,0.21256781995357368,,,,
40g,compound,769539383,100,V1,HBD,-0.3086066999241838,-0.3086066999241838,,,,
40g,compound,769539383,100,V1,HBA,0.03631365196012814,-0.01815682598006407,,,,
40g,compound,769539383,100,V1,RotatableBonds,0.14981613860346238,0.032959550492761724,,,,
40g,compound,769539383,100,V1,RingCount,0.56246261330349,0.35014228907634476,,,,
40g,compound,769539383,100,V2,source,0.2221897259304684,0.00693428935327138,,,,
40g,compound,769539383,100,V2,EA_fraction,-0.24342002067125182,-0.09451557141482751,-0.13442503641240627,-0.1875961727075968,2.0,0.0038381137562726727
40g,compound,769539383,100,V2,solvent_DCM,-0.1014331021277732,-0.1145538019054951,-0.15872964409835863,,3.0,-0.03255428388016022
40g,compound,769539383,100,V2,loading_ul,,,,,0.0,
40g,compound,769539383,100,V2,amount_density_ul,-0.2805596019178297,-0.2044769251969935,-0.2665713421696876,,4.0,-0.20953149096469637
40g,compound,769539383,100,V2,loading_volume_ul,-0.38990836318824984,-0.5117713292685125,-0.5189763777547148,,3.0,-0.4314719253314742
40g,compound,769539383,100,V2,MolWt,-0.6703296703296703,-0.48901098901098894,,,,
40g,compound,769539383,100,V2,MolLogP,-0.34065934065934067,-0.3021978021978022,,,,
40g,compound,769539383,100,V2,TPSA,0.21540205755295466,0.1983966319566688,,,,
40g,compound,769539383,100,V2,HBD,-0.4629100498862757,-0.4629100498862757,,,,
40g,compound,769539383,100,V2,HBA,0.11499323120707246,0.10894095588038444,,,,
40g,compound,769539383,100,V2,RotatableBonds,0.017977936632415484,0.0029963227720692476,,,,
40g,compound,769539383,100,V2,RingCount,-0.003724917968897285,-0.08194819531574027,,,,
40g,compound,1362771960,100,V1,source,0.38505266927277604,-0.016860135477902775,,,,
40g,compound,1362771960,100,V1,EA_fraction,-0.6345433039297435,-0.4350539916078869,-0.5534235602189675,-0.6102006039549842,3.0,-0.37090456122355536
40g,compound,1362771960,100,V1,solvent_DCM,0.11842111328919892,-0.013663974610292185,0.04752199220323419,,0.0,
40g,compound,1362771960,100,V1,loading_ul,,,,,0.0,
40g,compound,1362771960,100,V1,amount_density_ul,-0.09678279575021001,0.017035327516533645,0.06794382639275104,,3.0,0.0002147565979101865
40g,compound,1362771960,100,V1,loading_volume_ul,0.007558368721965329,-0.07483651323424412,-0.0966193300677063,,3.0,-0.4617664098705996
40g,compound,1362771960,100,V1,MolWt,-0.4357142857142856,-0.5,,,,
40g,compound,1362771960,100,V1,MolLogP,-0.3571428571428571,0.07857142857142857,,,,
40g,compound,1362771960,100,V1,TPSA,0.4185071659821808,-0.12665348444197577,,,,
40g,compound,1362771960,100,V1,HBD,0.22696032475080088,0.2723523897009611,,,,
40g,compound,1362771960,100,V1,HBA,0.39256794194266026,-0.1831983729065748,,,,
40g,compound,1362771960,100,V1,RotatableBonds,0.22837002976308426,-0.26490923452517773,,,,
40g,compound,1362771960,100,V1,RingCount,0.02061965247105806,0.21856831619321546,,,,
40g,compound,1362771960,100,V2,source,0.3170451493539434,0.0486705857778043,,,,
40g,compound,1362771960,100,V2,EA_fraction,-0.34950038770351183,-0.2634565268782353,-0.23098292372183699,-0.06720810149721501,3.0,-0.09775770571693279
40g,compound,1362771960,100,V2,solvent_DCM,-0.03947370442973298,-0.1518219401143576,-0.17813080550203392,,0.0,
40g,compound,1362771960,100,V2,loading_ul,,,,,0.0,
40g,compound,1362771960,100,V2,amount_density_ul,-0.41241495926659955,-0.33630937184967125,-0.3714770116270851,,4.0,-0.14386843153907464
40g,compound,1362771960,100,V2,loading_volume_ul,-0.14882839500672135,-0.26654619783836186,-0.32025300133418494,,3.0,-0.2742309799081208
40g,compound,1362771960,100,V2,MolWt,-0.557142857142857,-0.6428571428571428,,,,
40g,compound,1362771960,100,V2,MolLogP,-0.5499999999999999,-0.3428571428571428,,,,
40g,compound,1362771960,100,V2,TPSA,0.5543384391518359,0.2624847576116309,,,,
40g,compound,1362771960,100,V2,HBD,0.4085285845514416,0.4085285845514416,,,,
40g,compound,1362771960,100,V2,HBA,0.46734278802697654,0.17011277484181947,,,,
40g,compound,1362771960,100,V2,RotatableBonds,0.38914253071629556,0.17356122261994403,,,,
40g,compound,1362771960,100,V2,RingCount,-0.31754264805429416,-0.20619652471058061,,,,
40g,compound,1425370602,100,V1,source,0.4583326911517655,0.06451612903225806,,,,
40g,compound,1425370602,100,V1,EA_fraction,-0.6722697862751466,-0.43476843842533375,-0.5768216980930314,-0.7757798220575601,3.0,-0.4657687950549772
40g,compound,1425370602,100,V1,solvent_DCM,-0.10946276939117948,-0.0218925538782359,-0.085953078175024,,0.0,
40g,compound,1425370602,100,V1,loading_ul,,,,,0.0,
40g,compound,1425370602,100,V1,amount_density_ul,0.04326612462205432,0.20580956227555672,0.2187582130944927,,4.0,0.06208857997908908
40g,compound,1425370602,100,V1,loading_volume_ul,,,,,0.0,
40g,compound,1425370602,100,V1,MolWt,-0.1464285714285714,0.05714285714285713,,,,
40g,compound,1425370602,100,V1,MolLogP,-0.1857142857142857,0.035714285714285705,,,,
40g,compound,1425370602,100,V1,TPSA,0.12298236895090402,-0.21292469848216217,,,,
40g,compound,1425370602,100,V1,HBD,0.18557687223952254,0.06185895741317418,,,,
40g,compound,1425370602,100,V1,HBA,0.04999260519111536,-0.17689691067625438,,,,
40g,compound,1425370602,100,V1,RotatableBonds,0.3913431657764652,0.1377968893579103,,,,
40g,compound,1425370602,100,V1,RingCount,-0.19287918745261487,0.11572751247156893,,,,
40g,compound,1425370602,100,V2,source,0.5348088097036203,0.21309125656951744,,,,
40g,compound,1425370602,100,V2,EA_fraction,-0.555229633262831,-0.3484397337798561,-0.35235435286187733,-0.46738645878449925,3.0,-0.16387911291527332
40g,compound,1425370602,100,V2,solvent_DCM,-0.12098516616919837,-0.11637620745799081,-0.0917103005985977,,0.0,
40g,compound,1425370602,100,V2,loading_ul,,,,,0.0,
40g,compound,1425370602,100,V2,amount_density_ul,0.005716288559243027,0.1923531100185279,0.16706867222317143,,4.0,0.0005605697150396643
40g,compound,1425370602,100,V2,loading_volume_ul,,,,,0.0,
40g,compound,1425370602,100,V2,MolWt,-0.13928571428571426,0.18928571428571428,,,,
40g,compound,1425370602,100,V2,MolLogP,-0.2785714285714285,0.21428571428571427,,,,
40g,compound,1425370602,100,V2,TPSA,0.2936892392857409,-0.22393804495537745,,,,
40g,compound,1425370602,100,V2,HBD,0.24743582965269673,0.12371791482634836,,,,
40g,compound,1425370602,100,V2,HBA,0.22496672336001913,-0.1672829481395014,,,,
40g,compound,1425370602,100,V2,RotatableBonds,0.48688234239794964,0.35827191233056677,,,,
40g,compound,1425370602,100,V2,RingCount,-0.3086066999241838,-0.11572751247156893,,,,
40g,compound,2767143051,100,V1,source,0.520382842963488,0.2717661020606322,,,,
40g,compound,2767143051,100,V1,EA_fraction,-0.6605798881398374,-0.4425620457844188,-0.49043308992788764,-0.6368077040915914,3.0,-0.42747411911957206
