canonical_smiles,source_smiles,status,conformer_policy,force_field,embedded_conformers,selected_conformer_id,selected_energy,first_conformer_id,first_energy,first_is_minimum,minimum_conformer_id,minimum_energy,energy_range,selected_is_minimum,nonconverged_conformers,rdkit_seed,mean_abs_bond_length_delta,max_abs_bond_length_delta,mean_abs_bond_angle_delta,max_abs_bond_angle_delta,geometry_changed,descriptor_changed,error,seconds
O=C(O)/C=C/c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)O,success,lowest_energy,MMFF94,10,3,-11.63221878876865,0,-11.092570323302809,False,3,-11.63221878876865,0.5396484654658416,True,0,78,0.0004233157995975379,0.0025597810745239258,0.007603035024974657,0.07084834575653076,True,False,,0.091
C(=C/c1ccccc1)\c1ccccc1,C1=CC=C(C=C1)/C=C/C2=CC=CC=C2,success,lowest_energy,MMFF94,10,7,38.74096295860364,0,38.740962961273326,False,7,38.74096295860364,1.1890299867157879,True,0,79,1.7881393432617188e-07,5.960464477539062e-07,3.7134639800540986e-06,4.4345855712890625e-05,True,False,,0.1288
BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Br)C3=CC=CC=C3,success,lowest_energy,MMFF94,10,3,83.86586853718502,0,83.86586869985969,False,3,83.86586853718502,1.6267466662611696e-07,True,0,80,0.00029515508395522387,0.002543926239013672,0.0009072754118177625,0.017144083976745605,True,False,,0.2315
O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3,success,lowest_energy,MMFF94,10,7,116.17740702275918,0,116.93395705689726,False,7,116.17740702275918,2.092706580454987,True,1,81,0.0005328927721296038,0.0034542083740234375,0.004298857771433317,0.06507289409637451,True,False,,0.2336
N#Cc1ccc(C(=O)c2ccccc2)cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C#N,success,lowest_energy,MMFF94,10,5,84.45553672023716,0,84.45553672275148,False,5,84.45553672023716,1.322360674294032e-07,True,0,82,0.00020809173583984374,0.001220107078552246,0.0018697722547062455,0.05894362926483154,True,False,,0.1295
O=C(c1ccccc1)c1ccc(Cl)cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,success,lowest_energy,MMFF94,10,4,69.06086745918202,0,69.06086746402192,False,4,69.06086745918202,1.328023500946074e-06,True,0,83,2.130549004737367e-07,7.152557373046875e-07,2.356543057206748e-06,2.2411346435546875e-05,True,False,,0.1155
O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)[N+](=O)[O-],success,lowest_energy,MMFF94,10,4,104.74462747396632,0,104.74462756718684,False,4,104.74462747396632,6.843161060032799e-07,True,0,84,0.0001879863019259471,0.0010644197463989258,0.0016594315186525003,0.05719804763793945,True,False,,0.136
O=C(CC(=O)C(F)(F)F)c1ccccc1,C1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)F,success,lowest_energy,MMFF94,10,5,53.732845311077014,0,55.33329784527136,False,5,53.732845311077014,1.6004525741267273,True,0,85,0.0012477556864420572,0.007521629333496094,0.0025899961139216566,0.031050920486450195,True,False,,0.1202
O=C(CC(=O)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,9,60.717321940310676,0,62.93825640697283,False,9,60.717321940310676,2.292608718216343,True,3,86,0.0009513261183252875,0.003164052963256836,0.0037132811236691163,0.08381432294845581,True,False,,0.1669
O=C(CCCl)c1ccccc1,C1=CC=C(C=C1)C(=O)CCCl,success,lowest_energy,MMFF94,10,2,26.264857706137953,0,31.67544408992693,False,2,26.264857706137953,5.410586383788978,True,0,87,0.0010193477977405894,0.003250718116760254,0.006361868070519488,0.07455277442932129,True,False,,0.0888
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,C1=CC=C(C=C1)C2=CC(=CC(=C2)Br)C3=CC=CC=C3,success,lowest_energy,MMFF94,10,6,54.261049842583134,0,54.26104986045699,False,6,54.261049842583134,0.10563165119243934,True,0,88,4.549495509413422e-06,3.314018249511719e-05,9.138505537431318e-06,0.00012373924255371094,True,False,,0.1806
O=Cc1ccc(-c2ccccc2)cc1,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,success,lowest_energy,MMFF94,10,3,53.78765912181406,0,53.78765917815833,False,3,53.78765912181406,5.63442696943639e-08,True,0,89,0.00014970519325949928,0.0008627176284790039,0.0006260797381401062,0.014506340026855469,True,False,,0.1172
c1ccc(-c2ccccc2)cc1,C1=CC=C(C=C1)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,1,39.329228091392274,0,39.32922810778448,False,1,39.329228091392274,2.121834796753319e-08,True,0,90,2.5724109850431744e-07,1.0728836059570312e-06,4.560297185724432e-06,6.699562072753906e-05,True,False,,0.1006
Brc1ccccc1-c1ccccc1,C1=CC=C(C=C1)C2=CC=CC=C2Br,success,lowest_energy,MMFF94,10,9,46.1980175085925,0,46.198017515901334,False,9,46.1980175085925,6.552654951974546e-08,True,0,91,3.430901504144436e-07,2.384185791015625e-06,3.376603126525879e-06,4.458427429199219e-05,True,False,,0.1099
c1ccc(-c2ccccn2)cc1,C1=CC=C(C=C1)C2=CC=CC=N2,success,lowest_energy,MMFF94,10,3,42.872013535930265,0,42.87201359311889,False,3,42.872013535930265,3.963187111821753e-07,True,0,92,2.509669253700658e-07,1.5497207641601562e-06,3.594701940363104e-06,3.361701965332031e-05,True,False,,0.1004
O=C(Cc1ccccc1)c1ccccc1,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,2,67.03486035351094,0,68.35691422142793,False,2,67.03486035351094,1.3221144572111854,True,0,93,0.0005526187572073429,0.003423929214477539,0.0019654105691348806,0.04558628797531128,True,False,,0.1396
c1ccc(Cc2ccccc2)cc1,C1=CC=C(C=C1)CC2=CC=CC=C2,success,lowest_energy,MMFF94,10,8,46.145242725335386,0,46.14524274657118,False,8,46.145242725335386,0.13183276437663238,True,0,94,0.00018543731875535918,0.0004545450210571289,0.00016392893710378873,0.0011535882949829102,True,False,,0.1402
O=CCCc1ccccc1,C1=CC=C(C=C1)CCC=O,success,lowest_energy,MMFF94,10,4,16.07664359028481,0,17.23995326892954,False,4,16.07664359028481,1.1633096814816248,True,0,95,0.000504159927368164,0.003676176071166992,0.0018965776373700398,0.0445249080657959,True,False,,0.086
BrCCCc1ccccc1,C1=CC=C(C=C1)CCCBr,success,lowest_energy,MMFF94,10,1,17.499755305470327,0,17.499755308183055,False,1,17.499755305470327,2.6689025388883536,True,0,96,1.430511474609375e-07,7.152557373046875e-07,3.2942469527081744e-06,3.4809112548828125e-05,True,False,,0.0921
ClCCCc1ccccc1,C1=CC=C(C=C1)CCCCl,success,lowest_energy,MMFF94,10,8,16.218334538578745,0,16.637957280290962,False,8,16.218334538578745,3.4526441695230545,True,0,97,0.0004054466883341471,0.002252340316772461,0.002035068302619748,0.04237067699432373,True,False,,0.0923
OCCCc1ccccc1,C1=CC=C(C=C1)CCCO,success,lowest_energy,MMFF94,10,7,18.52752602570949,0,20.44268838889887,False,7,18.52752602570949,4.2980830035372435,True,0,98,0.0003726641337076823,0.0024514198303222656,0.0025140134299673684,0.042723655700683594,True,False,,0.0983
ClCCc1ccccc1,C1=CC=C(C=C1)CCCl,success,lowest_energy,MMFF94,10,5,24.04469452142139,0,25.075141564019766,False,5,24.04469452142139,1.0304470641028693,True,0,99,0.0005739441624394169,0.0030661821365356445,0.0020635482427236195,0.04018902778625488,True,False,,0.0767
c1ccc(CNCc2ccccc2)cc1,C1=CC=C(C=C1)CNCC2=CC=CC=C2,success,lowest_energy,MMFF94,10,7,29.475067739187473,0,30.629101070173192,False,7,29.475067739187473,1.154033330985719,True,0,100,0.0006797060053399268,0.005994200706481934,0.0028017065418300346,0.05671966075897217,True,False,,0.2505
O=C(OCc1ccccc1)c1ccccc1,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,5,47.04014786509512,0,47.96920166009643,False,5,47.04014786509512,0.9290538262188051,True,0,101,0.00025812149047851565,0.0033077001571655273,0.0012449026107788086,0.034189462661743164,True,False,,0.1549
c1ccc(COCc2ccccc2)cc1,C1=CC=C(C=C1)COCC2=CC=CC=C2,success,lowest_energy,MMFF94,10,4,46.42597487544875,0,47.05319701220118,False,4,46.42597487544875,1.137847619939926,True,1,102,0.0006714019369571767,0.004295945167541504,0.0015852611456344376,0.06512248516082764,True,False,,0.1606
O=[P+](Oc1ccccc1)Oc1ccccc1,C1=CC=C(C=C1)O[P+](=O)OC2=CC=CC=C2,success,lowest_energy,MMFF94,10,5,40.46514526831067,0,40.74426340167825,False,5,40.46514526831067,2.9860532927676005,True,0,103,0.0005022048950195313,0.0020807981491088867,0.002255908317036099,0.03286910057067871,True,False,,0.1407
O=S(c1ccccc1)c1ccccc1,C1=CC=C(C=C1)S(=O)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,4,59.0076993138381,0,59.00769932514432,False,4,59.0076993138381,7.623373221576912e-08,True,0,104,3.251162442294034e-07,1.1920928955078125e-06,4.481524229049683e-06,5.5789947509765625e-05,True,False,,0.1207
Brc1ccc(Br)c2ccccc12,C1=CC=C2C(=C1)C(=CC=C2Br)Br,success,lowest_energy,MMFF94,10,4,43.77642503327449,0,43.77642518213519,False,4,43.77642503327449,2.2761404494531234e-07,True,0,105,3.70176214920847e-07,2.2649765014648438e-06,3.0356541014554207e-06,3.361701965332031e-05,True,False,,0.0833
O=C1c2ccccc2-c2ccccc21,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,success,lowest_energy,MMFF94,10,1,69.94994067974804,0,69.9499408344277,False,1,69.94994067974804,5.65459373547128e-07,True,0,106,5.960464477539062e-07,3.2186508178710938e-06,3.250551895356514e-06,3.4332275390625e-05,True,False,,0.1104
Brc1cc2ccccc2c2ccccc12,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Br,success,lowest_energy,MMFF94,10,4,56.92987769433881,0,56.92987778583775,False,4,56.92987769433881,1.9892748781558112e-07,True,0,107,6.811959402901786e-07,1.9073486328125e-06,5.135536193847656e-06,4.458427429199219e-05,True,False,,0.1282
O=Cc1ccc2ccccc2c1Br,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,success,lowest_energy,MMFF94,10,1,48.29261251795454,0,48.292612533959954,False,1,48.29261251795454,5.531410819300106,True,0,108,5.408031184498856e-07,1.6689300537109375e-06,4.454714352967309e-06,4.172325134277344e-05,True,False,,0.0969
OCCc1cccc2ccccc12,C1=CC=C2C(=C1)C=CC=C2CCO,success,lowest_energy,MMFF94,10,4,44.66854540406674,0,46.44803851781428,False,4,44.66854540406674,3.7818891891309008,True,0,109,0.0005102797252375906,0.0057631731033325195,0.0005453328291575114,0.017194509506225586,True,False,,0.1191
c1ccc2ncccc2c1,C1=CC=C2C(=C1)C=CC=N2,success,lowest_energy,MMFF94,10,0,33.89364974948663,0,33.89364974948663,True,0,33.89364974948663,1.477866788945903e-07,True,0,110,0.0,0.0,0.0,0.0,False,False,,0.0785
Brc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)Br,success,lowest_energy,MMFF94,10,7,27.683959978103413,0,27.6839600168215,False,7,27.683959978103413,9.019622737582722e-08,True,0,111,1.7029898507254465e-07,4.76837158203125e-07,3.917859150813176e-06,4.482269287109375e-05,True,False,,0.0829
O=C(CC(=O)C(F)(F)F)c1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)C(=O)CC(=O)C(F)(F)F,success,lowest_energy,MMFF94,10,4,64.66114723760779,0,64.66114727150647,False,4,64.66114723760779,1.5812790316677194,True,0,112,0.0003871190345893472,0.0057048797607421875,0.0007677473378985115,0.017003893852233887,True,False,,0.1695
O=Cc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)C=O,success,lowest_energy,MMFF94,10,4,41.93046497550477,0,41.962724610033,False,4,41.93046497550477,0.032259863844608105,True,0,113,0.0002579500800684879,0.0012443065643310547,0.0007679441145488194,0.014585614204406738,True,False,,0.0947
OCc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)CO,success,lowest_energy,MMFF94,10,1,32.39539183087538,0,32.395391841170564,False,1,32.39539183087538,1.8788206546105357e-08,True,0,114,2.4469275223581416e-07,1.0728836059570312e-06,5.805066653660365e-06,5.5789947509765625e-05,True,False,,0.1027
c1ccc2ccccc2c1,C1=CC=C2C=CC=CC2=C1,success,lowest_energy,MMFF94,10,9,31.13283612942147,0,31.1328362077345,False,9,31.13283612942147,7.831302895056069e-08,True,0,115,3.2782554626464844e-07,1.5497207641601562e-06,3.6599788259952627e-06,3.361701965332031e-05,True,False,,0.0798
Ic1cccs1,C1=CSC(=C1)I,success,lowest_energy,MMFF94,10,7,4.634640450177525,0,4.634640450418997,False,7,4.634640450177525,1.5947255960213624e-08,True,0,116,9.271833631727431e-08,3.5762786865234375e-07,1.881122589111328e-06,1.239776611328125e-05,True,False,,0.0397
C1=Cc2ccccc2C1,C1C=CC2=CC=CC=C21,success,lowest_energy,MMFF94,10,0,27.715269338914588,0,27.715269338914588,True,0,27.715269338914588,8.102044546376419e-08,True,0,117,0.0,0.0,0.0,0.0,False,False,,0.0741
O=C1CCc2ccccc2O1,C1CC(=O)OC2=CC=CC=C21,success,lowest_energy,MMFF94,10,2,16.943088936977254,0,16.943088938668986,False,2,16.943088936977254,5.940783864843979e-09,True,0,118,1.2942722865513392e-07,3.5762786865234375e-07,4.3259217188908506e-06,4.601478576660156e-05,True,False,,0.0877
O=C(Cc1ccccc1F)C1CC1,C1CC1C(=O)CC2=CC=CC=C2F,success,lowest_energy,MMFF94,10,7,50.282746995621565,0,50.287314453173934,False,7,50.282746995621565,1.6029847502784094,True,4,119,8.519684396139005e-05,0.0004349946975708008,0.0001285662416551934,0.0021562576293945312,True,False,,0.134
