strategy,outer_seed,round,labeled_total,row_weighted_nrmse,test_unique_compounds,compound_macro_V1_mae,compound_macro_V1_nrmse,compound_macro_V2_mae,compound_macro_V2_nrmse,compound_macro_mae,compound_macro_nrmse
coverage,525,0,375,0.8387376970964521,23,2.912234964013938,0.6430837581685092,5.634151486062154,0.590418826102926,4.273193225038046,0.6167512921357176
coverage,525,1,400,0.8315000856897654,23,2.817719125618889,0.625650054599145,5.703602754560914,0.5964531859572111,4.260660940089902,0.611051620278178
coverage,525,2,425,0.7896473973001132,23,2.8294554832079415,0.6160551538499294,6.050484596296592,0.6149076442191758,4.439970039752266,0.6154813990345526
coverage,525,3,450,0.8152170880802365,23,3.0903775026005964,0.647888382562113,5.72429296344114,0.5849058125088787,4.407335233020868,0.6163970975354959
coverage,525,4,475,0.8821627370647833,23,3.1122686816052054,0.6672124892222596,5.906136591489712,0.6048404467152118,4.5092026365474585,0.6360264679687357
coverage,525,5,500,0.8913668504312893,23,3.000344057251979,0.6684417130320593,6.100334846491987,0.6206975400806346,4.550339451871983,0.644569626556347
coverage,525,6,525,0.8379327185339773,23,3.0161214592877514,0.6419146934927838,5.709173544022996,0.5781854194412223,4.362647501655374,0.610050056467003
coverage,525,7,550,0.7882320991924537,23,2.838381906522236,0.6001437790071962,5.654884930295859,0.5629882954511698,4.246633418409047,0.581566037229183
coverage,525,8,575,0.8892572209814338,23,3.185863630539801,0.67290015058853,6.015864767686484,0.5909970407134961,4.6008641991131425,0.6319485956510131
ensemble,525,0,375,0.8387376970964521,23,2.912234964013938,0.6430837581685092,5.634151486062154,0.590418826102926,4.273193225038046,0.6167512921357176
ensemble,525,1,400,0.7620133140563901,23,2.92790014102916,0.6247782004720289,5.418980542883568,0.5455192381615243,4.173440341956364,0.5851487193167766
ensemble,525,2,425,0.7915891841203617,23,2.9675376487638925,0.6334638339613108,5.559205434702078,0.5537644882813829,4.263371541732985,0.5936141611213468
ensemble,525,3,450,0.7676123044938691,23,2.786601440636974,0.6104663712759827,5.595298267621018,0.5538353484627906,4.190949854128997,0.5821508598693866
ensemble,525,4,475,0.8790566879092525,23,3.636888149192792,0.7743788915153067,6.5940272908037745,0.6640672524087757,5.115457719998283,0.7192230719620412
ensemble,525,5,500,0.8150190017819745,23,3.3869428665763195,0.7232665163015936,5.857386125135962,0.5817942578313612,4.622164495856141,0.6525303870664774
ensemble,525,6,525,0.8127220969135021,23,2.9305298633915084,0.6569636258661609,5.857579053688012,0.5817611394023696,4.39405445853976,0.6193623826342652
ensemble,525,7,550,0.8191942701908508,23,3.028380282596119,0.6574412225545897,5.621310533399174,0.5685628321523211,4.324845407997646,0.6130020273534553
ensemble,525,8,575,0.7989958362504078,23,2.8693597836326417,0.6294773164869654,5.8194776852604715,0.5783025393298269,4.344418734446556,0.6038899279083961
