strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
ensemble,1101,6,525,468,57,3.447463589972606,6.506941107892909,0.2911434689236224,7.1894365910146805,13.218037184402382,0.3075079340564485,0.8709805931713501,422
ensemble,1101,7,550,493,57,3.4208641343018833,6.515273946317618,0.28932677226694037,7.016450963347195,13.168491535280294,0.3126895908772991,0.8698396070746686,422
ensemble,1101,8,575,518,57,3.4593151575392835,6.4945214434142615,0.2938468462419862,7.620065168400706,13.570669276444411,0.2700663305002149,0.8821443942916438,422
hybrid,1101,0,375,318,57,4.050128710590079,7.027833066241848,0.17311051944557887,8.430408749092948,14.135584285016915,0.20803061708358783,0.9359322254614681,422
hybrid,1101,1,400,343,57,3.990648597977926,7.115050536012819,0.15245928375041584,8.782434119583309,14.458867180576535,0.17139146955744866,0.9525662899111409,422
hybrid,1101,2,425,368,57,3.5848510671565883,6.26033333782349,0.3438554748216591,8.210379362585686,13.25071928666453,0.3040792743302433,0.8560849938018477,422
hybrid,1101,3,450,393,57,3.319356287128364,5.6730764605863255,0.46118228380966086,7.469673407807634,11.973769270735067,0.4317458267663439,0.7746265700502335,422
hybrid,1101,4,475,418,57,2.6766698201120755,4.6757396405452845,0.6339796486743305,6.05663335841163,9.528974011618615,0.6401072081812692,0.6269120791815038,422
hybrid,1101,5,500,443,57,3.0048959208890724,5.331280252553694,0.5241526897531572,6.139295973711956,10.000031048183471,0.6036457127421311,0.6854466924161693,422
hybrid,1101,6,525,468,57,2.83897769138523,5.184748419280833,0.5499508263283226,6.083552451661125,10.217819109032954,0.586193523848978,0.6833293614475469,422
hybrid,1101,7,550,493,57,3.104098282662613,5.528720402176623,0.48825471764366124,6.431479960585641,10.538072937533624,0.559847408018026,0.7165241050911844,422
hybrid,1101,8,575,518,57,3.0726748376284356,5.553320431685089,0.4836905670338252,6.537075570874726,10.5983746548126,0.5547956499850006,0.720167558120195,422
random,1101,0,375,318,57,4.050128710590079,7.027833066241848,0.17311051944557887,8.430408749092948,14.135584285016915,0.20803061708358783,0.9359322254614681,422
random,1101,1,400,343,57,3.8531503789232806,6.884440307711555,0.20650924656149827,8.7759849890607,14.024446745584644,0.2204349887343201,0.9228534782457027,422
random,1101,2,425,368,57,3.8317052780546095,6.864299895391994,0.2111451657380301,8.268481129748576,13.78221384526274,0.24713201129074203,0.9133239330056669,422
random,1101,3,450,393,57,3.7620646051509308,6.604055396988183,0.2698265992579002,8.647924872264026,13.478165818242685,0.2799834922927259,0.8861132400786585,422
random,1101,4,475,418,57,3.5400943094896853,6.253850189334354,0.34521376662985614,8.148473684706165,13.114283139110222,0.3183366018741678,0.851033006901979,422
random,1101,5,500,443,57,3.8222603206950905,6.592335105044349,0.2724159935193702,7.923666563485142,13.291508095880339,0.29978826700892625,0.879016624531896,422
random,1101,6,525,468,57,3.6704939933938054,6.434979702456793,0.3067355099097584,8.348286280244213,13.665700089045242,0.2598075787266164,0.8815058578058365,422
random,1101,7,550,493,57,3.279247597307202,6.114779223269997,0.37401178748305,8.124516543750888,13.078780832346347,0.32202233375568234,0.8408021299925383,422
random,1101,8,575,518,57,3.269737162757636,6.236752221629704,0.3487892311255586,7.179933753564194,12.871712640760332,0.3433203853519823,0.841689458344275,422
