column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,compound,536279090,50,48,150,153,linear_policy,0.8176922803740932,10.484103636114103,6.843600481016066,0.9253530676926293,11.184185744096034,8.088493783767207,1.0616687761343262,True,1.013106263040798
25g,compound,536279090,50,48,150,153,shared_column_affine,0.8364572904319579,9.929888463685332,6.297265357092845,0.931983090189003,10.67595752464077,7.891956223709694,1.0072430104973236,True,0.9621322566526216
25g,compound,536279090,50,48,150,153,local_identity_shrinkage,0.8306768704811431,10.103850678634796,6.5468606524900625,0.9323799105603553,10.644769438272558,7.976554962434043,1.0204496725972911,True,0.9722009565438383
25g,compound,536279090,70,71,210,210,scale_only,0.8376992488807711,9.892112362918036,7.74259832301723,0.8616752868151785,15.224683673847792,12.808288399590069,1.111949068344024,True,1.101206390746396
25g,compound,536279090,70,71,210,210,affine,0.8670842960485169,8.951935076016067,6.300315469870013,0.9113194325973111,12.190250226734195,9.336833865821095,0.9658277910074758,True,0.9471731305680615
25g,compound,536279090,70,71,210,210,target_head_only,0.5520013338047789,16.434902668800117,9.977733943396226,0.4247850124003142,31.046559906229753,20.521224674528302,2.009942861484626,True,2.008456602351159
25g,compound,536279090,70,71,210,210,monotone_spline,0.8651884101362293,9.015553422316154,6.339612777567972,0.9152031233908257,11.920331048949585,9.0572093758141,0.964073795156461,True,0.9428151708375183
25g,compound,536279090,70,71,210,210,nonlinear_policy,0.8651884101362293,9.015553422316154,6.339612777567972,0.9152031233908257,11.920331048949585,9.0572093758141,0.964073795156461,True,0.9428151708375183
25g,compound,536279090,70,71,210,210,linear_policy,0.8670842962780022,8.951935068288096,6.3003155394138615,0.9113194338813225,12.190250138482499,9.33683382485232,0.9658277882757822,True,0.9471731273329462
25g,compound,536279090,70,71,210,210,shared_column_affine,0.8660342619150728,8.987225660204324,6.2686942268302674,0.9085988910686852,12.37582390637298,9.440857903484932,0.973006117402812,True,0.955184056411674
25g,compound,536279090,70,71,210,210,local_identity_shrinkage,0.8670842962780022,8.951935068288096,6.3003155394138615,0.9113194338813224,12.190250138482503,9.336833824852324,0.9658277882757823,True,0.9471731273329463
25g,compound,769539383,100,98,300,290,scale_only,0.8402436506424314,15.922717789396934,10.198460652169851,0.8437248453091272,25.358814816565157,16.160487971486194,1.8126658737140928,True,1.7990600117542783
25g,compound,769539383,100,98,300,290,affine,0.8671051173600902,14.522529352408636,8.317859331423703,0.8722806266779818,22.92515987311812,13.666103826593448,1.6477687637856633,True,1.6345219433148932
25g,compound,769539383,100,98,300,290,target_head_only,0.4597347471492843,29.281387527411653,16.165560387387387,0.3040760240005459,53.51368810008395,31.936762126126126,3.5277020309558798,True,3.522380572151582
