canonical_smiles,strategy,random_error,active_error,delta_vs_random,compound_rows,random_normalized_RMSE,active_normalized_RMSE,random_normalized_MAE,active_normalized_MAE
COc1ccc(Cl)cc1,ensemble,0.12949896221403187,0.13562328382724934,0.006124321613217465,21,0.15076487137052164,0.1520750377490609,0.1082330530575421,0.11917152990543778
Cc1cc(C)cc(C#N)c1,ensemble,0.6843956675022663,1.9766901149932479,1.2922944474909817,21,0.7205267548867695,2.2635043796694023,0.6482645801177631,1.6898758503170934
Clc1ccc(I)c(Br)c1,ensemble,0.11924314743141859,0.10946217892808562,-0.009780968503332974,21,0.13355496426704075,0.12098804958370069,0.10493133059579643,0.09793630827247055
Clc1ccccc1I,ensemble,0.11472787066171829,0.17067622347246258,0.0559483528107443,21,0.12736455362073584,0.18828173882559118,0.10209118770270073,0.153070708119334
O=C1CCCCc2ccccc21,ensemble,0.3612639738158391,0.3026784198800346,-0.0585855539358045,7,0.4171742239757096,0.34312410926096165,0.3053537236559686,0.2622327304991075
O=Cc1cc(Cl)ccc1Br,ensemble,0.11937229323350751,0.10974104814812707,-0.009631245085380435,21,0.1301355684553536,0.11990665521838234,0.10860901801166144,0.0995754410778718
O=[P+](Oc1ccccc1)Oc1ccccc1,ensemble,0.647026809478806,0.6738666888270874,0.02683987934828147,14,0.8509230534546561,0.9191306244554222,0.4431305655029558,0.42860275319875263
c1ccc2ncccc2c1,ensemble,0.44598601554985046,0.2921605953577729,-0.15382542019207757,15,0.5244289780005735,0.33693324357006116,0.3675430530991274,0.24738794714548465
BrCCCc1ccccc1,hybrid,0.07231112779437171,0.0847080650488464,0.012396937254474688,21,0.0793129219277239,0.09476556067995558,0.06530933366101951,0.07465056941773723
C=C(c1ccccc1)c1ccccc1,hybrid,0.1568084544812147,0.18805786826818596,0.03124941378697127,21,0.17505860232094966,0.20052420079336758,0.13855830664147972,0.17559153574300435
C=CC(=O)OCCOC,hybrid,0.4072673715598578,0.6902919207859328,0.283024549226075,15,0.454037676454346,0.7505386551052593,0.36049706666536957,0.6300451864666063
CC(C)=CCBr,hybrid,0.22130847745152427,0.1754813459197251,-0.04582713153179915,21,0.2466872315153697,0.1854520448132264,0.19592972338767883,0.1655106470262238
CCCCCCCCCCCCc1cc(Br)sc1Br,hybrid,0.3563862142622463,0.37568428228168704,0.01929806801944073,21,0.39173160626639847,0.4042519169372026,0.32104082225809416,0.34711664762617145
