seed,round,representation,dimension,map_index,effective_rank,participation_rank,numerical_rank,top_eigenvalue_fraction,positive_spectrum_condition,raw_rank_deficient,precision_condition,reference_rows,outputs,feature_dimension,raw_mean_squared_norm,initial_risk,final_risk,endpoint_final_risk,direct_factor_max_error,elapsed_seconds,lcmd_overlap,lcmd_risk_same_surrogate
157,5,scalar,256,1,26.18890841919878,8.308462313528992,256,0.3106416160488324,7402.318648576895,False,410.782545878992,3330,1,256,52015.927853804256,0.1119597205320507,0.1037317570777551,[0.10373175707775517],4.121702978920894e-15,0.3466157499933615,0.1875,0.1065683273155302
157,5,scalar,256,2,27.275669376028915,8.65452736704303,256,0.3033232924235846,6998.447078945319,False,430.8766568807404,3330,1,256,51320.405325102234,0.1131038606110388,0.1047982734882963,[0.1047982734882963],2.985621732481958e-15,0.3467665000353008,0.09375,0.1077780087376728
157,5,scalar,512,0,31.886720662547184,9.807760940522895,512,0.2769528648526499,54153.05059185327,False,382.1185426966937,3330,1,512,49965.714581546126,0.1291595459286277,0.1205015081832167,[0.12050150818321678],2.157996004115148e-15,0.846909207990393,0.21875,0.1230773750261432
157,5,scalar,512,1,29.322696202974523,8.489578703175194,512,0.308474190827498,64690.50873502487,False,424.6177682588466,3330,1,512,51351.03279987896,0.1272374079190458,0.1186222343414754,[0.11862223434147544],2.3089169465251306e-15,0.8718536660308018,0.125,0.1216832031042741
157,5,scalar,512,2,28.7977602738905,8.27325250023335,512,0.3140332408362012,69393.12994158837,False,437.8370583295432,3330,1,512,52043.48070349164,0.1262023175387031,0.1178150501453826,[0.11781505014538263],2.4528989950312052e-15,0.8656087910057977,0.15625,0.1209622206018603
157,5,scalar,1024,0,32.17780935974039,9.302539096681988,1024,0.2877135628170981,2282813.3559053796,False,399.77033208960813,3330,1,1024,51215.665734131166,0.1352524472937031,0.1266316008979483,[0.1266316008979483],2.1978946440626146e-15,2.3147657500812784,0.09375,0.1294135587396678
157,5,scalar,1024,1,29.76657525443464,8.097812940249842,1024,0.3193721643085082,2650809.5398745,False,441.2184996966047,3330,1,1024,52176.49491698541,0.133521059279163,0.124957786391124,[0.12495778639112406],2.6229018956769323e-15,2.429561625001952,0.09375,0.1280906370300288
157,5,scalar,1024,2,31.712860647397147,8.788833888741499,1024,0.3026126549707098,2372028.8724405463,False,419.860470611373,3330,1,1024,50653.23379433207,0.1357031908877851,0.1269439868822212,[0.12694398688222125],2.0521778720805628e-15,2.3420416250592098,0.15625,0.1298620357443524
157,5,scalar,2048,0,33.02179485449699,9.300924577925244,1389,0.2882683202214789,391145769165.491,True,400.4497408500132,3330,1,2048,51068.31702037822,0.1392627950288451,0.1305976947465164,[0.13059769474651642],1.4667086989383904e-15,9.642401208984666,0.125,0.1334994098570114
157,5,scalar,2048,1,32.358850271783226,8.845988650095798,1390,0.3005680247476917,948873191055.9642,True,415.74928899455426,3330,1,2048,51087.19597655363,0.1393075808647934,0.1305270814500378,[0.1305270814500378],1.3773704399255848e-15,9.501456708065234,0.125,0.1337057657364427
157,5,scalar,2048,2,32.77161216304415,9.032782423676712,1389,0.2962935535380534,384794859744.3124,True,409.1404935459368,3330,1,2048,50852.86009492862,0.1395117928486908,0.1307837473455952,[0.1307837473455952],1.450228825916611e-15,9.466166457976216,0.0625,0.1337165597497907
157,5,block,512,0,33.14501839823307,10.617188763758517,512,0.2626342812406371,35925.18751834901,False,374.54162768820464,3330,2,512,50677.16784714457,0.1242839954409068,0.1160336367692837,"[0.0668412400690075, 0.04919239670027637]",1.647987302177967e-15,2.119405125034973,0.125,0.1192402174878894
157,5,block,512,1,31.98122466948004,9.862014843830044,512,0.277665672043669,38266.65041918506,False,385.87571092988975,3330,2,512,51507.69341119113,0.1242899984017592,0.1160336310545051,"[0.06684378930990409, 0.04918984174460093]",2.2065682614424986e-15,2.1865451249759644,0.09375,0.1195032703093673
157,5,block,512,2,31.553468430374345,9.651644790826229,512,0.2819972158000323,37911.25188191294,False,409.826940952441,3330,2,512,51882.50544845685,0.1232849722067345,0.1151755091977342,"[0.06637864129495422, 0.048796867902780296]",1.880440247958859e-15,2.117752957972698,0.0625,0.1188090977305217
157,10,scalar,256,0,24.79119200430016,7.102643949889425,256,0.3505462688112582,9170.583867271422,False,743.3500866907785,3330,1,256,53359.687233235665,0.0876923545137565,0.0838882473022759,[0.08388824730227595],3.264749581788351e-15,0.3444117920007556,0.03125,0.0856157064395652
157,10,scalar,256,1,23.51039224460324,6.862862279696721,256,0.3561760558004133,9003.922159770638,False,722.4618740061943,3330,1,256,56318.77468434232,0.0856825931318463,0.081917573441374,[0.08191757344137404],3.476385845857522e-15,0.3452374159824103,0.0,0.0837501134790449
157,10,scalar,256,2,25.89054040979588,7.642710117251041,256,0.3349172726210996,8163.112158971638,False,689.8769549891643,3330,1,256,53709.771586227056,0.0877149281360093,0.0838209831740086,[0.08382098317400866],4.0028744208164816e-15,0.3496615410549566,0.0625,0.0855629608199662
157,10,scalar,512,0,27.24744582066534,7.368645029374553,512,0.3427273364242442,74645.79918394487,False,730.2646724363133,3330,1,512,54300.7141011371,0.1002813724157891,0.0963041635414981,[0.09630416354149815],3.400058012914542e-15,0.8464678330346942,0.03125,0.0980294663467884
157,10,scalar,512,1,26.283181765391,6.992098736314128,512,0.3542866729054812,79953.21253987202,False,736.1699752299597,3330,1,512,55288.48654562711,0.0997228073476655,0.0957358431647746,[0.09573584316477467],3.112093915902392e-15,0.8369617919670418,0.0,0.0974908257491055
157,10,scalar,512,2,26.639729751261353,7.0452012552078065,512,0.3533432321423251,75373.51457748713,False,727.6394007376293,3330,1,512,54772.192864238605,0.1001337954485522,0.0961926255116506,[0.0961926255116506],4.600486658290493e-15,0.835843582986854,0.03125,0.0979258683704682
157,10,scalar,1024,0,28.44868924426504,7.370653230315357,1024,0.3431021693622693,2899518.8870372497,False,725.5117002478032,3330,1,1024,54946.29552007701,0.1072258836817224,0.1031810866361645,[0.10318108663616452],3.2248509418408844e-15,2.3146610419498757,0.125,0.1049590294569381
157,10,scalar,1024,1,28.171111955150117,7.176678240322068,1024,0.3494278919417617,3144285.3351288694,False,730.6282310626814,3330,1,1024,54881.719043451296,0.1073302900506855,0.1032696235788215,[0.10326962357882158],3.9621084191310274e-15,2.3638382089557126,0.0625,0.1051000541016801
157,10,scalar,1024,2,28.689504252112087,7.348907952884446,1024,0.3440758559884864,3084369.647722014,False,710.4718446610188,3330,1,1024,54244.837181365525,0.1080342903748102,0.1039929906656478,[0.10399299066564781],3.25434124093249e-15,2.3239563329843804,0.03125,0.1057547038756068
157,10,scalar,2048,0,29.141653128519796,7.363673123692791,1390,0.3436414791983387,801337983484.1816,True,723.6417821621576,3330,1,2048,55054.083326828186,0.1107419755398971,0.106685651207205,[0.10668565120720509],2.482389294122811e-15,9.75265625002794,0.09375,0.108481121140436
