mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,42,train,ea_fraction,V1_q50,"(0.333, 0.5]","(9.189, 63.756]",24,0.2608688997983872,1.7331321041666667,4.405296375,6.367265987500001,7.071199791666666
compound,42,train,ea_fraction,V1_q50,"(0.5, 1.0]","(0.598, 4.724]",233,0.07687793116878607,0.4941610012875537,1.1890232360515023,2.1517197442060088,3.786664066523605
compound,42,train,ea_fraction,V1_q50,"(0.5, 1.0]","(4.724, 5.346]",164,0.10347235615843513,0.6615033896341463,1.684205542682927,2.4889102999999997,3.980388437804878
compound,42,train,ea_fraction,V1_q50,"(0.5, 1.0]","(5.346, 6.172]",62,0.17594136538854693,1.4814554467741932,2.019861935483871,3.197034766129032,4.845662791935483
compound,42,train,ea_fraction,V1_q50,"(0.5, 1.0]","(6.172, 9.189]",48,0.299261515214187,2.7085574833333332,2.9803201770833336,4.667138370833333,5.556860989583334
compound,42,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",9,0.11516489324292303,0.7594217999999999,1.9126835555555557,1.4664445222222224,4.622977711111111
compound,42,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",27,0.3437285169245466,2.82025264074074,4.753033888888889,3.9386321666666664,5.419168111111111
compound,42,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",70,0.6827329935242682,6.030136444285713,8.147942800000001,8.309471758571428,8.802998200000001
compound,42,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",3,0.20533158716699393,1.9148075666666668,2.4098622000000005,2.438108733333333,6.0296417
compound,42,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",9,0.06393239644419385,0.43823639999999986,0.8209023333333332,2.253290144444444,4.559098455555555
compound,42,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",36,0.13604997870802812,0.9720737749999999,2.071303013888889,2.1917695722222224,3.7056056888888897
compound,42,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",47,0.21586473739940576,1.5269235021276597,3.151389063829787,3.4610758765957446,4.422284106382978
compound,42,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",16,0.42137201339335595,2.82903405625,6.6414423437500005,7.6343836750000005,8.1113925625
compound,42,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",12,0.1509422892264314,0.7851281,2.764523375,1.8927831666666668,3.9822237166666667
compound,42,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",15,0.14369912906785315,1.3015311466666666,1.5424683399999997,2.190588246666666,3.4556576800000007
