canonical_smiles,source_smiles,status,conformer_method,error,seconds
Cc1ccc(F)cc1I,CC1=C(C=C(C=C1)F)I,success,MMFF,,0.0669
COc1ccc(Br)c(C)c1,CC1=C(C=CC(=C1)OC)Br,success,MMFF,,0.0845
CC(=O)c1c(C)cc(C)cc1C,CC1=CC(=C(C(=C1)C)C(=O)C)C,success,MMFF,,0.1255
CC(=O)c1ccc(C)cc1C,CC1=CC(=C(C=C1)C(=O)C)C,success,MMFF,,0.1108
Cc1ccc(C=O)c(C)c1,CC1=CC(=C(C=C1)C=O)C,success,MMFF,,0.0879
Cc1ccc(I)c(C)c1,CC1=CC(=C(C=C1)I)C,success,MMFF,,0.0788
COc1ccc(C)cc1OC,CC1=CC(=C(C=C1)OC)OC,success,MMFF,,0.1025
Cc1cc(C)cc(C#N)c1,CC1=CC(=CC(=C1)C#N)C,success,MMFF,,0.0848
CC(=O)c1cccc(C)c1,CC1=CC(=CC=C1)C(=O)C,success,MMFF,,0.0897
Cc1cccc(C=O)c1,CC1=CC(=CC=C1)C=O,success,MMFF,,0.0727
Cc1ccc(C)cc1,CC1=CC=C(C=C1)C,success,MMFF,,0.0747
CC(=O)c1ccc(C)cc1,CC1=CC=C(C=C1)C(=O)C,success,MMFF,,0.0917
Cc1ccc(C(C)C)cc1,CC1=CC=C(C=C1)C(C)C,success,MMFF,,0.1446
Cc1ccc(CO)cc1,CC1=CC=C(C=C1)CO,success,MMFF,,0.0839
Cc1ccc(Cl)cc1,CC1=CC=C(C=C1)Cl,success,MMFF,,0.0639
Cc1ccc(I)cc1,CC1=CC=C(C=C1)I,success,MMFF,,0.064
Cc1ccccc1C#N,CC1=CC=CC=C1C#N,success,MMFF,,0.0699
CC(=O)c1ccccc1C,CC1=CC=CC=C1C(=O)C,success,MMFF,,0.0931
Cc1ccccc1C=O,CC1=CC=CC=C1C=O,success,MMFF,,0.0743
Cc1ccnc2ccccc12,CC1=CC=NC2=CC=CC=C12,success,MMFF,,0.0932
Cc1cccc(C)n1,CC1=NC(=CC=C1)C,success,MMFF,,0.07
CC1CCC(=O)c2ccccc21,CC1CCC(=O)C2=CC=CC=C12,success,MMFF,,0.1143
CCC(=O)c1cccc(Br)c1,CCC(=O)C1=CC(=CC=C1)Br,success,MMFF,,0.0926
CCC(=O)c1cccc(F)c1,CCC(=O)C1=CC(=CC=C1)F,success,MMFF,,0.0903
CCC(=O)c1cccnc1,CCC(=O)C1=CN=CC=C1,success,MMFF,,0.0862
CCC(O)c1ccccc1,CCC(C1=CC=CC=C1)O,success,MMFF,,0.1016
CCCC(=O)c1ccc(-c2ccccc2)cc1,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,success,MMFF,,0.1836
CCCCC(=O)c1ccccc1,CCCCC(=O)C1=CC=CC=C1,success,MMFF,,0.1287
C=CC(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)C=C,success,MMFF,,0.1844
CCCCCCC(=O)c1ccccc1,CCCCCCC(=O)C1=CC=CC=C1,success,MMFF,,0.1723
CCCCCCCCCCCCc1cc(Br)sc1Br,CCCCCCCCCCCCC1=C(SC(=C1)Br)Br,success,MMFF,,0.316
C=CC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCOC(=O)C=C,success,MMFF,,0.3334
C=CC(=O)OCCN(CC)CC,CCN(CC)CCOC(=O)C=C,success,MMFF,,0.1433
CCOC(=O)/C=C(/C)N,CCOC(=O)/C=C(/C)\N,success,MMFF,,0.0863
CCOC(=O)/C=C/c1ccccc1,CCOC(=O)/C=C/C1=CC=CC=C1,success,MMFF,,0.1288
CCOC(=O)C(Br)C(=O)OCC,CCOC(=O)C(C(=O)OCC)Br,success,MMFF,,0.1118
CCOC(=O)C(C)(C)Br,CCOC(=O)C(C)(C)Br,success,MMFF,,0.0839
CCOC(=O)C(C)Br,CCOC(=O)C(C)Br,success,MMFF,,0.0719
CCOC(=O)C(C(=O)OCC)c1ccccc1,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,success,MMFF,,0.199
CCOC(=O)C(Cc1ccccc1)C(C)=O,CCOC(=O)C(CC1=CC=CC=C1)C(=O)C,success,MMFF,,0.1951
CCOC(=O)c1cccc(N)c1,CCOC(=O)C1=CC(=CC=C1)N,success,MMFF,,0.1107
CCOC(=O)c1ccc(Cl)cc1,CCOC(=O)C1=CC=C(C=C1)Cl,success,MMFF,,0.0996
