phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
candidate,60a000cb56517513c4d2,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.3943179580383,False,dd210b7f33091199b2f8eb793c4b6882a77a21dc82f16ed9e71cf0898fc828a1
candidate,60a000cb56517513c4d2,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,57,157,9.502786375116557,False,3ab0f603369e41208cda853ac41c7a7a1a3bb3c36fa5c5d229b6f76262ad0355
candidate,60a000cb56517513c4d2,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,11.110163624864072,False,7871b5f1925e4d10d378be024476ef81af776866730875911b1f5f4b27be54f5
candidate,640353c89b3ce64ee98b,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,13.279523042030632,False,c25cfa2f9f9b4a426cc5d88201f91ab2efcff3d75c6d56ba7344a1265b155ac3
candidate,640353c89b3ce64ee98b,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,18.538532000035048,False,73c721811e73ae0a14c816b643dab40926cfa4513324832380b7e168efb40a69
candidate,640353c89b3ce64ee98b,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,75,175,21.06772308377549,False,cc88100c2a32b89eeb793c014745336e8d712db62330be0006c23933022d68c4
candidate,6c8de7fb3dbd4f5adabf,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,82,182,19.40678666695021,False,cf473a9dd8797eb2a78939048284b0e54eb609c620a22c014d68f55a919bd148
candidate,6c8de7fb3dbd4f5adabf,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,44,144,17.373308666981757,False,7adba01d17b546c3854df4dff597497c613292c30e1a97c8d1f173b026d91adf
candidate,6c8de7fb3dbd4f5adabf,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,105,205,27.232598416972905,False,eb1c3b8825325911877679fd7c9e25851a64e28709171127a4f2a22bba666fbb
candidate,6cd5860914563da59932,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,14.689721500035375,False,4fa733d2471d9b3d6b18b16b89b9f77eb7a46750e3978df8b54556ddc0cb57dc
