column,protocol,method,reference,endpoint,gain_percent,wins,median_delta,material,stronger_10pct
40g,compound,standard_full_finetune,conditional_EA,budget100,-104.66905422878044,0,3.5156545157127392,False,False
40g,compound,standard_full_finetune,conditional_policy,budget100,-100.62392058982046,0,3.478795592427196,False,False
40g,compound,source_anchored_shallow,scale_only,budget100,-62.23065827724079,0,1.9562545545451755,False,False
40g,compound,source_anchored_shallow,local_identity_shrinkage,budget100,-68.2130193721434,0,2.0434247919964044,False,False
40g,compound,source_anchored_shallow,conditional_EA,budget100,-71.60465952025854,0,2.0899658234298233,False,False
40g,compound,source_anchored_shallow,conditional_policy,budget100,-68.21301937493529,0,2.0434247919964044,False,False
40g,compound,source_anchored_shallow,standard_shallow_finetune,budget100,-48.52072980078554,0,2.0451539637189535,False,False
40g,compound,source_anchored_full,scale_only,budget100,-158.34121942763363,0,5.441593214525117,False,False
40g,compound,source_anchored_full,local_identity_shrinkage,budget100,-167.8677200085068,0,5.528763451976346,False,False
40g,compound,source_anchored_full,conditional_EA,budget100,-173.26867480353957,0,5.65819366825602,False,False
40g,compound,source_anchored_full,conditional_policy,budget100,-167.8677200129527,0,5.528763451976346,False,False
40g,compound,source_anchored_full,standard_full_finetune,budget100,-33.51733892221831,1,2.752246029136602,False,False
40g,row,standard_shallow_finetune,scale_only,budget100,15.161216214500408,4,-0.5472245120824581,True,True
40g,row,standard_shallow_finetune,local_identity_shrinkage,budget100,7.16009620775728,4,-0.098559392636699,True,False
40g,row,standard_shallow_finetune,conditional_EA,budget100,-0.15457827908036,2,0.1357381023896438,False,False
40g,row,standard_shallow_finetune,conditional_policy,budget100,1.1996732705085,3,-0.0786210802265245,False,False
40g,row,standard_full_finetune,scale_only,budget100,-33.69135384734281,0,0.9916020550552896,False,False
40g,row,standard_full_finetune,local_identity_shrinkage,budget100,-46.29974494239968,0,1.440267174501049,False,False
40g,row,standard_full_finetune,conditional_EA,budget100,-57.82641578165193,0,1.8339039230320977,False,False
40g,row,standard_full_finetune,conditional_policy,budget100,-55.692347905665414,0,1.8339039230320977,False,False
40g,row,source_anchored_shallow,scale_only,budget100,-45.52719632794795,0,1.7321270245975748,False,False
40g,row,source_anchored_shallow,local_identity_shrinkage,budget100,-59.25182214305531,0,1.88172975448722,False,False
40g,row,source_anchored_shallow,conditional_EA,budget100,-71.79896181931969,0,2.14019750034003,False,False
40g,row,source_anchored_shallow,conditional_policy,budget100,-69.47596256896817,0,2.14019750034003,False,False
40g,row,source_anchored_shallow,standard_shallow_finetune,budget100,-71.53380781116414,0,2.234895225049073,False,False
40g,row,source_anchored_full,scale_only,budget100,-145.50357588335243,0,5.0544179199423045,False,False
40g,row,source_anchored_full,local_identity_shrinkage,budget100,-168.65694377808418,0,5.385779583857483,False,False
40g,row,source_anchored_full,conditional_EA,budget100,-189.82389906449762,0,5.600138766473651,False,False
40g,row,source_anchored_full,conditional_policy,budget100,-185.9050121682611,0,5.385779583857483,False,False
40g,row,source_anchored_full,standard_full_finetune,budget100,-83.63459477243673,0,3.493517704405926,False,False
8g,compound,standard_shallow_finetune,scale_only,budget100,-9.07605782656115,1,0.0737942925876927,False,False
8g,compound,standard_shallow_finetune,local_identity_shrinkage,budget100,-15.88507476748835,0,0.0966296643767398,False,False
8g,compound,standard_shallow_finetune,conditional_EA,budget100,-14.52148506893875,1,0.103141685536917,False,False
8g,compound,standard_shallow_finetune,conditional_policy,budget100,-13.365164842206239,1,0.0737942925876927,False,False
8g,compound,standard_full_finetune,scale_only,budget100,-89.97099515011438,0,0.7027138847691311,False,False
8g,compound,standard_full_finetune,local_identity_shrinkage,budget100,-101.82983704481057,0,0.7085332904109072,False,False
8g,compound,standard_full_finetune,conditional_EA,budget100,-99.45495756005867,0,0.7128075775286501,False,False
8g,compound,standard_full_finetune,conditional_policy,budget100,-97.441066440764,0,0.7027138847691311,False,False
8g,compound,source_anchored_shallow,scale_only,budget100,-47.612524255314284,0,0.3774401310716231,False,False
8g,compound,source_anchored_shallow,local_identity_shrinkage,budget100,-56.82716033929924,0,0.3832595367133992,False,False
8g,compound,source_anchored_shallow,conditional_EA,budget100,-54.98181571040273,0,0.3875338238311421,False,False
8g,compound,source_anchored_shallow,conditional_policy,budget100,-53.41696865856969,0,0.3774401310716231,False,False
8g,compound,source_anchored_shallow,standard_shallow_finetune,budget100,-35.32990391899648,0,0.2720681744880745,False,False
8g,compound,source_anchored_full,scale_only,budget100,-115.55006458498357,0,0.827427781722995,False,False
8g,compound,source_anchored_full,local_identity_shrinkage,budget100,-129.0056667640688,0,0.8168319355104328,False,False
8g,compound,source_anchored_full,conditional_EA,budget100,-126.31101632064023,0,0.8292997178790656,False,False
8g,compound,source_anchored_full,conditional_policy,budget100,-124.02596032833956,0,0.827427781722995,False,False
8g,compound,source_anchored_full,standard_full_finetune,budget100,-13.464723609336609,2,0.2005537025346278,False,False
8g,row,standard_shallow_finetune,scale_only,budget100,-1.87717916090381,2,0.0240870750965248,False,False
8g,row,standard_shallow_finetune,local_identity_shrinkage,budget100,2.3178992473816202,3,-0.0389557164024383,False,False
8g,row,standard_shallow_finetune,conditional_EA,budget100,2.5705039091040898,3,-0.0403142853283636,False,False
8g,row,standard_shallow_finetune,conditional_policy,budget100,2.54008908719706,3,-0.0403142853283636,False,False
8g,row,standard_full_finetune,scale_only,budget100,-82.09877810389041,0,0.5805973184474904,False,False
8g,row,standard_full_finetune,local_identity_shrinkage,budget100,-74.60035050223617,0,0.5642447600005729,False,False
8g,row,standard_full_finetune,conditional_EA,budget100,-74.14883623160293,0,0.5628861910746475,False,False
8g,row,standard_full_finetune,conditional_policy,budget100,-74.20320073159337,0,0.5628861910746475,False,False
8g,row,source_anchored_shallow,scale_only,budget100,-33.96664378563581,1,0.2480742081326089,False,False
8g,row,source_anchored_shallow,local_identity_shrinkage,budget100,-28.450191726357936,0,0.2575411833362395,False,False
8g,row,source_anchored_shallow,conditional_EA,budget100,-28.118021175364188,0,0.2550572279681999,False,False
8g,row,source_anchored_shallow,conditional_policy,budget100,-28.15801611481758,0,0.2575411833362395,False,False
8g,row,source_anchored_shallow,standard_shallow_finetune,budget100,-31.49818721820929,0,0.223987133036084,False,False
8g,row,source_anchored_full,scale_only,budget100,-70.90094052146625,1,0.3740432624172025,False,False
8g,row,source_anchored_full,local_identity_shrinkage,budget100,-63.86361526921376,1,0.3835102376208331,False,False
8g,row,source_anchored_full,conditional_EA,budget100,-63.43986605840875,0,0.3810262822527935,False,False
8g,row,source_anchored_full,conditional_policy,budget100,-63.490887511029584,1,0.3835102376208331,False,False
8g,row,source_anchored_full,standard_full_finetune,budget100,6.14932054955118,3,-0.0739433329060628,False,False
