column,protocol,seed,budget,actual_budget,method,best_epoch,epochs_run,validation_score,source_replay_draws,source_replay_unique_rows,target_train_count,target_validation_count,wall_seconds,fit_success,checkpoint_sha256,trainable_parameters,total_parameters,backbone_l2_drift,condition_branch_l2_drift,target_head_l2_drift,source_head_l2_drift,best_target_train_loss,best_source_train_loss,best_validation_loss,best_validation_score,initial_epoch,initial_target_train_loss,initial_source_train_loss,initial_validation_loss,initial_validation_score,final_epoch,final_target_train_loss,final_source_train_loss,final_validation_loss,final_validation_score,target_purchased_labels,other_target_labels_used
25g,compound,1425370602,50,47,source_anchored_full,295,395,3.091903902216389,15405,3300,39,8,87.00523558398709,True,55beb235d20af03ddfbfac3a4e0c1f6ebeb0e759f33ff80c3651464875ebbb52,458952,459726,6.911659857978062,0.42611570080833633,0.3757888370712941,0.0,3.407135486602783,91.63701629638672,2978.811279296875,3.091903902216389,1,4964.90478515625,16.04110336303711,5592.6171875,4.2634043263170645,395,6.67708683013916,50.286624908447266,4542.77783203125,3.851790031183765,47,0
25g,compound,1425370602,70,72,standard_shallow_finetune,69,169,0.6846339857365858,0,0,64,8,28.758822791976854,True,e4041d2ea057163045d19a5d17d0f0253bcf111802c2f970b2d345215790d903,36387,459726,1.1367059398226624,0.2849806219843601,0.1975968704463098,0.0,744.9418334960938,0.0,172.02146911621094,0.6846339857365858,1,4319.119140625,0.0,5059.52099609375,4.105227702826577,169,78.43203735351562,0.0,753.6060791015625,1.9532878024460272,72,0
25g,compound,1425370602,70,72,standard_full_finetune,68,168,0.7219922196792462,0,0,64,8,34.703467874991475,True,b401dd9f1869634d30920c2e41363f036f19e2bd47516ae76b9177e0e22918fe,458952,459726,2.2954615996122114,0.28223726271506167,0.19298464572061375,0.0,240.60418701171875,0.0,205.99533081054688,0.7219922196792462,1,4413.3134765625,0.0,5241.7197265625,4.174266757871408,168,1.5480343103408813,0.0,931.1926879882812,1.8092599336009196,72,0
25g,compound,1425370602,70,72,source_anchored_shallow,64,164,2.8798974452948864,10496,3209,64,8,51.51589445798891,True,1f74723411298a4ed3bf6aeaa7ac42608146ae755232296f2780676cef6aad1c,36387,459726,0.9955578784325996,0.2059819423594958,0.18254180826268235,0.0,1766.50439453125,577.7896728515625,2807.421630859375,2.8798974452948864,1,4319.119140625,12.950651168823242,5064.86376953125,4.1048471851679285,164,819.0237426757812,458.88922119140625,3495.773681640625,3.1981554233502174,72,0
25g,compound,1425370602,70,72,source_anchored_full,20,120,3.7061948540701692,7680,3035,64,8,42.4409985410166,True,84532a36757a0c55c20664ab8cf8294380b85791565cf1bfda073a74291eba2e,458952,459726,0.7929153526485968,0.07974372986658718,0.05502687819887623,0.0,2098.467529296875,49.237979888916016,3945.2646484375,3.7061948540701692,1,4413.3134765625,12.853461265563965,5553.0732421875,4.278541412161334,120,14.444280624389648,38.924949645996094,5070.61865234375,4.034211698806999,72,0
25g,compound,1425370602,100,99,standard_shallow_finetune,69,169,0.6167118360123387,0,0,91,8,41.98769579199143,True,369589516485c857a8dc794a537b2360576951d9bf0ecf9b6352beeb9498232c,36387,459726,1.1492555101873796,0.28770113706861555,0.19913949575675663,0.0,827.7734375,0.0,141.57647705078125,0.6167118360123387,1,4701.1982421875,0.0,5056.3466796875,4.104636483618326,169,114.1890640258789,0.0,1255.383056640625,2.45557527156075,99,0
25g,compound,1425370602,100,99,standard_full_finetune,191,291,1.2841249559268904,0,0,91,8,84.23522166599287,True,d1ff6deec60efd95f05f794fdd26d39d50d650c2cf0dd3d2e92ccc2aee07a2fd,458952,459726,5.001363862319176,0.5218678201681081,0.3406936888413442,0.0,1.914457082748413,0.0,582.0345458984375,1.2841249559268904,1,4709.96044921875,0.0,5075.3984375,4.10481996838908,291,0.9695549011230469,0.0,607.2500610351562,1.3467811591754608,99,0
25g,compound,1425370602,100,99,source_anchored_shallow,68,168,2.8731292191424167,15288,3300,91,8,84.36329633399146,True,972c96ac42d7663002f7723dc1a00024e27dc86373ce8b8b12dd752b0950eb02,36387,459726,1.0755226941239944,0.2257506290219437,0.19544972872526034,0.0,1879.129638671875,439.01806640625,2793.008056640625,2.8731292191424167,1,4701.1982421875,16.40418815612793,5072.912109375,4.107258504918226,168,1051.528076171875,421.332763671875,3427.97802734375,3.160804607736433,99,0
25g,compound,1425370602,100,99,source_anchored_full,87,187,3.476822805919703,17017,3315,91,8,91.08930525000324,True,7f74cbabfa7176ca5d69c23e3085a251eb9ac94c4c251ee45e5b9c41269d8498,458952,459726,2.6097169553678246,0.2983781491598255,0.24763109528655344,0.0,150.1510772705078,70.76953125,3680.4931640625,3.476822805919703,1,4709.96044921875,16.79613494873047,5927.7822265625,4.407600048026166,187,6.414468765258789,53.56489944458008,5476.13818359375,4.238854449681305,99,0
25g,compound,536279090,30,33,standard_shallow_finetune,89,189,0.5311200575538962,0,0,26,7,13.016697125014616,True,27c7aab0fb87b8744cb351035f2a523567b132c62ceb5d6f28317185ad34a514,36387,459726,1.4049943371472773,0.36825665793607537,0.2646663588961023,0.0,478.5806884765625,0.0,70.6251449584961,0.5311200575538962,1,4473.70458984375,0.0,844.657958984375,1.7302948770172888,189,33.795616149902344,0.0,120.92156982421875,0.7553692588757899,33,0
