column,protocol,seed,method,normalized_aulc,actual_budget_aulc
8g,row,536279090,target_head_only,0.5382549520604002,0.5382549520604002
8g,row,769539383,conditional_EA,0.8904423110444626,0.8904423110444626
8g,row,769539383,conditional_policy,0.8909028598879664,0.8909028598879664
8g,row,769539383,local_identity_shrinkage,0.8909028598879664,0.8909028598879664
8g,row,769539383,scale_only,0.9552686773808741,0.9552686773808741
8g,row,769539383,source_anchored_full,0.9980492526796565,0.9980492526796565
8g,row,769539383,source_anchored_shallow,0.8361398976154596,0.8361398976154596
8g,row,769539383,standard_full_finetune,1.2964244683546922,1.2964244683546922
8g,row,769539383,standard_shallow_finetune,0.7575715911012353,0.7575715911012353
8g,row,769539383,target_head_only,0.7560289977317982,0.7560289977317982
8g,row,1362771960,conditional_EA,0.7738217120198361,0.7738217120198361
8g,row,1362771960,conditional_policy,0.7738217120198361,0.7738217120198361
8g,row,1362771960,local_identity_shrinkage,0.76845438390021,0.76845438390021
8g,row,1362771960,scale_only,0.7184369525919985,0.7184369525919985
8g,row,1362771960,source_anchored_full,1.1234121540436688,1.1234121540436688
8g,row,1362771960,source_anchored_shallow,0.9420653216237038,0.9420653216237038
8g,row,1362771960,standard_full_finetune,1.2920936749994216,1.2920936749994216
8g,row,1362771960,standard_shallow_finetune,0.7193210725304547,0.7193210725304547
8g,row,1362771960,target_head_only,0.652608607388736,0.652608607388736
8g,row,1425370602,conditional_EA,0.6035879510552173,0.6035879510552173
8g,row,1425370602,conditional_policy,0.6314712291576486,0.6314712291576486
8g,row,1425370602,local_identity_shrinkage,0.6354780471220326,0.6354780471220326
8g,row,1425370602,scale_only,0.6170142195823138,0.6170142195823138
8g,row,1425370602,source_anchored_full,1.0113402676984955,1.0113402676984955
8g,row,1425370602,source_anchored_shallow,0.8044290724359293,0.8044290724359293
8g,row,1425370602,standard_full_finetune,0.8886388206927942,0.8886388206927942
8g,row,1425370602,standard_shallow_finetune,0.629442404755887,0.629442404755887
8g,row,1425370602,target_head_only,0.6225396179850544,0.6225396179850544
8g,row,2767143051,conditional_EA,0.7398556987093919,0.7398556987093919
8g,row,2767143051,conditional_policy,0.7380680814202123,0.7380680814202123
8g,row,2767143051,local_identity_shrinkage,0.7458099232889418,0.7458099232889418
8g,row,2767143051,scale_only,0.7307271290949594,0.7307271290949594
8g,row,2767143051,source_anchored_full,1.4910023057860262,1.4910023057860262
8g,row,2767143051,source_anchored_shallow,1.1008092736037234,1.1008092736037234
8g,row,2767143051,standard_full_finetune,1.501012565028151,1.501012565028151
8g,row,2767143051,standard_shallow_finetune,0.881083523898138,0.881083523898138
8g,row,2767143051,target_head_only,0.8254678107915714,0.8254678107915714
