scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,2357.0,adaptive_lcmd,V1_RMSE,N80,3.127574540578016,581.9885824164766,589.0,653.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V1_RMSE,N90,2.869039334374338,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_RMSE,N95,2.739771731272499,,,,CENSORED,653.0
seed,2357.0,random,V1_RMSE,Random@653,4.416038945368891,511.8328034114064,525.0,653.0,REACHED,653.0
seed,2357.0,random,V1_RMSE,N80,3.127574540578016,,,,CENSORED,653.0
seed,2357.0,random,V1_RMSE,N90,2.869039334374338,,,,CENSORED,653.0
seed,2357.0,random,V1_RMSE,N95,2.739771731272499,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_RMSE,Random@653,4.416038945368891,412.5514747914448,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,V1_RMSE,N80,3.127574540578016,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_RMSE,N90,2.869039334374338,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V1_RMSE,N95,2.739771731272499,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V2_RMSE,Random@653,7.306132302737015,410.5333094418899,429.0,429.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_RMSE,N80,5.0496538747972926,602.0384236378477,621.0,621.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,V2_RMSE,N90,4.498442793152669,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V2_RMSE,N95,4.222837252330358,,,,CENSORED,653.0
seed,2357.0,random,V2_RMSE,Random@653,7.306132302737015,516.2626088749404,525.0,589.0,REACHED,653.0
seed,2357.0,random,V2_RMSE,N80,5.0496538747972926,,,,CENSORED,653.0
seed,2357.0,random,V2_RMSE,N90,4.498442793152669,,,,CENSORED,653.0
seed,2357.0,random,V2_RMSE,N95,4.222837252330358,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_RMSE,Random@653,7.306132302737015,411.77019475614696,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,V2_RMSE,N80,5.0496538747972926,,,,CENSORED,653.0
seed,2357.0,static_lcmd,V2_RMSE,N90,4.498442793152669,,,,CENSORED,653.0
