selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
47,1317,293,173138.38696363138,57657.239218938645
48,2303,143,172884.71718633757,11004.20341107715
49,618,203,170578.33824065083,27408.97787506227
50,1584,382,195238.40232537873,40340.86329542252
51,2966,149,165651.20741351118,36366.29049020822
52,1574,175,163902.88743880473,42571.905684446945
53,810,133,160775.6766435015,30385.219937411253
54,2984,213,159613.95621367873,9061.933254323008
55,695,369,156272.74633599244,25088.06904837492
56,2979,296,155884.0826858819,22211.778994709588
57,428,382,154897.5390299562,29893.329581006532
58,930,337,154799.90214917273,32831.74679399378
59,1927,23,154317.87863710307,19327.671381085922
60,1007,49,154068.2950005533,19220.422192717873
61,2771,213,150552.02295935573,8101.81208448112
62,2170,291,150281.26036369885,17991.168587108543
63,13,1,149613.4026491049,11027.204735555588
64,885,75,141931.107976618,23340.273515498557
65,1476,63,140844.1966944327,18904.973358981544
66,2898,143,139872.28751364653,9992.58906940322
67,724,76,135385.7578558601,30659.522315508977
68,101,311,134385.6166085404,23548.197847111252
69,1759,198,132477.29999733553,44159.4424291788
70,2155,230,132204.875096247,19105.948472366996
71,442,335,130342.01752353329,29751.409728494065
72,1399,363,129556.08957937494,38771.13692602585
73,160,1,127558.99317799369,9193.857556351104
74,2514,213,126595.22941456428,7826.683961329545
75,2807,153,118307.7636589125,33551.27590044952
76,2335,296,118179.63054230441,21003.53697097217
77,630,101,116654.82445179632,13334.567479193123
78,248,23,115662.6830639923,15279.002913695978
79,910,293,115481.14774469272,34709.52314186479
80,1737,196,109285.9485928607,29814.03085365506
81,2820,45,107802.20470165061,24464.272318080777
82,2585,368,105505.52558913904,20664.745920956513
83,1312,384,104267.24134802201,26067.014551948465
84,110,39,103496.74842948854,13483.119070281573
85,913,417,198602.04968129104,32428.948970368627
86,616,417,133744.58987256512,24280.19191306806
87,1377,417,109464.39795949707,16721.923210999623
88,605,21,102924.13508862714,13196.210310177004
89,1512,117,102726.76861092172,29969.69750302803
90,1472,143,102507.2428108627,9748.221433406043
91,2124,269,101920.31663633484,20449.31283784454
92,1558,361,100019.20785013912,50009.634900262
93,2463,35,98927.98017236075,7467.074157215242
94,1172,262,97497.54251865039,8506.720223623513
95,2379,399,97431.24289430134,14875.102252937453
96,933,347,95170.0091255607,46138.249341099756
97,2574,341,95044.08626771646,25528.447458903654
98,1339,159,94243.51804720997,5879.759484159218
99,2697,377,94215.476647559,31405.341760724317
100,1064,230,93993.36390902138,16170.510467623564
101,1621,374,93389.46058716573,38264.32775944105
102,2974,147,92692.95658128956,66741.84561962761
103,320,34,92492.16207431076,25563.822457427043
104,2084,213,91894.09172073421,7583.510126960682
105,1940,354,91863.97944403673,45932.280545393936
106,528,35,91460.9060151455,7373.70935485734
107,1368,363,90784.95265334909,19081.34624738284
108,29,1,90784.70634870812,7962.050724506731
109,620,156,90449.50264655329,16206.588069707897
110,719,337,89136.54785113476,24411.814078105643
111,2234,262,88990.82229502688,3245.362360035421
112,377,356,87842.98536592568,30461.23905353117
113,255,334,87319.24809492938,14553.219501032028
114,2881,191,86238.98376928487,28746.495061770926
115,2903,375,84594.23521288177,28506.615479467728
116,47,4,84104.84479145205,14684.178781751238
117,2714,55,83519.74416807214,18477.579544600245
118,2409,240,83108.29930810406,3240.9111595401764
119,113,203,82899.47978382409,13589.540954666503
120,405,83,82621.78022737858,44005.915020112676
121,230,399,82556.14064136389,8870.040486349346
122,2517,317,82295.99872176636,3164.7652048608943
123,2698,297,81682.0717357068,28610.77443912129
124,1318,151,79723.37943081712,18140.15909007067
125,712,54,79305.83771591874,14492.967962106784
126,881,403,79069.4416669276,31478.93529133986
127,1062,230,77822.85344139782,11408.913166816295
128,142,49,77335.28167202437,11542.873988424879
129,2378,63,77240.79230549595,10540.813373608704
130,1444,240,76626.58693105131,2458.1182087384814
131,1438,21,76531.9491289735,10809.159426210339
132,118,452,76135.33217770178,9542.546371177898
133,1351,317,75966.66226659724,2783.6100922237893
134,2613,40,75822.49360323566,19551.077378837304
135,1848,101,75630.10868533133,11410.885689488267
136,2877,373,75611.40395736869,25203.893699787383
137,2968,258,75607.98658919678,15289.714185278252
138,2804,47,75229.78879662027,7183.719624065909
